start,duration,H2D,D2H,D2D,Throughput
1.756468,0.002083,1,0,0,7.888835
1.758575,9e-06,1,0,0,5.007111
1.758603,9e-06,1,0,0,5.007111
1.758633,9e-06,1,0,0,5.007111
1.758661,9e-06,1,0,0,5.007111
1.758683,5e-06,1,0,0,4.565307
1.758702,5e-06,1,0,0,4.595342
1.758721,5e-06,1,0,0,4.565307
1.758739,5e-06,1,0,0,4.565307
1.758784,0.000559,0,0,0,0
1.759367,4e-06,0,1,0,5.174014
1.759386,4e-06,0,1,0,5.174014
1.764558,0.000491,1,0,0,8.227728
1.765161,0.001781,1,0,0,9.228451
1.766958,1.1e-05,1,0,0,6.950168
1.766984,1e-05,1,0,0,7.142044
1.767012,8e-06,1,0,0,4.912039
1.767035,8e-06,1,0,0,4.912039
1.767073,0.000642,0,0,0,0
1.76773,6e-06,0,1,0,6.361493
