start,duration,direction,throughput
1.725468,0.00207,0,7.842928
1.727562,9e-06,0,5.007111
1.727589,9e-06,0,5.007111
1.727618,9e-06,0,5.007111
1.727646,9e-06,0,5.007111
1.72767,5e-06,0,4.565307
1.727688,5e-06,0,4.565307
1.727706,5e-06,0,4.565307
1.727724,5e-06,0,4.595342
1.72835,4e-06,1,5.174014
1.728369,4e-06,1,5.174014
1.733351,0.000491,0,8.122063
1.733954,0.001756,0,9.248194
1.735724,1.1e-05,0,6.970977
1.735749,1e-05,0,7.253291
1.735777,8e-06,0,4.932853
1.735799,8e-06,0,4.912039
1.736497,6e-06,1,6.32692
