start,duration,threads_x,threads_y,threads_z
0.545316,0.000841,3000320.0,1.0,1.0
0.546095,0.000415,1018368.0,1.0,1.0
0.546331,0.011554,1981952.0,1.0,1.0
0.546432,0.000328,652800.0,1.0,1.0
0.546581,0.000253,366080.0,1.0,1.0
0.54668,0.000156,39936.0,1.0,1.0
0.546755,0.000328,613376.0,1.0,1.0
0.546772,0.000163,7680.0,1.0,1.0
0.546834,0.000177,32256.0,1.0,1.0
0.546859,4.5e-05,512.0,1.0,1.0
0.546912,0.000194,108032.0,1.0,1.0
0.546931,0.000152,7168.0,1.0,1.0
0.546932,0.000151,18944.0,1.0,1.0
0.546945,0.005413,258048.0,1.0,1.0
0.547006,0.000277,412672.0,1.0,1.0
0.547006,0.000153,13824.0,1.0,1.0
0.547009,0.000149,4096.0,1.0,1.0
0.547015,0.000152,16896.0,1.0,1.0
0.54708,3.9e-05,512.0,1.0,1.0
0.54708,0.000152,2560.0,1.0,1.0
0.547081,0.000136,3584.0,1.0,1.0
0.547089,0.000153,10240.0,1.0,1.0
0.547102,0.000147,10752.0,1.0,1.0
0.547125,0.00016,44032.0,1.0,1.0
0.547137,0.000207,200704.0,1.0,1.0
0.547153,0.00014,3584.0,1.0,1.0
0.547154,0.000143,3584.0,1.0,1.0
0.547164,0.000134,2560.0,1.0,1.0
0.547165,0.000143,6656.0,1.0,1.0
0.54717,0.000144,1536.0,1.0,1.0
0.547178,0.000139,8192.0,1.0,1.0
0.547185,0.000148,8704.0,1.0,1.0
0.5472,0.000159,64000.0,1.0,1.0
0.547215,5.3e-05,1024.0,1.0,1.0
0.54722,0.000263,378880.0,1.0,1.0
0.547229,4.5e-05,1024.0,1.0,1.0
0.54723,2.6e-05,64.0,1.0,1.0
0.547236,0.000147,3072.0,1.0,1.0
0.54724,0.000132,2560.0,1.0,1.0
0.547241,0.000138,1536.0,1.0,1.0
0.547246,4.5e-05,1024.0,1.0,1.0
0.547246,0.000115,2048.0,1.0,1.0
0.547248,0.000145,6144.0,1.0,1.0
0.547261,4.9e-05,1024.0,1.0,1.0
0.547269,0.000136,5120.0,1.0,1.0
0.54729,0.000137,3584.0,1.0,1.0
0.547296,4.7e-05,1024.0,1.0,1.0
0.547297,4.5e-05,1024.0,1.0,1.0
0.547306,2.8e-05,256.0,1.0,1.0
0.547311,4.1e-05,512.0,1.0,1.0
0.547318,0.000148,7680.0,1.0,1.0
0.547318,4.3e-05,1024.0,1.0,1.0
0.547319,4.5e-05,1024.0,1.0,1.0
0.547319,0.000133,2048.0,1.0,1.0
0.547332,0.000138,4096.0,1.0,1.0
0.547332,4.8e-05,1024.0,1.0,1.0
0.547333,0.000133,4096.0,1.0,1.0
0.547347,0.000123,3072.0,1.0,1.0
0.547348,0.000143,33792.0,1.0,1.0
0.547357,0.000147,4608.0,1.0,1.0
0.547359,0.000174,124416.0,1.0,1.0
0.547362,4.9e-05,1024.0,1.0,1.0
0.547367,3.6e-05,512.0,1.0,1.0
0.547374,0.000143,1536.0,1.0,1.0
0.547376,3.8e-05,512.0,1.0,1.0
0.54738,0.000132,2560.0,1.0,1.0
0.54739,0.000122,2560.0,1.0,1.0
0.547394,3.4e-05,256.0,1.0,1.0
0.547399,0.000161,41472.0,1.0,1.0
0.547401,0.000155,3072.0,1.0,1.0
0.547404,4.5e-05,1024.0,1.0,1.0
0.547411,0.004863,76288.0,1.0,1.0
0.547412,3.8e-05,512.0,1.0,1.0
0.547412,0.000116,2048.0,1.0,1.0
0.547414,0.000133,3584.0,1.0,1.0
0.547416,5.1e-05,1024.0,1.0,1.0
0.547425,0.000123,2560.0,1.0,1.0
0.547432,0.000198,161280.0,1.0,1.0
0.547437,0.000119,3072.0,1.0,1.0
