start,duration,H2D,D2H,D2D,Throughput
0.337636,8e-06,1,0,0,4.749374
0.344278,0.000941,0,0,0,0
0.344753,1.3e-05,0,0,0,0
0.344759,1.1e-05,0,0,0,0
0.344761,1e-05,0,0,0,0
0.344761,1.7e-05,0,0,0,0
0.344774,9e-06,0,0,0,0
0.344776,1.7e-05,0,0,0,0
0.344777,9e-06,0,0,0,0
0.344778,1e-05,0,0,0,0
0.344785,1.9e-05,0,0,0,0
0.344788,8e-06,0,0,0,0
0.344791,1e-05,0,0,0,0
0.344792,7e-06,0,0,0,0
0.344794,1e-05,0,0,0,0
0.344795,2e-05,0,0,0,0
0.344799,1e-05,0,0,0,0
0.344801,8e-06,0,0,0,0
0.344804,8e-06,0,0,0,0
0.344807,9e-06,0,0,0,0
0.344809,8e-06,0,0,0,0
0.344811,1.4e-05,0,0,0,0
0.344814,8e-06,0,0,0,0
0.344814,1.1e-05,0,0,0,0
0.344818,1.4e-05,0,0,0,0
0.344821,7e-06,0,0,0,0
0.344822,7e-06,0,0,0,0
0.344823,9e-06,0,0,0,0
0.344827,8e-06,0,0,0,0
0.344829,1e-05,0,0,0,0
0.34483,1e-05,0,0,0,0
0.34483,4.3e-05,0,0,0,0
0.344833,9e-06,0,0,0,0
0.344834,8e-06,0,0,0,0
0.344837,1.9e-05,0,0,0,0
0.344837,9e-06,0,0,0,0
0.344838,7e-06,0,0,0,0
0.34484,8e-06,0,0,0,0
0.344843,8e-06,0,0,0,0
0.344845,9e-06,0,0,0,0
0.344845,9e-06,0,0,0,0
0.344846,1.5e-05,0,0,0,0
0.344847,9e-06,0,0,0,0
0.344848,9e-06,0,0,0,0
0.34485,8e-06,0,0,0,0
0.344852,8e-06,0,0,0,0
0.344855,8e-06,0,0,0,0
0.344855,1e-05,0,0,0,0
0.344859,8e-06,0,0,0,0
0.344861,8e-06,0,0,0,0
0.344862,8e-06,0,0,0,0
0.344862,8e-06,0,0,0,0
0.344863,8e-06,0,0,0,0
0.344864,1.1e-05,0,0,0,0
0.344865,9e-06,0,0,0,0
0.344867,9e-06,0,0,0,0
0.344868,2.3e-05,0,0,0,0
0.34487,8e-06,0,0,0,0
0.344873,1e-05,0,0,0,0
0.344874,1.8e-05,0,0,0,0
0.344874,9e-06,0,0,0,0
0.344875,8e-06,0,0,0,0
0.344876,8e-06,0,0,0,0
0.344879,7e-06,0,0,0,0
0.344879,1.4e-05,0,0,0,0
0.34488,8e-06,0,0,0,0
0.344881,8e-06,0,0,0,0
0.344881,2.3e-05,0,0,0,0
0.344882,7e-06,0,0,0,0
0.344883,8e-06,0,0,0,0
0.344887,1.1e-05,0,0,0,0
0.344889,9e-06,0,0,0,0
0.344889,8e-06,0,0,0,0
0.344889,9e-06,0,0,0,0
0.344891,1e-05,0,0,0,0
0.344893,1.2e-05,0,0,0,0
0.344894,8e-06,0,0,0,0
0.344894,8e-06,0,0,0,0
0.344896,1e-05,0,0,0,0
0.344896,9e-06,0,0,0,0
0.344897,1.5e-05,0,0,0,0
0.344899,2.6e-05,0,0,0,0
0.344902,8e-06,0,0,0,0
0.344902,8e-06,0,0,0,0
0.344903,1e-05,0,0,0,0
0.344903,9e-06,0,0,0,0
0.344907,1e-05,0,0,0,0
0.344907,8e-06,0,0,0,0
