start,duration,H2D,D2H,D2D,Throughput
0.328,4e-06,0,0,0,0
0.328548,1.9e-05,1,0,0,7.947286
0.328579,1e-06,1,0,0,0.391837
0.328591,2e-06,1,0,0,3.374357
0.328602,2e-06,1,0,0,3.374357
0.328614,2e-06,1,0,0,3.374357
0.328625,2e-06,1,0,0,3.42398
0.328677,0.000359,0,0,0,0
0.32904,3e-06,0,0,0,0
0.329046,0.000649,0,0,0,0
0.329699,0.000799,0,0,0,0
0.3305,0.000356,0,0,0,0
0.330859,2e-06,0,0,0,0
0.330864,0.00062,0,0,0,0
0.331486,0.000799,0,0,0,0
0.332287,0.000358,0,0,0,0
0.332647,2e-06,0,0,0,0
0.332652,0.00062,0,0,0,0
0.333275,0.000799,0,0,0,0
0.334077,0.000362,0,0,0,0
0.334443,2e-06,0,0,0,0
0.334449,0.00062,0,0,0,0
0.335072,0.000799,0,0,0,0
0.335873,0.000357,0,0,0,0
0.336234,2e-06,0,0,0,0
0.336241,0.00062,0,0,0,0
0.336864,0.000799,0,0,0,0
0.337666,0.000356,0,0,0,0
0.338024,2e-06,0,0,0,0
0.33803,0.00062,0,0,0,0
0.338654,0.000799,0,0,0,0
0.339457,0.000357,0,0,0,0
0.339817,2e-06,0,0,0,0
0.339823,0.00062,0,0,0,0
0.340445,0.000798,0,0,0,0
0.341246,0.000355,0,0,0,0
0.341603,2e-06,0,0,0,0
0.34161,0.00062,0,0,0,0
0.342232,0.000799,0,0,0,0
0.343035,0.000356,0,0,0,0
0.343395,2e-06,0,0,0,0
0.343401,0.00062,0,0,0,0
0.344025,0.000799,0,0,0,0
0.34542,4e-06,0,1,0,1.847862
0.345443,3e-06,0,1,0,2.645803
0.345461,2e-06,0,1,0,3.326152
