start,duration,H2D,D2H,D2D,Throughput
0.328157,2e-06,1,0,0,0.230354
0.328192,1e-06,0,0,0,0
0.329701,0.009719,0,0,0,0
0.339443,0.010605,0,0,0,0
0.350052,0.010596,0,0,0,0
0.360651,0.009715,0,0,0,0
0.370371,0.010602,0,0,0,0
0.380975,0.009715,0,0,0,0
0.390692,0.010602,0,0,0,0
0.401297,0.009715,0,0,0,0
0.411016,0.009717,0,0,0,0
0.420736,0.009725,0,0,0,0
0.430464,0.009711,0,0,0,0
0.440178,0.009718,0,0,0,0
0.449898,0.010606,0,0,0,0
0.460507,0.009714,0,0,0,0
0.470222,0.010597,0,0,0,0
0.480822,0.009712,0,0,0,0
0.490538,0.009717,0,0,0,0
0.500259,0.010594,0,0,0,0
0.510855,0.0106,0,0,0,0
0.521459,0.009711,0,0,0,0
0.531173,0.009715,0,0,0,0
0.540915,0.105961,0,1,0,2.654285
0.647257,1e-06,0,0,0,0
0.648761,0.003117,0,0,0,0
0.651895,0.003116,0,0,0,0
0.655016,0.003118,0,0,0,0
0.658136,0.003114,0,0,0,0
0.661253,0.003116,0,0,0,0
0.664371,0.003115,0,0,0,0
0.667489,0.003117,0,0,0,0
0.670609,0.003113,0,0,0,0
0.673725,0.003115,0,0,0,0
0.676842,0.003116,0,0,0,0
0.679961,0.003117,0,0,0,0
0.68308,0.003118,0,0,0,0
0.686201,0.003115,0,0,0,0
0.68932,0.003117,0,0,0,0
0.69244,0.003115,0,0,0,0
0.695559,0.003116,0,0,0,0
0.698678,0.003119,0,0,0,0
0.701799,0.003117,0,0,0,0
0.70492,0.003115,0,0,0,0
0.708037,0.003117,0,0,0,0
0.711157,0.003115,0,0,0,0
0.714295,0.029264,0,1,0,9.610749
