start,duration,H2D,D2H,D2D,Throughput
0.338457,2.8e-05,1,0,0,8.583618
0.338487,2.7e-05,1,0,0,8.933215
0.338516,0.000536,1,0,0,9.782844
0.339054,3e-06,1,0,0,0.032014
0.339134,0.000402,0,0,0,0
0.339399,0.000181,0,0,0,0
0.339557,0.000113,0,0,0,0
0.339681,9.8e-05,0,0,0,0
0.339786,0.000113,0,0,0,0
0.339906,0.000114,0,0,0,0
0.340027,0.000126,0,0,0,0
0.340164,0.000123,0,0,0,0
0.340293,0.000128,0,0,0,0
0.340426,0.000128,0,0,0,0
0.340562,0.000147,0,0,0,0
0.340718,5.3e-05,0,0,0,0
0.340781,0.000254,0,0,0,0
0.341045,0.000261,0,0,0,0
0.341316,0.000655,0,0,0,0
0.341982,0.000619,0,0,0,0
0.342607,0.000522,0,0,0,0
0.343133,0.000333,0,0,0,0
0.343473,0.000586,0,0,0,0
0.344067,0.000279,0,0,0,0
0.344355,8.3e-05,0,0,0,0
0.344441,0.000354,0,0,0,0
0.344804,0.000145,0,0,0,0
0.344954,0.000173,0,0,0,0
0.345137,0.00014,0,0,0,0
0.345284,0.000195,0,0,0,0
0.345486,0.000384,0,0,0,0
0.345901,0.000546,0,1,0,9.600613
0.346516,0.0004,0,0,0,0
0.346791,0.000163,0,0,0,0
0.346933,0.000117,0,0,0,0
0.347055,9.8e-05,0,0,0,0
0.347163,0.000112,0,0,0,0
0.347282,0.000113,0,0,0,0
0.347401,0.000125,0,0,0,0
0.347536,0.000125,0,0,0,0
0.347664,0.000128,0,0,0,0
0.347798,0.000128,0,0,0,0
0.347936,0.000149,0,0,0,0
0.348091,5.3e-05,0,0,0,0
0.348154,0.000256,0,0,0,0
0.348416,0.000262,0,0,0,0
0.348688,0.000654,0,0,0,0
0.349353,0.000622,0,0,0,0
0.349979,0.000525,0,0,0,0
0.350511,0.000333,0,0,0,0
0.350852,0.000587,0,0,0,0
0.351447,0.000276,0,0,0,0
0.351728,8.2e-05,0,0,0,0
0.35182,0.000354,0,0,0,0
0.352182,0.000145,0,0,0,0
0.352334,0.000171,0,0,0,0
0.352514,0.000139,0,0,0,0
0.352663,0.000192,0,0,0,0
0.352861,0.000381,0,0,0,0
0.353268,0.000535,0,1,0,9.795688
0.353852,0.000411,0,0,0,0
0.354124,0.000172,0,0,0,0
0.354274,0.00011,0,0,0,0
0.354392,9.8e-05,0,0,0,0
0.354498,0.000113,0,0,0,0
0.354621,0.000115,0,0,0,0
0.354747,0.000126,0,0,0,0
0.354879,0.000124,0,0,0,0
0.355007,0.000129,0,0,0,0
0.355145,0.000129,0,0,0,0
0.355279,0.000149,0,0,0,0
0.355431,5.3e-05,0,0,0,0
0.355494,0.000255,0,0,0,0
0.355759,0.000262,0,0,0,0
0.356033,0.000655,0,0,0,0
0.356693,0.000618,0,0,0,0
0.357315,0.000527,0,0,0,0
0.357851,0.000334,0,0,0,0
0.358191,0.000587,0,0,0,0
0.358784,0.000279,0,0,0,0
0.359067,8.2e-05,0,0,0,0
0.359158,0.00036,0,0,0,0
0.359522,0.000143,0,0,0,0
0.359674,0.000169,0,0,0,0
0.359849,0.000139,0,0,0,0
0.359992,0.000192,0,0,0,0
0.360191,0.000384,0,0,0,0
0.360599,0.000536,0,1,0,9.793365
0.361175,0.000411,0,0,0,0
0.361451,0.000163,0,0,0,0
0.361594,0.000112,0,0,0,0
0.361718,9.7e-05,0,0,0,0
0.361823,0.000113,0,0,0,0
0.36194,0.000114,0,0,0,0
0.36206,0.000126,0,0,0,0
0.362191,0.000123,0,0,0,0
0.362325,0.000129,0,0,0,0
0.362462,0.000129,0,0,0,0
0.3626,0.000149,0,0,0,0
0.362756,5.2e-05,0,0,0,0
0.362819,0.000255,0,0,0,0
0.363082,0.000262,0,0,0,0
0.363353,0.000653,0,0,0,0
0.364012,0.000621,0,0,0,0
0.364644,0.000523,0,0,0,0
0.365172,0.000333,0,0,0,0
0.365513,0.000586,0,0,0,0
0.366106,0.000281,0,0,0,0
0.366394,8.4e-05,0,0,0,0
0.366486,0.000354,0,0,0,0
0.366845,0.000145,0,0,0,0
0.366999,0.000172,0,0,0,0
0.367175,0.000139,0,0,0,0
0.367322,0.000191,0,0,0,0
0.367521,0.000383,0,0,0,0
