start,duration,direction,throughput
0.348748,0.000529,0,7.387833
0.349425,0.000518,0,7.54398
0.350413,0.001278,1,3.057002
0.352436,0.001372,1,2.846167
1.201783,0.000435,1,8.98228
1.20234,0.000424,1,9.219725
1.628428,0.000429,1,9.095386
1.628984,0.000426,1,9.159538
1.845992,0.000426,1,9.16917
1.846538,0.000426,1,9.161601
1.959508,0.000428,1,9.127349
1.960061,0.00044,1,8.886162
2.021547,0.000428,1,9.134863
2.022098,0.000425,1,9.181584
2.058144,0.000426,1,9.163664
2.058691,0.000432,1,9.041492
2.082108,0.000427,1,9.151298
2.082657,0.000431,1,9.067685
2.099958,0.000603,1,6.482359
2.100921,0.0006,1,6.515227
2.117694,0.000433,1,9.014784
2.118249,0.000425,1,9.200962
2.131604,0.000428,1,9.131446
2.132157,0.000426,1,9.162976
2.14708,0.000454,1,8.604302
2.147654,0.000432,1,9.033463
2.163504,0.000427,1,9.141019
2.164057,0.000429,1,9.099454
2.179978,0.000428,1,9.132812
2.180526,0.000427,1,9.149926
2.197219,0.000427,1,9.141704
2.197766,0.000434,1,9.006802
