start,duration,H2D,D2H,D2D,Throughput
0.330782,2e-06,1,0,0,3.020506
0.330797,2e-06,1,0,0,3.287021
0.330809,2e-06,1,0,0,2.514571
0.330821,2e-06,1,0,0,2.514571
0.332235,0.001118,1,0,0,6.910665
0.333367,0.000152,0,0,0,0
0.333523,0.00014,0,0,0,0
0.333682,0.000414,0,0,0,0
0.334099,4.6e-05,0,0,0,0
0.334147,5e-06,0,0,0,0
0.334169,2e-06,0,1,0,0.001878
0.334184,2e-06,0,1,0,0.002239
0.334212,0.000483,0,0,0,0
0.334697,0.000344,0,0,0,0
0.335045,0.000138,0,0,0,0
0.335202,0.000413,0,0,0,0
0.335618,4.5e-05,0,0,0,0
0.335666,5e-06,0,0,0,0
0.335684,1e-06,0,1,0,0.002839
0.335698,1e-06,0,1,0,0.00291
0.335722,0.00048,0,0,0,0
0.336204,0.000343,0,0,0,0
0.33655,0.000138,0,0,0,0
0.336704,0.000414,0,0,0,0
0.337122,4.6e-05,0,0,0,0
0.337171,5e-06,0,0,0,0
0.337188,1e-06,0,1,0,0.002772
0.3372,1e-06,0,1,0,0.002839
0.337224,0.00048,0,0,0,0
0.337709,0.000344,0,0,0,0
0.338055,0.000138,0,0,0,0
0.33821,0.000413,0,0,0,0
0.338627,4.6e-05,0,0,0,0
0.338674,5e-06,0,0,0,0
0.338692,1e-06,0,1,0,0.002772
0.338705,1e-06,0,1,0,0.00291
0.338728,0.00048,0,0,0,0
0.33921,0.000343,0,0,0,0
0.339556,0.000138,0,0,0,0
0.339711,0.000414,0,0,0,0
0.340129,4.6e-05,0,0,0,0
0.340177,5e-06,0,0,0,0
0.340195,1e-06,0,1,0,0.002772
0.340209,1e-06,0,1,0,0.00291
0.340233,0.00048,0,0,0,0
0.340718,0.000343,0,0,0,0
0.341063,0.000138,0,0,0,0
0.341219,0.000413,0,0,0,0
0.341635,4.6e-05,0,0,0,0
0.341685,5e-06,0,0,0,0
0.341702,1e-06,0,1,0,0.002772
0.341715,1e-06,0,1,0,0.00291
0.341738,0.00048,0,0,0,0
0.342221,0.000343,0,0,0,0
0.342567,0.000138,0,0,0,0
0.342722,0.000413,0,0,0,0
0.343139,4.6e-05,0,0,0,0
0.343188,5e-06,0,0,0,0
0.343205,1e-06,0,1,0,0.002772
0.343219,1e-06,0,1,0,0.002707
0.343244,0.00048,0,0,0,0
0.343727,0.000344,0,0,0,0
