start,duration,threads_x,threads_y,threads_z
0.845099,0.000453,65536.0,1.0,1.0
0.91932,0.000434,65536.0,1.0,1.0
0.990293,0.000432,65536.0,1.0,1.0
1.062191,0.000445,65536.0,1.0,1.0
1.064201,0.000448,65536.0,1.0,1.0
1.0662,0.000433,65536.0,1.0,1.0
1.068185,0.000446,65536.0,1.0,1.0
1.070182,0.000433,65536.0,1.0,1.0
1.072171,0.000434,65536.0,1.0,1.0
1.07416,0.000432,65536.0,1.0,1.0
1.076148,0.000431,65536.0,1.0,1.0
1.078129,0.00043,65536.0,1.0,1.0
1.080112,0.000435,65536.0,1.0,1.0
1.082105,0.000431,65536.0,1.0,1.0
1.153197,0.000433,65536.0,1.0,1.0
1.155183,0.000434,65536.0,1.0,1.0
1.157169,0.000449,65536.0,1.0,1.0
1.159165,0.000433,65536.0,1.0,1.0
1.161168,0.000432,65536.0,1.0,1.0
1.163171,0.000432,65536.0,1.0,1.0
1.234297,0.000432,65536.0,1.0,1.0
1.236272,0.000445,65536.0,1.0,1.0
1.23828,0.000446,65536.0,1.0,1.0
1.240284,0.000445,65536.0,1.0,1.0
1.242273,0.000447,65536.0,1.0,1.0
1.313344,0.000447,65536.0,1.0,1.0
1.315343,0.000431,65536.0,1.0,1.0
1.31732,0.000431,65536.0,1.0,1.0
1.319302,0.000434,65536.0,1.0,1.0
1.321283,0.000446,65536.0,1.0,1.0
1.323276,0.000434,65536.0,1.0,1.0
1.32526,0.000448,65536.0,1.0,1.0
1.327256,0.000434,65536.0,1.0,1.0
1.329249,0.000433,65536.0,1.0,1.0
1.331238,0.000431,65536.0,1.0,1.0
1.333205,0.000431,65536.0,1.0,1.0
1.335199,0.000445,65536.0,1.0,1.0
1.337191,0.000449,65536.0,1.0,1.0
1.339197,0.000446,65536.0,1.0,1.0
1.341199,0.000434,65536.0,1.0,1.0
1.343181,0.000433,65536.0,1.0,1.0
1.34518,0.000433,65536.0,1.0,1.0
1.347181,0.000445,65536.0,1.0,1.0
1.349303,0.000447,65536.0,1.0,1.0
1.3513,0.000447,65536.0,1.0,1.0
1.422383,0.00045,65536.0,1.0,1.0
1.424385,0.000449,65536.0,1.0,1.0
1.426384,0.000433,65536.0,1.0,1.0
1.428373,0.000433,65536.0,1.0,1.0
1.430346,0.000447,65536.0,1.0,1.0
1.432342,0.000432,65536.0,1.0,1.0
1.43433,0.000432,65536.0,1.0,1.0
1.436326,0.000432,65536.0,1.0,1.0
1.438332,0.000431,65536.0,1.0,1.0
1.440335,0.000431,65536.0,1.0,1.0
1.442327,0.000445,65536.0,1.0,1.0
1.444321,0.000446,65536.0,1.0,1.0
1.446331,0.000431,65536.0,1.0,1.0
1.448323,0.000449,65536.0,1.0,1.0
1.450313,0.000445,65536.0,1.0,1.0
1.452338,0.000431,65536.0,1.0,1.0
1.454326,0.000449,65536.0,1.0,1.0
1.456341,0.000433,65536.0,1.0,1.0
1.458346,0.000432,65536.0,1.0,1.0
1.460338,0.000446,65536.0,1.0,1.0
1.462356,0.000445,65536.0,1.0,1.0
1.464378,0.000445,65536.0,1.0,1.0
1.466404,0.000445,65536.0,1.0,1.0
1.46843,0.000446,65536.0,1.0,1.0
1.470455,0.000433,65536.0,1.0,1.0
1.472443,0.000446,65536.0,1.0,1.0
1.474444,0.000448,65536.0,1.0,1.0
1.476449,0.000431,65536.0,1.0,1.0
1.478421,0.000433,65536.0,1.0,1.0
1.480421,0.000444,65536.0,1.0,1.0
1.48243,0.000448,65536.0,1.0,1.0
1.484442,0.00043,65536.0,1.0,1.0
1.486434,0.000431,65536.0,1.0,1.0
1.488415,0.000449,65536.0,1.0,1.0
1.490421,0.000432,65536.0,1.0,1.0
1.492397,0.000447,65536.0,1.0,1.0
1.49439,0.000433,65536.0,1.0,1.0
1.496371,0.000432,65536.0,1.0,1.0
1.498366,0.000433,65536.0,1.0,1.0
1.500341,0.000432,65536.0,1.0,1.0
1.502326,0.000433,65536.0,1.0,1.0
1.504298,0.000433,65536.0,1.0,1.0
1.506289,0.000431,65536.0,1.0,1.0
1.508271,0.000447,65536.0,1.0,1.0
1.510245,0.000443,65536.0,1.0,1.0
1.512271,0.000432,65536.0,1.0,1.0
1.514281,0.000432,65536.0,1.0,1.0
1.516272,0.000448,65536.0,1.0,1.0
1.518279,0.000448,65536.0,1.0,1.0
1.520256,0.000433,65536.0,1.0,1.0
1.522238,0.000431,65536.0,1.0,1.0
1.524192,0.000444,65536.0,1.0,1.0
1.526164,0.000431,65536.0,1.0,1.0
1.528137,0.000431,65536.0,1.0,1.0
1.530104,0.000444,65536.0,1.0,1.0
1.532116,0.000432,65536.0,1.0,1.0
1.534098,0.000484,65536.0,1.0,1.0
1.53613,0.000433,65536.0,1.0,1.0
1.538091,0.000446,65536.0,1.0,1.0
1.540071,0.00043,65536.0,1.0,1.0
1.542038,0.000445,65536.0,1.0,1.0
1.544062,0.000446,65536.0,1.0,1.0
1.54604,0.000433,65536.0,1.0,1.0
1.547993,0.000432,65536.0,1.0,1.0
1.549962,0.000448,65536.0,1.0,1.0
1.551943,0.000445,65536.0,1.0,1.0
1.553922,0.000431,65536.0,1.0,1.0
1.555906,0.000433,65536.0,1.0,1.0
1.557882,0.000451,65536.0,1.0,1.0
1.628743,0.000431,65536.0,1.0,1.0
1.630696,0.000433,65536.0,1.0,1.0
1.632662,0.000433,65536.0,1.0,1.0
1.634653,0.000446,65536.0,1.0,1.0
1.636655,0.000433,65536.0,1.0,1.0
1.638642,0.000432,65536.0,1.0,1.0
1.640629,0.00045,65536.0,1.0,1.0
1.642631,0.000431,65536.0,1.0,1.0
1.64461,0.00043,65536.0,1.0,1.0
1.64658,0.000445,65536.0,1.0,1.0
1.648593,0.000446,65536.0,1.0,1.0
1.650596,0.000432,65536.0,1.0,1.0
1.652587,0.000431,65536.0,1.0,1.0
1.654569,0.000447,65536.0,1.0,1.0
1.656567,0.000445,65536.0,1.0,1.0
1.658554,0.000444,65536.0,1.0,1.0
1.660558,0.000432,65536.0,1.0,1.0
1.662533,0.000448,65536.0,1.0,1.0
1.664526,0.000433,65536.0,1.0,1.0
1.666528,0.000433,65536.0,1.0,1.0
1.668518,0.000447,65536.0,1.0,1.0
1.670502,0.000432,65536.0,1.0,1.0
1.672467,0.000446,65536.0,1.0,1.0
1.674481,0.000432,65536.0,1.0,1.0
1.676464,0.000432,65536.0,1.0,1.0
1.678456,0.000447,65536.0,1.0,1.0
1.680452,0.000434,65536.0,1.0,1.0
1.682421,0.000452,65536.0,1.0,1.0
1.684422,0.000431,65536.0,1.0,1.0
1.686421,0.000432,65536.0,1.0,1.0
1.688414,0.000449,65536.0,1.0,1.0
1.69042,0.000432,65536.0,1.0,1.0
1.692379,0.000452,65536.0,1.0,1.0
1.694396,0.000433,65536.0,1.0,1.0
1.696407,0.00043,65536.0,1.0,1.0
1.698394,0.000445,65536.0,1.0,1.0
1.700392,0.000431,65536.0,1.0,1.0
1.70235,0.000433,65536.0,1.0,1.0
1.704333,0.000447,65536.0,1.0,1.0
1.706345,0.000444,65536.0,1.0,1.0
1.708338,0.000445,65536.0,1.0,1.0
1.710328,0.000443,65536.0,1.0,1.0
1.712322,0.000445,65536.0,1.0,1.0
1.714438,0.000448,65536.0,1.0,1.0
1.716455,0.000432,65536.0,1.0,1.0
1.718443,0.000448,65536.0,1.0,1.0
1.720461,0.000431,65536.0,1.0,1.0
1.722442,0.000432,65536.0,1.0,1.0
1.724424,0.00045,65536.0,1.0,1.0
1.726436,0.000433,65536.0,1.0,1.0
1.728437,0.000432,65536.0,1.0,1.0
1.733046,0.000443,65536.0,1.0,1.0
1.735237,0.000431,65536.0,1.0,1.0
1.737233,0.00043,65536.0,1.0,1.0
1.739224,0.000447,65536.0,1.0,1.0
1.741224,0.000431,65536.0,1.0,1.0
1.74323,0.000448,65536.0,1.0,1.0
1.745252,0.000431,65536.0,1.0,1.0
1.747242,0.000446,65536.0,1.0,1.0
1.74922,0.000432,65536.0,1.0,1.0
1.751192,0.000433,65536.0,1.0,1.0
1.753172,0.000447,65536.0,1.0,1.0
1.755189,0.000431,65536.0,1.0,1.0
1.757201,0.000432,65536.0,1.0,1.0
1.759201,0.000446,65536.0,1.0,1.0
1.761213,0.000432,65536.0,1.0,1.0
1.763171,0.000433,65536.0,1.0,1.0
1.765181,0.000433,65536.0,1.0,1.0
1.767156,0.000447,65536.0,1.0,1.0
1.854098,0.000446,65536.0,1.0,1.0
1.856095,0.000446,65536.0,1.0,1.0
1.858093,0.000444,65536.0,1.0,1.0
1.860093,0.000449,65536.0,1.0,1.0
1.862105,0.000433,65536.0,1.0,1.0
1.864068,0.000432,65536.0,1.0,1.0
1.866073,0.000433,65536.0,1.0,1.0
1.868069,0.000442,65536.0,1.0,1.0
1.870066,0.00043,65536.0,1.0,1.0
1.872046,0.000432,65536.0,1.0,1.0
1.874019,0.000433,65536.0,1.0,1.0
1.876028,0.000447,65536.0,1.0,1.0
1.878044,0.000432,65536.0,1.0,1.0
1.880055,0.000447,65536.0,1.0,1.0
1.882076,0.000445,65536.0,1.0,1.0
1.884074,0.000444,65536.0,1.0,1.0
1.886055,0.000445,65536.0,1.0,1.0
1.888044,0.000431,65536.0,1.0,1.0
1.890011,0.000445,65536.0,1.0,1.0
1.89203,0.000432,65536.0,1.0,1.0
1.894029,0.000448,65536.0,1.0,1.0
1.896043,0.000431,65536.0,1.0,1.0
1.898038,0.000446,65536.0,1.0,1.0
1.900029,0.000446,65536.0,1.0,1.0
1.90203,0.000431,65536.0,1.0,1.0
1.904012,0.000433,65536.0,1.0,1.0
1.905979,0.000447,65536.0,1.0,1.0
1.907997,0.000446,65536.0,1.0,1.0
1.909992,0.000431,65536.0,1.0,1.0
1.911978,0.000443,65536.0,1.0,1.0
1.91397,0.000446,65536.0,1.0,1.0
1.915955,0.000446,65536.0,1.0,1.0
1.917976,0.000446,65536.0,1.0,1.0
1.919996,0.000446,65536.0,1.0,1.0
1.922011,0.000429,65536.0,1.0,1.0
1.923995,0.000429,65536.0,1.0,1.0
1.926007,0.000446,65536.0,1.0,1.0
1.928028,0.000448,65536.0,1.0,1.0
1.930044,0.000433,65536.0,1.0,1.0
1.932043,0.000481,65536.0,1.0,1.0
1.934078,0.000446,65536.0,1.0,1.0
1.936079,0.000432,65536.0,1.0,1.0
1.938075,0.000448,65536.0,1.0,1.0
1.94009,0.000448,65536.0,1.0,1.0
1.94209,0.00043,65536.0,1.0,1.0
1.9441,0.000449,65536.0,1.0,1.0
1.946125,0.000444,65536.0,1.0,1.0
1.948146,0.000446,65536.0,1.0,1.0
1.950152,0.000434,65536.0,1.0,1.0
1.952142,0.000432,65536.0,1.0,1.0
1.954145,0.000444,65536.0,1.0,1.0
1.956117,0.000431,65536.0,1.0,1.0
1.958081,0.000433,65536.0,1.0,1.0
1.960066,0.000448,65536.0,1.0,1.0
1.962095,0.000445,65536.0,1.0,1.0
1.964112,0.000448,65536.0,1.0,1.0
1.966108,0.000444,65536.0,1.0,1.0
1.968095,0.000446,65536.0,1.0,1.0
1.970057,0.000447,65536.0,1.0,1.0
1.972064,0.000433,65536.0,1.0,1.0
1.974052,0.000446,65536.0,1.0,1.0
1.976044,0.000433,65536.0,1.0,1.0
1.978027,0.000445,65536.0,1.0,1.0
1.980115,0.000431,65536.0,1.0,1.0
1.982121,0.000444,65536.0,1.0,1.0
1.984122,0.000444,65536.0,1.0,1.0
1.986129,0.000433,65536.0,1.0,1.0
1.988121,0.000449,65536.0,1.0,1.0
1.990141,0.000444,65536.0,1.0,1.0
2.057491,0.000433,65536.0,1.0,1.0
2.059474,0.000433,65536.0,1.0,1.0
2.06146,0.000433,65536.0,1.0,1.0
2.063441,0.000447,65536.0,1.0,1.0
2.065445,0.000432,65536.0,1.0,1.0
2.06745,0.000434,65536.0,1.0,1.0
2.069439,0.000444,65536.0,1.0,1.0
2.071436,0.000429,65536.0,1.0,1.0
2.07342,0.000432,65536.0,1.0,1.0
2.075403,0.000433,65536.0,1.0,1.0
2.077363,0.000432,65536.0,1.0,1.0
2.079347,0.00043,65536.0,1.0,1.0
2.081351,0.000433,65536.0,1.0,1.0
2.083359,0.000432,65536.0,1.0,1.0
2.085357,0.00043,65536.0,1.0,1.0
2.087352,0.000432,65536.0,1.0,1.0
2.089336,0.000446,65536.0,1.0,1.0
2.091349,0.000445,65536.0,1.0,1.0
2.093343,0.000446,65536.0,1.0,1.0
2.095334,0.000446,65536.0,1.0,1.0
2.097346,0.000432,65536.0,1.0,1.0
2.099347,0.000443,65536.0,1.0,1.0
2.101345,0.000432,65536.0,1.0,1.0
2.103329,0.000432,65536.0,1.0,1.0
2.105313,0.000433,65536.0,1.0,1.0
2.107299,0.000434,65536.0,1.0,1.0
2.109285,0.000434,65536.0,1.0,1.0
2.11129,0.000444,65536.0,1.0,1.0
2.113293,0.000444,65536.0,1.0,1.0
2.115285,0.000445,65536.0,1.0,1.0
2.117303,0.000444,65536.0,1.0,1.0
