start,duration,H2D,D2H,D2D,Throughput
0.80657,0.008235,1,0,0,7.589952
0.814878,2.9e-05,1,0,0,8.505457
0.815062,0.000252,1,0,0,7.765225
0.815317,8e-06,0,0,0,0
0.815333,1e-06,0,0,0,0
0.815573,0.000481,0,0,0,0
0.816088,0.002922,0,1,0,2.506853
0.819906,8e-06,0,1,0,7.392824
0.899407,2.9e-05,1,0,0,8.448942
0.899602,0.000229,1,0,0,8.511313
0.899834,8e-06,0,0,0,0
0.899849,1e-06,0,0,0,0
0.899894,0.000432,0,0,0,0
0.900354,5.2e-05,0,1,0,9.361363
0.90046,8e-06,0,1,0,7.391929
0.970196,2.9e-05,1,0,0,8.365564
0.97039,0.000222,1,0,0,8.789546
0.970614,8e-06,0,0,0,0
0.970632,1e-06,0,0,0,0
0.970675,0.000445,0,0,0,0
0.971151,5.2e-05,0,1,0,9.384212
0.971259,8e-06,0,1,0,7.392824
1.040992,2.9e-05,1,0,0,8.402417
1.041184,0.000222,1,0,0,8.806032
1.041409,8e-06,0,0,0,0
1.041423,1e-06,0,0,0,0
1.041465,0.000433,0,0,0,0
1.041928,5.2e-05,0,1,0,9.372684
1.042034,8e-06,0,1,0,7.392824
1.042976,2.9e-05,1,0,0,8.301844
1.043094,0.000207,1,0,0,9.437849
1.043304,8e-06,0,0,0,0
1.043322,1e-06,0,0,0,0
1.043355,0.000432,0,0,0,0
1.043815,5.2e-05,0,1,0,9.372684
1.043939,8e-06,0,1,0,7.42159
1.044874,2.9e-05,1,0,0,8.448942
1.044989,0.000208,1,0,0,9.404402
1.045199,8e-06,0,0,0,0
1.045214,1e-06,0,0,0,0
1.045247,0.000446,0,0,0,0
1.045721,5.2e-05,0,1,0,9.372864
1.045842,8e-06,0,1,0,7.42159
1.046773,2.9e-05,1,0,0,8.486535
1.046881,0.000207,1,0,0,9.420368
1.047091,8e-06,0,0,0,0
1.047112,1e-06,0,0,0,0
1.047144,0.000446,0,0,0,0
1.047616,5.2e-05,0,1,0,9.36711
1.047738,8e-06,0,1,0,7.42159
