start,duration,H2D,D2H,D2D,Throughput
0.670114,0.009782,1,0,0,7.616779
0.679914,1e-06,1,0,0,0.240341
0.679965,0.000728,0,0,0,0
0.680702,1e-06,1,0,0,0.002985
0.68074,0.000732,0,0,0,0
0.681487,1e-06,1,0,0,0.003881
0.681505,0.000731,0,0,0,0
0.682248,1e-06,1,0,0,0.004312
0.682264,0.000732,0,0,0,0
0.683008,1e-06,1,0,0,0.004158
0.683026,0.000728,0,0,0,0
0.683766,1e-06,1,0,0,0.004312
0.683783,0.00073,0,0,0,0
0.684523,1e-06,1,0,0,0.003876
0.684539,0.000731,0,0,0,0
0.685281,1e-06,1,0,0,0.004312
0.685296,0.000731,0,0,0,0
0.686039,1e-06,1,0,0,0.003881
0.686055,0.000729,0,0,0,0
0.686794,1e-06,1,0,0,0.004312
0.686811,0.000731,0,0,0,0
0.687554,1e-06,1,0,0,0.003755
0.687571,0.000732,0,0,0,0
0.688313,1e-06,1,0,0,0.004312
0.688328,0.000734,0,0,0,0
0.689073,1e-06,1,0,0,0.003755
0.689088,0.000731,0,0,0,0
0.689832,1e-06,1,0,0,0.004312
0.689849,0.000728,0,0,0,0
0.690589,1e-06,1,0,0,0.003755
0.690605,0.00073,0,0,0,0
0.691346,1e-06,1,0,0,0.004158
0.691362,0.000731,0,0,0,0
0.692105,1e-06,1,0,0,0.004312
0.692121,0.00073,0,0,0,0
0.692863,1e-06,1,0,0,0.004312
0.692879,0.000729,0,0,0,0
0.69362,1e-06,1,0,0,0.003881
0.693636,0.000729,0,0,0,0
0.694376,1e-06,1,0,0,0.004312
0.694391,0.000731,0,0,0,0
0.695134,1e-06,1,0,0,0.004312
0.69515,0.00073,0,0,0,0
0.695891,1e-06,1,0,0,0.004158
0.695906,0.00073,0,0,0,0
0.696648,1e-06,1,0,0,0.003755
0.696664,0.000729,0,0,0,0
0.697405,1e-06,1,0,0,0.004312
0.697421,0.000735,0,0,0,0
0.698167,1e-06,1,0,0,0.004312
0.698184,0.000729,0,0,0,0
0.698924,1e-06,1,0,0,0.004158
0.698941,0.000731,0,0,0,0
0.699684,1e-06,1,0,0,0.003881
0.699701,0.000734,0,0,0,0
0.700445,1e-06,1,0,0,0.003755
0.70046,0.00073,0,0,0,0
0.701201,1e-06,1,0,0,0.004312
0.701217,0.00073,0,0,0,0
0.701958,1e-06,1,0,0,0.004312
0.701974,0.000734,0,0,0,0
0.702719,1e-06,1,0,0,0.003755
0.702735,0.000727,0,0,0,0
0.703472,1e-06,1,0,0,0.003638
0.703489,0.000728,0,0,0,0
0.704228,1e-06,1,0,0,0.004312
0.704243,0.000732,0,0,0,0
0.704986,1e-06,1,0,0,0.004158
0.705003,0.000731,0,0,0,0
0.705747,1e-06,1,0,0,0.003755
0.705764,0.00073,0,0,0,0
0.706506,1e-06,1,0,0,0.004312
0.706523,0.000728,0,0,0,0
0.707261,1e-06,1,0,0,0.004158
0.707275,0.000733,0,0,0,0
0.70802,1e-06,1,0,0,0.004312
0.708036,0.000731,0,0,0,0
0.708779,1e-06,1,0,0,0.003755
0.708796,0.00073,0,0,0,0
0.709538,1e-06,1,0,0,0.004312
0.709555,0.00073,0,0,0,0
0.710303,1e-06,1,0,0,0.004312
0.710319,0.000731,0,0,0,0
0.711062,1e-06,1,0,0,0.004312
0.71108,0.000729,0,0,0,0
0.71182,1e-06,1,0,0,0.003755
0.711838,0.00073,0,0,0,0
0.712579,1e-06,1,0,0,0.004312
0.712595,0.000731,0,0,0,0
0.713337,1e-06,1,0,0,0.004158
0.713353,0.000728,0,0,0,0
0.714093,1e-06,1,0,0,0.004312
0.71411,0.000731,0,0,0,0
0.714852,1e-06,1,0,0,0.003755
0.714869,0.000729,0,0,0,0
0.71561,1e-06,1,0,0,0.004158
0.715626,0.000731,0,0,0,0
0.716368,1e-06,1,0,0,0.004312
0.716382,0.000727,0,0,0,0
0.71712,1e-06,1,0,0,0.004312
0.717135,0.000732,0,0,0,0
0.717877,1e-06,1,0,0,0.003881
0.717893,0.00073,0,0,0,0
0.718634,1e-06,1,0,0,0.004312
0.71865,0.000729,0,0,0,0
0.719389,1e-06,1,0,0,0.004312
0.719403,0.00073,0,0,0,0
0.720143,1e-06,1,0,0,0.004312
0.72016,0.000729,0,0,0,0
0.720901,1e-06,1,0,0,0.003881
0.720917,0.00073,0,0,0,0
0.721659,1e-06,1,0,0,0.004158
0.721675,0.000734,0,0,0,0
0.72242,1e-06,1,0,0,0.004312
0.722435,0.000732,0,0,0,0
0.72318,1e-06,1,0,0,0.004158
0.723196,0.000729,0,0,0,0
0.723936,1e-06,1,0,0,0.003755
0.723952,0.00073,0,0,0,0
0.724695,1e-06,1,0,0,0.004312
0.724711,0.00073,0,0,0,0
0.725452,1e-06,1,0,0,0.004158
0.725468,0.00073,0,0,0,0
0.726209,1e-06,1,0,0,0.004312
0.726226,0.000731,0,0,0,0
0.726969,1e-06,1,0,0,0.003755
0.726986,0.000736,0,0,0,0
0.727733,1e-06,1,0,0,0.004158
0.727749,0.000732,0,0,0,0
0.728492,1e-06,1,0,0,0.004312
0.728508,0.000731,0,0,0,0
0.72925,1e-06,1,0,0,0.004312
0.729266,0.00073,0,0,0,0
0.730008,1e-06,1,0,0,0.003755
0.730024,0.000729,0,0,0,0
0.730765,1e-06,1,0,0,0.004312
0.730782,0.000729,0,0,0,0
0.731521,1e-06,1,0,0,0.004312
0.731537,0.000728,0,0,0,0
0.732276,1e-06,1,0,0,0.004312
0.732292,0.000728,0,0,0,0
0.733031,1e-06,1,0,0,0.003881
0.733047,0.000731,0,0,0,0
0.733789,1e-06,1,0,0,0.004312
0.733805,0.000733,0,0,0,0
0.734549,1e-06,1,0,0,0.004312
0.734564,0.000731,0,0,0,0
0.735305,1e-06,1,0,0,0.004312
0.73532,0.000733,0,0,0,0
0.736064,1e-06,1,0,0,0.003755
0.736081,0.000735,0,0,0,0
0.736828,1e-06,1,0,0,0.004312
0.736844,0.000731,0,0,0,0
0.737587,1e-06,1,0,0,0.004312
0.737603,0.00073,0,0,0,0
0.738344,1e-06,1,0,0,0.004312
0.738361,0.000734,0,0,0,0
0.739105,1e-06,1,0,0,0.003881
0.739121,0.000728,0,0,0,0
0.739861,1e-06,1,0,0,0.004312
0.739877,0.000731,0,0,0,0
0.74062,1e-06,1,0,0,0.004312
0.740636,0.000729,0,0,0,0
0.741376,1e-06,1,0,0,0.004312
0.741392,0.000729,0,0,0,0
0.742134,1e-06,1,0,0,0.003755
0.74215,0.000728,0,0,0,0
0.74289,1e-06,1,0,0,0.004312
0.742907,0.000731,0,0,0,0
0.74365,1e-06,1,0,0,0.003881
0.743666,0.00073,0,0,0,0
0.744407,1e-06,1,0,0,0.004158
0.744424,0.000731,0,0,0,0
0.745166,1e-06,1,0,0,0.003755
0.745183,0.000731,0,0,0,0
0.745925,1e-06,1,0,0,0.004158
0.745942,0.000734,0,0,0,0
0.746687,1e-06,1,0,0,0.004158
0.746703,0.000733,0,0,0,0
0.747445,1e-06,1,0,0,0.004312
0.747461,0.000731,0,0,0,0
0.748204,1e-06,1,0,0,0.003881
0.74822,0.000734,0,0,0,0
0.748965,1e-06,1,0,0,0.004312
0.74898,0.000732,0,0,0,0
0.749723,1e-06,1,0,0,0.004312
0.749738,0.000733,0,0,0,0
0.750482,1e-06,1,0,0,0.003638
0.750499,0.00073,0,0,0,0
0.75124,1e-06,1,0,0,0.003755
0.751256,0.000729,0,0,0,0
0.751997,1e-06,1,0,0,0.004312
0.752014,0.000732,0,0,0,0
0.752757,1e-06,1,0,0,0.004312
0.752774,0.000732,0,0,0,0
0.753518,1e-06,1,0,0,0.004312
0.753535,0.000731,0,0,0,0
0.754277,1e-06,1,0,0,0.003755
0.754293,0.000733,0,0,0,0
0.755037,1e-06,1,0,0,0.004158
0.755054,0.000729,0,0,0,0
0.755794,1e-06,1,0,0,0.004158
0.755811,0.00073,0,0,0,0
0.756557,2e-06,0,1,0,0.002239
