start,duration,direction,throughput
0.752081,3e-06,0,4.190952
0.752126,3e-06,0,4.190952
0.752159,3e-06,0,4.148619
0.752192,3e-06,0,4.234157
0.752224,3e-06,0,4.190952
0.752259,3e-06,0,4.190952
0.754787,2e-06,0,2.910383
0.754799,2e-06,0,2.780067
0.754851,2e-06,0,2.95658
0.754861,2e-06,0,3.004266
0.754906,2e-06,0,3.055902
0.754917,2e-06,0,3.104409
0.754963,2e-06,0,3.055902
0.754975,2e-06,0,3.055902
0.755023,2e-06,0,3.111464
0.755034,2e-06,0,3.111464
0.755083,2e-06,0,3.159333
0.755094,2e-06,0,3.111464
0.759277,6e-06,0,5.260589
0.759307,9e-06,0,7.478175
0.759341,1.7e-05,0,9.966006
0.759402,2.3e-05,0,10.206275
0.767723,2e-06,0,1.829903
0.767738,2e-06,0,2.296349
0.767748,2e-06,0,2.252189
0.767758,2e-06,0,2.252189
0.883778,0.004957,0,7.127207
0.888876,0.004525,0,7.807277
0.893534,0.004499,0,7.852533
0.898166,0.004179,0,8.452667
0.902478,0.004226,0,8.359796
0.906833,0.0043,0,8.216021
0.911263,0.001787,0,8.539758
0.913175,0.002138,0,8.260218
0.915412,2e-06,0,0.003755
0.915532,0.000867,0,7.427019
0.916546,0.0513,0,8.030924
0.967903,2.4e-05,0,10.095638
0.967976,2.7e-05,0,10.158985
0.968046,2.3e-05,0,10.234753
0.968162,6.7e-05,0,10.715281
0.968352,0.000264,0,9.928228
0.968743,0.000264,0,9.918595
0.969653,2e-06,1,0.001687
0.969978,2e-06,1,0.001712
0.969994,1e-06,1,0.002587
0.970072,1e-06,1,0.00291
0.970128,8.2e-05,1,12.030979
0.970259,2e-06,1,0.002079
0.9703,8.1e-05,1,12.068857
0.970655,8.9e-05,0,10.979926
0.970793,8.9e-05,0,11.015545
0.970944,2e-06,1,0.002079
0.970993,8.5e-05,1,12.12376
0.971125,2e-06,1,0.002117
0.971172,8.6e-05,1,12.069413
0.971446,9.4e-05,0,10.967341
0.971587,9.4e-05,0,11.034764
0.971749,2e-06,1,0.002117
0.971799,9.1e-05,1,11.94829
0.971936,2e-06,1,0.002117
0.971981,9.1e-05,1,12.020015
0.972337,9.9e-05,0,10.991492
0.972482,9.9e-05,0,11.016392
0.972726,2e-06,1,0.00194
1.033985,2e-06,1,0.001712
1.034003,1.4e-05,1,10.235844
1.034077,1e-06,1,0.002985
1.03409,1.3e-05,1,11.00739
1.034158,1.4e-05,0,9.757108
1.034209,1.4e-05,0,9.778887
1.034289,1e-06,1,0.002985
1.034301,1.3e-05,1,11.453188
1.034366,1e-06,1,0.002985
1.034377,1.3e-05,1,11.424838
1.034429,1.5e-05,0,10.122006
1.034477,1.5e-05,0,10.122006
1.034555,1e-06,1,0.003064
1.034567,1.4e-05,1,11.496219
1.034632,1e-06,1,0.002985
1.034643,1.4e-05,1,11.44212
1.034702,1.5e-05,0,10.173433
1.034758,1.5e-05,0,10.216178
1.074882,1e-06,1,0.01194
1.076222,2e-06,1,0.002156
1.076437,1e-06,1,0.002646
1.076452,1e-06,1,0.002587
1.07652,1e-06,1,0.00291
1.07657,8.2e-05,1,11.969931
1.076705,2e-06,1,0.002042
1.076746,8.1e-05,1,12.054625
1.07701,8.9e-05,0,10.991732
1.077148,8.9e-05,0,11.059118
1.077304,2e-06,1,0.002117
1.077353,8.6e-05,1,12.046912
1.077485,2e-06,1,0.002117
1.077532,8.6e-05,1,12.078437
1.077808,9.5e-05,0,10.926657
1.077943,9.4e-05,0,11.015952
1.078105,2e-06,1,0.002117
1.078153,9e-05,1,12.079731
1.078288,2e-06,1,0.002079
1.078336,9.1e-05,1,11.994602
1.078621,9.9e-05,0,11.002149
1.078762,9.9e-05,0,11.052159
1.079008,2e-06,1,0.001908
1.140358,2e-06,1,0.002117
1.140384,1.3e-05,1,10.952353
1.140469,1e-06,1,0.002985
1.140481,1.3e-05,1,10.790496
1.140531,1.4e-05,0,9.713839
1.140589,1.4e-05,0,9.800764
1.140664,1e-06,1,0.00291
1.140676,1.3e-05,1,11.453188
1.140745,1e-06,1,0.002985
1.140757,1.3e-05,1,11.368558
1.140808,1.5e-05,0,10.144949
1.140856,1.5e-05,0,10.144252
1.140936,1e-06,1,0.002985
1.140947,1.4e-05,1,11.256715
1.141013,1e-06,1,0.00291
1.141025,1.4e-05,1,11.41526
1.141077,1.6e-05,0,10.0266
1.141125,1.5e-05,0,10.216178
1.182761,1e-06,1,0.002839
1.182968,1e-06,1,0.002587
1.182983,1e-06,1,0.002587
1.183052,1e-06,1,0.00291
1.183101,8.1e-05,1,12.087886
1.183227,2e-06,1,0.002042
1.183274,8.1e-05,1,12.102197
1.183535,8.9e-05,0,10.987794
1.183667,8.9e-05,0,11.039213
1.183816,2e-06,1,0.002079
1.183865,8.7e-05,1,11.918043
1.183998,2e-06,1,0.002042
1.184044,8.6e-05,1,12.082955
1.184316,9.5e-05,0,10.937639
1.184455,9.4e-05,0,11.023469
1.184617,2e-06,1,0.002079
1.184665,9e-05,1,12.037149
1.184804,2e-06,1,0.002079
1.184851,9e-05,1,12.079731
1.185136,0.0001,0,10.945656
1.185278,9.9e-05,0,10.977424
1.185523,2e-06,1,0.001848
1.246715,2e-06,1,0.002156
1.24673,1.3e-05,1,11.00739
1.2468,1e-06,1,0.00291
1.246811,1.3e-05,1,11.00739
1.24686,1.4e-05,0,9.735425
1.246915,1.4e-05,0,9.844812
1.246988,1e-06,1,0.002985
1.247,1.3e-05,1,11.453188
1.247065,1e-06,1,0.002985
1.247077,1.3e-05,1,11.202997
1.247128,1.5e-05,0,9.990551
1.247175,1.4e-05,0,10.189039
1.247253,1e-06,1,0.002985
1.247264,1.4e-05,1,11.497069
1.247329,1e-06,1,0.002985
1.24734,1.4e-05,1,11.442961
1.247391,1.5e-05,0,10.194761
1.24744,1.5e-05,0,10.237686
1.28898,1e-06,1,0.002839
1.28919,1e-06,1,0.002587
1.289204,2e-06,1,0.002376
1.289272,1e-06,1,0.002985
1.289321,8.2e-05,1,12.035701
1.289449,2e-06,1,0.002079
1.28949,8.1e-05,1,12.102197
1.289757,9e-05,0,10.936851
1.289887,8.9e-05,0,11.023341
1.290029,2e-06,1,0.00208
1.290077,8.6e-05,1,12.033452
1.290208,2e-06,1,0.002079
1.290255,8.6e-05,1,12.033452
1.290528,9.4e-05,0,10.9599
1.29067,9.4e-05,0,11.034764
1.290832,2e-06,1,0.002079
1.290883,9e-05,1,12.084154
1.291018,2e-06,1,0.002079
1.291064,9e-05,1,12.079731
1.291349,9.9e-05,0,10.963282
1.291491,0.0001,0,10.945546
1.291735,2e-06,1,0.001908
1.353189,2e-06,1,0.002117
1.353278,1.3e-05,1,10.952353
1.353426,1e-06,1,0.00291
1.353438,1.3e-05,1,10.979803
1.35361,1.4e-05,0,9.692348
1.353665,1.4e-05,0,9.778887
1.353755,1e-06,1,0.00291
1.353767,1.3e-05,1,11.453188
1.353834,1e-06,1,0.00291
1.353846,1.3e-05,1,11.396629
1.353902,1.5e-05,0,10.144252
1.353956,1.5e-05,0,10.166596
1.354039,1e-06,1,0.002985
1.354052,1.4e-05,1,11.496219
1.354116,1e-06,1,0.00291
1.354128,1.4e-05,1,11.442961
1.354187,1.6e-05,0,9.964961
1.354236,1.5e-05,0,10.216178
1.395716,1e-06,1,0.00291
1.395979,1e-06,1,0.002587
1.396004,1e-06,1,0.002587
1.396073,1e-06,1,0.002985
1.396126,8.1e-05,1,12.087886
1.396254,2e-06,1,0.002079
1.396294,8.2e-05,1,12.030979
1.396558,9e-05,0,10.956389
1.396696,8.9e-05,0,10.987794
1.396854,2e-06,1,0.002117
1.396904,8.6e-05,1,12.020022
1.397036,2e-06,1,0.002079
1.397082,8.6e-05,1,12.051406
1.397356,9.4e-05,0,10.952586
1.397496,9.4e-05,0,11.004696
1.39765,2e-06,1,0.002079
1.3977,9e-05,1,12.096903
1.397838,2e-06,1,0.002079
1.397884,9e-05,1,12.08402
1.39817,9.9e-05,0,10.959642
1.398309,9.9e-05,0,11.005706
1.398554,2e-06,1,0.001908
1.459742,2e-06,1,0.002156
1.459756,1.3e-05,1,10.897864
1.459823,1e-06,1,0.002985
1.459835,1.3e-05,1,10.925041
1.459885,1.5e-05,0,9.607986
1.459941,1.5e-05,0,9.586305
1.460013,1e-06,1,0.002985
1.460025,1.3e-05,1,11.453188
1.46009,1e-06,1,0.002985
1.460102,1.3e-05,1,11.453188
