start,duration,threads_x,threads_y,threads_z
0.34145,3.4e-05,1024.0,1.0,1.0
0.347275,0.000117,2048.0,1.0,1.0
0.347359,8.9e-05,2048.0,1.0,1.0
0.347391,2.4e-05,256.0,1.0,1.0
0.347418,7.3e-05,1536.0,1.0,1.0
0.347447,2.4e-05,512.0,1.0,1.0
0.34746,2.3e-05,512.0,1.0,1.0
0.34749,3.7e-05,1024.0,1.0,1.0
0.353909,0.000103,3072.0,1.0,1.0
0.353983,8.3e-05,1536.0,1.0,1.0
0.354011,7.1e-05,2048.0,1.0,1.0
0.354037,4.1e-05,1024.0,1.0,1.0
0.354055,7e-05,1536.0,1.0,1.0
0.354066,2.2e-05,512.0,1.0,1.0
0.354082,2.1e-05,512.0,1.0,1.0
0.354103,2.1e-05,512.0,1.0,1.0
0.354124,3.6e-05,1024.0,1.0,1.0
0.360532,7.3e-05,4096.0,1.0,1.0
0.360577,4.1e-05,1024.0,1.0,1.0
0.360604,6.7e-05,3584.0,1.0,1.0
0.360648,6.8e-05,2560.0,1.0,1.0
0.36067,3.7e-05,1024.0,1.0,1.0
0.360688,3.9e-05,1024.0,1.0,1.0
0.360715,0.000113,2048.0,1.0,1.0
0.360784,4e-05,1024.0,1.0,1.0
0.360826,6.4e-05,1536.0,1.0,1.0
0.360867,2.1e-05,512.0,1.0,1.0
0.360889,4e-05,1024.0,1.0,1.0
0.367158,7.3e-05,5120.0,1.0,1.0
0.367204,6.9e-05,2560.0,1.0,1.0
0.36723,7.6e-05,3072.0,1.0,1.0
0.367246,6.7e-05,1536.0,1.0,1.0
0.367273,6.6e-05,1536.0,1.0,1.0
0.367275,2.4e-05,512.0,1.0,1.0
0.367287,4e-05,1024.0,1.0,1.0
0.367305,7e-05,2560.0,1.0,1.0
0.367313,1.5e-05,256.0,1.0,1.0
0.367313,2.1e-05,512.0,1.0,1.0
0.367336,3.7e-05,1024.0,1.0,1.0
0.367351,6.3e-05,2048.0,1.0,1.0
0.367374,2.3e-05,512.0,1.0,1.0
0.367391,6e-05,2048.0,1.0,1.0
0.367413,1.5e-05,256.0,1.0,1.0
0.367429,6.2e-05,1536.0,1.0,1.0
0.36745,1.3e-05,256.0,1.0,1.0
0.367466,3.9e-05,1024.0,1.0,1.0
0.36749,3.7e-05,1024.0,1.0,1.0
0.373778,6.8e-05,6144.0,1.0,1.0
0.373821,7.3e-05,5120.0,1.0,1.0
0.373845,3.8e-05,1024.0,1.0,1.0
0.373865,6.6e-05,1536.0,1.0,1.0
0.373893,6.8e-05,4096.0,1.0,1.0
0.373906,3.8e-05,1024.0,1.0,1.0
0.373931,4.1e-05,1024.0,1.0,1.0
0.373936,7e-05,3072.0,1.0,1.0
0.373961,3.8e-05,1024.0,1.0,1.0
0.373978,5.9e-05,2048.0,1.0,1.0
0.374004,6.5e-05,1536.0,1.0,1.0
0.374014,3.7e-05,1024.0,1.0,1.0
0.374036,3.9e-05,1024.0,1.0,1.0
0.374043,2e-05,512.0,1.0,1.0
0.374068,4e-05,1024.0,1.0,1.0
0.380399,0.0001,7168.0,1.0,1.0
0.380471,6.7e-05,6144.0,1.0,1.0
0.380498,7e-05,1536.0,1.0,1.0
0.380511,7.9e-05,3584.0,1.0,1.0
0.380538,6.7e-05,2560.0,1.0,1.0
0.380541,6.8e-05,1536.0,1.0,1.0
