start,duration,H2D,D2H,D2D,Throughput
0.360791,3e-06,0,0,0,0
0.360818,2e-06,0,0,0,0
0.360837,2e-06,0,0,0,0
0.360856,2e-06,0,0,0,0
0.360872,4e-06,0,0,0,0
0.361071,2e-06,1,0,0,0.019403
0.361252,1e-06,1,0,0,0.021659
0.361342,0.000248,0,0,0,0
0.361589,0.000129,0,0,0,0
0.361701,6.5e-05,0,0,0,0
0.36171,7.2e-05,0,0,0,0
0.361717,6.6e-05,0,0,0,0
0.361718,6.2e-05,0,0,0,0
0.36176,5.2e-05,0,0,0,0
0.36176,5.3e-05,0,0,0,0
0.361763,5.5e-05,0,0,0,0
0.361766,5.9e-05,0,0,0,0
0.361767,5.4e-05,0,0,0,0
0.361773,5.4e-05,0,0,0,0
0.361774,5e-05,0,0,0,0
0.361776,8.5e-05,0,0,0,0
0.361777,7.2e-05,0,0,0,0
0.361778,7.7e-05,0,0,0,0
0.361778,8.5e-05,0,0,0,0
0.361779,7.7e-05,0,0,0,0
0.361779,7.1e-05,0,0,0,0
0.36178,7.9e-05,0,0,0,0
0.361782,7.9e-05,0,0,0,0
0.361782,7.3e-05,0,0,0,0
0.361808,0.000143,0,0,0,0
0.361809,7.6e-05,0,0,0,0
0.36181,0.00015,0,0,0,0
0.36181,0.000126,0,0,0,0
0.361811,0.000143,0,0,0,0
0.361811,0.000137,0,0,0,0
0.361813,0.000111,0,0,0,0
0.361813,0.00013,0,0,0,0
0.361813,0.000118,0,0,0,0
0.361813,0.000143,0,0,0,0
0.361815,0.000131,0,0,0,0
0.361816,0.000106,0,0,0,0
0.361817,7.1e-05,0,0,0,0
0.361817,0.000102,0,0,0,0
0.361817,0.000151,0,0,0,0
0.361818,0.0001,0,0,0,0
0.361818,0.000134,0,0,0,0
0.361819,0.000147,0,0,0,0
0.36182,9.1e-05,0,0,0,0
0.361821,0.000132,0,0,0,0
0.361821,8.6e-05,0,0,0,0
0.361822,8.4e-05,0,0,0,0
0.361822,0.000109,0,0,0,0
0.361823,0.000142,0,0,0,0
0.361823,0.000136,0,0,0,0
0.361824,0.000127,0,0,0,0
0.361824,0.000102,0,0,0,0
0.361826,0.000141,0,0,0,0
0.361828,0.000113,0,0,0,0
0.361828,0.00013,0,0,0,0
0.361831,7.9e-05,0,0,0,0
0.361832,0.000119,0,0,0,0
0.361833,8.9e-05,0,0,0,0
0.361834,7.6e-05,0,0,0,0
0.361834,0.000122,0,0,0,0
0.361834,0.000128,0,0,0,0
0.361835,0.000127,0,0,0,0
0.361836,0.000105,0,0,0,0
0.361837,0.00011,0,0,0,0
0.361837,0.000132,0,0,0,0
0.361839,0.000122,0,0,0,0
0.361839,0.000106,0,0,0,0
0.361839,0.000113,0,0,0,0
0.361842,0.000102,0,0,0,0
0.361843,0.000118,0,0,0,0
0.361844,0.000124,0,0,0,0
0.361846,9.3e-05,0,0,0,0
0.361846,0.000113,0,0,0,0
0.361848,0.000121,0,0,0,0
0.361848,0.000111,0,0,0,0
0.361848,0.000114,0,0,0,0
0.361849,9.7e-05,0,0,0,0
0.36185,0.000106,0,0,0,0
0.361851,0.000111,0,0,0,0
0.361852,8.6e-05,0,0,0,0
0.361853,9.8e-05,0,0,0,0
0.361854,0.000113,0,0,0,0
0.361854,9.2e-05,0,0,0,0
0.361854,0.000107,0,0,0,0
0.361855,0.000106,0,0,0,0
0.361856,9.7e-05,0,0,0,0
0.36186,0.000106,0,0,0,0
0.36186,0.000108,0,0,0,0
0.361863,0.000102,0,0,0,0
0.361865,6e-06,0,0,0,0
0.361868,6e-06,0,0,0,0
0.361868,5e-06,0,0,0,0
0.361869,5e-06,0,0,0,0
0.36187,5e-06,0,0,0,0
0.361873,5e-06,0,0,0,0
0.361873,6e-06,0,0,0,0
0.361874,6e-06,0,0,0,0
0.361874,5e-06,0,0,0,0
0.361875,6e-06,0,0,0,0
0.361876,5e-06,0,0,0,0
0.361877,6e-06,0,0,0,0
0.361877,6e-06,0,0,0,0
0.361877,5e-06,0,0,0,0
0.361877,5e-06,0,0,0,0
0.361878,6e-06,0,0,0,0
0.361878,5e-06,0,0,0,0
0.361879,5e-06,0,0,0,0
0.361879,5e-06,0,0,0,0
0.361879,5e-06,0,0,0,0
0.36188,5e-06,0,0,0,0
0.361881,4e-06,0,0,0,0
0.361881,4e-06,0,0,0,0
0.361882,5e-06,0,0,0,0
0.361882,5e-06,0,0,0,0
0.361882,5e-06,0,0,0,0
0.361882,5e-06,0,0,0,0
0.361883,4e-06,0,0,0,0
0.361883,5e-06,0,0,0,0
0.361884,5e-06,0,0,0,0
0.361884,4e-06,0,0,0,0
0.361884,4e-06,0,0,0,0
0.361885,4e-06,0,0,0,0
0.361885,5e-06,0,0,0,0
0.361885,5e-06,0,0,0,0
0.361886,5e-06,0,0,0,0
0.361887,4e-06,0,0,0,0
0.361888,4e-06,0,0,0,0
0.361888,5e-06,0,0,0,0
0.361888,4e-06,0,0,0,0
0.361889,4e-06,0,0,0,0
0.361889,5e-06,0,0,0,0
0.361889,4e-06,0,0,0,0
0.361889,4e-06,0,0,0,0
0.36189,4e-06,0,0,0,0
0.36189,4e-06,0,0,0,0
0.36189,5e-06,0,0,0,0
0.361891,4e-06,0,0,0,0
0.361891,5e-06,0,0,0,0
0.361892,5e-06,0,0,0,0
0.361892,4e-06,0,0,0,0
0.361892,4e-06,0,0,0,0
0.361893,4e-06,0,0,0,0
0.361893,4e-06,0,0,0,0
0.361893,5e-06,0,0,0,0
0.361893,4e-06,0,0,0,0
0.361894,4e-06,0,0,0,0
0.361894,5e-06,0,0,0,0
0.361895,4e-06,0,0,0,0
0.361895,5e-06,0,0,0,0
0.361895,4e-06,0,0,0,0
0.361895,4e-06,0,0,0,0
0.361896,4e-06,0,0,0,0
0.361896,5e-06,0,0,0,0
0.361897,4e-06,0,0,0,0
0.361897,4e-06,0,0,0,0
0.361898,4e-06,0,0,0,0
0.361898,4e-06,0,0,0,0
0.361898,4e-06,0,0,0,0
0.3619,4e-06,0,0,0,0
0.3619,4e-06,0,0,0,0
0.3619,4e-06,0,0,0,0
0.3619,4e-06,0,0,0,0
0.3619,5e-06,0,0,0,0
0.361901,4e-06,0,0,0,0
0.361901,5e-06,0,0,0,0
0.361902,4e-06,0,0,0,0
0.361902,5e-06,0,0,0,0
0.361902,4e-06,0,0,0,0
0.361902,4e-06,0,0,0,0
0.361903,4e-06,0,0,0,0
0.361903,4e-06,0,0,0,0
0.361904,4e-06,0,0,0,0
0.361904,4e-06,0,0,0,0
0.361905,4e-06,0,0,0,0
0.361905,4e-06,0,0,0,0
0.361905,4e-06,0,0,0,0
0.361905,4e-06,0,0,0,0
0.361905,4e-06,0,0,0,0
0.361906,5e-06,0,0,0,0
0.361906,4e-06,0,0,0,0
0.361907,4e-06,0,0,0,0
0.361907,4e-06,0,0,0,0
0.361907,4e-06,0,0,0,0
0.361907,4e-06,0,0,0,0
0.361908,4e-06,0,0,0,0
0.361908,4e-06,0,0,0,0
0.361908,4e-06,0,0,0,0
0.361909,5e-06,0,0,0,0
0.361909,4e-06,0,0,0,0
0.36191,4e-06,0,0,0,0
0.36191,4e-06,0,0,0,0
0.361911,4e-06,0,0,0,0
0.361911,4e-06,0,0,0,0
0.361912,4e-06,0,0,0,0
0.361912,4e-06,0,0,0,0
0.361912,4e-06,0,0,0,0
0.361912,4e-06,0,0,0,0
0.361913,4e-06,0,0,0,0
0.361913,4e-06,0,0,0,0
0.361914,4e-06,0,0,0,0
0.361914,4e-06,0,0,0,0
0.361914,4e-06,0,0,0,0
0.361916,4e-06,0,0,0,0
0.361916,4e-06,0,0,0,0
0.361916,4e-06,0,0,0,0
0.361916,4e-06,0,0,0,0
0.361917,4e-06,0,0,0,0
0.361917,4e-06,0,0,0,0
0.361918,4e-06,0,0,0,0
0.361919,4e-06,0,0,0,0
0.361919,4e-06,0,0,0,0
0.361919,4e-06,0,0,0,0
0.36192,4e-06,0,0,0,0
0.36192,4e-06,0,0,0,0
0.36192,4e-06,0,0,0,0
0.361921,4e-06,0,0,0,0
0.361921,4e-06,0,0,0,0
0.361921,4e-06,0,0,0,0
0.361922,4e-06,0,0,0,0
0.361922,4e-06,0,0,0,0
0.361922,4e-06,0,0,0,0
0.361923,4e-06,0,0,0,0
0.361923,4e-06,0,0,0,0
0.361923,4e-06,0,0,0,0
0.361924,4e-06,0,0,0,0
0.361924,4e-06,0,0,0,0
0.361924,4e-06,0,0,0,0
0.361925,4e-06,0,0,0,0
0.361925,4e-06,0,0,0,0
0.361926,4e-06,0,0,0,0
0.361926,4e-06,0,0,0,0
0.361927,4e-06,0,0,0,0
0.361927,4e-06,0,0,0,0
0.361928,4e-06,0,0,0,0
0.361929,4e-06,0,0,0,0
0.36193,4e-06,0,0,0,0
0.361931,4e-06,0,0,0,0
0.361931,4e-06,0,0,0,0
0.361931,4e-06,0,0,0,0
0.361932,4e-06,0,0,0,0
0.361932,4e-06,0,0,0,0
0.361932,4e-06,0,0,0,0
0.361933,4e-06,0,0,0,0
0.361933,4e-06,0,0,0,0
0.361934,4e-06,0,0,0,0
0.361934,4e-06,0,0,0,0
0.361934,4e-06,0,0,0,0
0.361934,4e-06,0,0,0,0
0.361935,4e-06,0,0,0,0
0.361935,4e-06,0,0,0,0
0.361935,4e-06,0,0,0,0
0.361936,3e-06,0,0,0,0
0.361936,4e-06,0,0,0,0
0.361937,4e-06,0,0,0,0
0.361937,4e-06,0,0,0,0
0.361937,4e-06,0,0,0,0
0.361937,4e-06,0,0,0,0
0.361938,4e-06,0,0,0,0
0.361938,4e-06,0,0,0,0
0.361939,4e-06,0,0,0,0
0.361939,4e-06,0,0,0,0
0.361939,3e-06,0,0,0,0
0.36194,4e-06,0,0,0,0
0.36194,4e-06,0,0,0,0
0.36194,4e-06,0,0,0,0
0.36194,4e-06,0,0,0,0
0.361941,4e-06,0,0,0,0
0.361941,4e-06,0,0,0,0
0.361942,4e-06,0,0,0,0
0.361942,4e-06,0,0,0,0
0.361943,4e-06,0,0,0,0
0.361943,4e-06,0,0,0,0
0.361943,4e-06,0,0,0,0
0.361944,4e-06,0,0,0,0
0.361944,4e-06,0,0,0,0
0.361945,4e-06,0,0,0,0
0.361945,4e-06,0,0,0,0
0.361945,4e-06,0,0,0,0
0.361946,4e-06,0,0,0,0
0.361946,4e-06,0,0,0,0
0.361946,4e-06,0,0,0,0
0.361946,4e-06,0,0,0,0
0.361947,4e-06,0,0,0,0
0.361947,4e-06,0,0,0,0
0.361948,4e-06,0,0,0,0
0.361948,4e-06,0,0,0,0
0.361948,4e-06,0,0,0,0
0.361949,4e-06,0,0,0,0
0.361949,4e-06,0,0,0,0
0.361949,4e-06,0,0,0,0
0.361949,4e-06,0,0,0,0
0.36195,4e-06,0,0,0,0
0.361951,4e-06,0,0,0,0
0.361951,4e-06,0,0,0,0
0.361951,4e-06,0,0,0,0
0.361951,4e-06,0,0,0,0
0.361953,4e-06,0,0,0,0
0.361953,4e-06,0,0,0,0
0.361953,4e-06,0,0,0,0
0.361954,4e-06,0,0,0,0
0.361954,4e-06,0,0,0,0
0.361954,4e-06,0,0,0,0
0.361954,4e-06,0,0,0,0
0.361955,4e-06,0,0,0,0
0.361955,4e-06,0,0,0,0
0.361956,4e-06,0,0,0,0
0.361956,4e-06,0,0,0,0
0.361956,4e-06,0,0,0,0
0.361956,4e-06,0,0,0,0
0.361957,4e-06,0,0,0,0
0.361957,4e-06,0,0,0,0
0.361957,3e-06,0,0,0,0
0.361958,4e-06,0,0,0,0
0.361958,4e-06,0,0,0,0
0.361958,4e-06,0,0,0,0
0.361959,4e-06,0,0,0,0
0.36196,4e-06,0,0,0,0
0.36196,4e-06,0,0,0,0
0.361961,4e-06,0,0,0,0
0.361961,4e-06,0,0,0,0
0.361961,3e-06,0,0,0,0
0.361962,3e-06,0,0,0,0
0.361962,4e-06,0,0,0,0
0.361962,4e-06,0,0,0,0
0.361963,4e-06,0,0,0,0
0.361963,3e-06,0,0,0,0
0.361963,4e-06,0,0,0,0
0.361964,4e-06,0,0,0,0
0.361964,4e-06,0,0,0,0
0.361965,4e-06,0,0,0,0
0.361965,3e-06,0,0,0,0
0.361965,4e-06,0,0,0,0
0.361966,3e-06,0,0,0,0
0.361966,4e-06,0,0,0,0
0.361966,4e-06,0,0,0,0
0.361967,4e-06,0,0,0,0
0.361967,4e-06,0,0,0,0
0.361967,3e-06,0,0,0,0
0.361968,4e-06,0,0,0,0
0.361968,4e-06,0,0,0,0
0.361969,4e-06,0,0,0,0
0.361969,4e-06,0,0,0,0
0.361969,3e-06,0,0,0,0
0.36197,3e-06,0,0,0,0
0.36197,4e-06,0,0,0,0
0.362086,5e-06,0,1,0,7.690922
0.362114,4e-06,0,1,0,8.765389
0.362214,5.4e-05,0,1,0,11.99572
