start,duration,threads_x,threads_y,threads_z
0.357097,3e-06,3584.0,1.0,1.0
0.357127,1e-06,3584.0,1.0,1.0
0.357149,1e-06,3584.0,1.0,1.0
0.35717,1e-06,3584.0,1.0,1.0
0.357186,4e-06,3584.0,1.0,1.0
0.357703,0.000183,128.0,1.0,1.0
0.357886,0.000101,512.0,1.0,1.0
0.357975,5.5e-05,512.0,1.0,1.0
0.35798,6.5e-05,512.0,1.0,1.0
0.357986,6e-05,512.0,1.0,1.0
0.357987,5.4e-05,512.0,1.0,1.0
0.358025,4.4e-05,512.0,1.0,1.0
0.358027,4.8e-05,512.0,1.0,1.0
0.358029,5.2e-05,512.0,1.0,1.0
0.358029,5.1e-05,512.0,1.0,1.0
0.358031,5.1e-05,512.0,1.0,1.0
0.358033,7.9e-05,512.0,1.0,1.0
0.358037,5.1e-05,512.0,1.0,1.0
0.358039,5.9e-05,512.0,1.0,1.0
0.35804,7.1e-05,512.0,1.0,1.0
0.358041,7.9e-05,512.0,1.0,1.0
0.358042,7.3e-05,512.0,1.0,1.0
0.358042,7.4e-05,512.0,1.0,1.0
0.358043,6.4e-05,512.0,1.0,1.0
0.358043,7.8e-05,512.0,1.0,1.0
0.358045,6.9e-05,512.0,1.0,1.0
0.358046,6.5e-05,512.0,1.0,1.0
0.358068,0.000136,512.0,1.0,1.0
0.358069,0.00015,512.0,1.0,1.0
0.358069,0.000134,512.0,1.0,1.0
0.35807,9.9e-05,512.0,1.0,1.0
0.35807,7.8e-05,512.0,1.0,1.0
0.358071,0.000123,512.0,1.0,1.0
0.358071,7.1e-05,512.0,1.0,1.0
0.358072,0.00015,512.0,1.0,1.0
0.358074,8.7e-05,512.0,1.0,1.0
0.358074,0.000138,512.0,1.0,1.0
0.358075,8.2e-05,512.0,1.0,1.0
0.358075,7.1e-05,512.0,1.0,1.0
0.358075,8.1e-05,512.0,1.0,1.0
0.358076,0.000119,512.0,1.0,1.0
0.358077,0.000148,512.0,1.0,1.0
0.358077,0.000143,512.0,1.0,1.0
0.358078,0.000143,512.0,1.0,1.0
0.358078,9.2e-05,512.0,1.0,1.0
0.358079,0.00012,512.0,1.0,1.0
0.358079,0.000101,512.0,1.0,1.0
0.358081,0.0001,512.0,1.0,1.0
0.358081,0.000105,512.0,1.0,1.0
0.358081,0.000137,512.0,1.0,1.0
0.358082,0.00013,512.0,1.0,1.0
0.358083,0.000121,512.0,1.0,1.0
0.358083,0.000127,512.0,1.0,1.0
0.358084,0.000116,512.0,1.0,1.0
0.358086,0.000112,512.0,1.0,1.0
0.358086,0.000116,512.0,1.0,1.0
0.358086,0.000116,512.0,1.0,1.0
0.358086,0.000128,512.0,1.0,1.0
0.358087,0.000134,512.0,1.0,1.0
0.358088,0.000136,512.0,1.0,1.0
0.358088,9.1e-05,512.0,1.0,1.0
0.35809,0.000123,512.0,1.0,1.0
0.358091,0.000118,512.0,1.0,1.0
0.358091,9.6e-05,512.0,1.0,1.0
0.358096,0.000128,512.0,1.0,1.0
0.358096,8.5e-05,512.0,1.0,1.0
0.358097,0.000101,512.0,1.0,1.0
0.358098,0.000102,512.0,1.0,1.0
0.358098,0.000116,512.0,1.0,1.0
0.358099,0.000116,512.0,1.0,1.0
0.358099,0.000108,512.0,1.0,1.0
0.3581,0.000121,512.0,1.0,1.0
0.358101,0.000111,512.0,1.0,1.0
0.358101,0.000114,512.0,1.0,1.0
0.358101,9.3e-05,512.0,1.0,1.0
0.358103,0.000103,512.0,1.0,1.0
0.358105,0.00011,512.0,1.0,1.0
0.358106,9.9e-05,512.0,1.0,1.0
0.358108,0.000115,512.0,1.0,1.0
0.358109,8.9e-05,512.0,1.0,1.0
0.35811,8.2e-05,512.0,1.0,1.0
0.35811,0.000104,512.0,1.0,1.0
0.358111,0.000101,512.0,1.0,1.0
0.358113,9.1e-05,512.0,1.0,1.0
0.358113,0.000102,512.0,1.0,1.0
0.358113,0.000101,512.0,1.0,1.0
0.358114,0.000105,512.0,1.0,1.0
0.358115,0.000102,512.0,1.0,1.0
0.358117,8.4e-05,512.0,1.0,1.0
0.358118,0.000104,512.0,1.0,1.0
0.35812,9.6e-05,512.0,1.0,1.0
0.358121,6e-06,512.0,1.0,1.0
0.358122,5e-06,512.0,1.0,1.0
0.358123,5e-06,512.0,1.0,1.0
0.358125,5e-06,512.0,1.0,1.0
0.358126,4e-06,512.0,1.0,1.0
0.358126,5e-06,512.0,1.0,1.0
0.358127,5e-06,512.0,1.0,1.0
0.358128,5e-06,512.0,1.0,1.0
0.358128,4e-06,512.0,1.0,1.0
0.358128,5e-06,512.0,1.0,1.0
0.35813,5e-06,512.0,1.0,1.0
0.35813,4e-06,512.0,1.0,1.0
0.358132,5e-06,512.0,1.0,1.0
0.358132,4e-06,512.0,1.0,1.0
0.358133,5e-06,512.0,1.0,1.0
0.358134,5e-06,512.0,1.0,1.0
0.358134,5e-06,512.0,1.0,1.0
0.358134,5e-06,512.0,1.0,1.0
0.358135,4e-06,512.0,1.0,1.0
0.358135,4e-06,512.0,1.0,1.0
0.358136,4e-06,512.0,1.0,1.0
