start,duration,threads_x,threads_y,threads_z
1.962638,4e-06,32.0,8.0,1.0
1.962643,0.001297,8192.0,8192.0,1.0
1.963942,0.001518,524288.0,8.0,1.0
1.965462,0.00143,262144.0,8.0,1.0
1.966893,0.001346,2097152.0,1.0,1.0
1.968241,0.001414,16777216.0,1.0,1.0
1.96968,0.001522,524288.0,8.0,1.0
1.971204,0.001413,262144.0,8.0,1.0
1.972618,0.001336,2097152.0,1.0,1.0
1.973955,0.001402,16777216.0,1.0,1.0
1.975359,0.001902,33562624.0,1.0,1.0
1.977263,0.001396,16777216.0,1.0,1.0
1.97866,0.001346,524288.0,8.0,1.0
1.980007,0.001355,262144.0,8.0,1.0
1.981363,0.001332,2097152.0,1.0,1.0
3.268337,0.001296,8192.0,8192.0,1.0
3.269634,3e-06,32.0,8.0,1.0
3.269639,0.001357,524288.0,8.0,1.0
3.270998,0.001367,262144.0,8.0,1.0
3.272366,0.00135,2097152.0,1.0,1.0
3.273718,0.001414,16777216.0,1.0,1.0
3.275149,0.001346,524288.0,8.0,1.0
3.276496,0.001355,262144.0,8.0,1.0
3.277853,0.001332,2097152.0,1.0,1.0
3.279186,0.001403,16777216.0,1.0,1.0
3.280591,0.001903,33685504.0,1.0,1.0
3.282496,0.001407,16777216.0,1.0,1.0
3.283905,0.001346,524288.0,8.0,1.0
3.285252,0.001351,262144.0,8.0,1.0
3.286603,0.001333,2097152.0,1.0,1.0
4.596386,0.001297,8192.0,8192.0,1.0
4.597685,2e-06,32.0,8.0,1.0
4.597688,0.001347,524288.0,8.0,1.0
4.599036,0.001356,262144.0,8.0,1.0
4.600394,0.001335,2097152.0,1.0,1.0
4.601745,0.001342,524288.0,8.0,1.0
4.603089,0.001354,262144.0,8.0,1.0
4.604445,0.001335,2097152.0,1.0,1.0
4.605782,0.001983,16777216.0,1.0,1.0
4.607766,0.001344,524288.0,8.0,1.0
4.609111,0.001353,262144.0,8.0,1.0
4.610465,0.001336,2097152.0,1.0,1.0
