start,duration,H2D,D2H,D2D,Throughput
0.541719,0.00073,0,0,0,0
0.542461,0.000191,0,0,0,0
0.542675,0.00019,0,0,0,0
0.542882,0.00019,0,0,0,0
0.543087,0.00019,0,0,0,0
0.543292,0.00019,0,0,0,0
0.543498,0.00019,0,0,0,0
0.543704,0.00019,0,0,0,0
0.54391,0.00019,0,0,0,0
0.544115,0.00019,0,0,0,0
0.54432,0.00019,0,0,0,0
0.544527,9.3e-05,0,0,0,0
0.544621,8.4e-05,0,0,0,0
0.544707,0.000107,0,0,0,0
0.544818,0.001044,0,1,0,7.397249
0.553968,0.000713,1,0,0,10.831024
0.554691,4.4e-05,0,0,0,0
0.554751,4.2e-05,0,0,0,0
0.554794,4.2e-05,0,0,0,0
0.554837,4.2e-05,0,0,0,0
0.554881,4.3e-05,0,0,0,0
0.554924,4.2e-05,0,0,0,0
0.554967,4.2e-05,0,0,0,0
0.555011,4.2e-05,0,0,0,0
0.555054,4.3e-05,0,0,0,0
0.555098,4.3e-05,0,0,0,0
0.555141,4.2e-05,0,0,0,0
0.555185,4.3e-05,0,0,0,0
0.555229,4.2e-05,0,0,0,0
0.555272,4.2e-05,0,0,0,0
0.555315,4.3e-05,0,0,0,0
0.555359,4.2e-05,0,0,0,0
0.555402,4.2e-05,0,0,0,0
0.555445,4.3e-05,0,0,0,0
0.555489,4.2e-05,0,0,0,0
0.555531,4.2e-05,0,0,0,0
0.555575,4.3e-05,0,0,0,0
0.555619,4.2e-05,0,0,0,0
0.555662,4.2e-05,0,0,0,0
0.555705,4.2e-05,0,0,0,0
0.555749,4.2e-05,0,0,0,0
0.555792,4.2e-05,0,0,0,0
0.555834,4.3e-05,0,0,0,0
0.555879,4.2e-05,0,0,0,0
0.555922,4.2e-05,0,0,0,0
0.555965,4.3e-05,0,0,0,0
0.556009,4.3e-05,0,0,0,0
0.556053,4.2e-05,0,0,0,0
0.556096,4.3e-05,0,0,0,0
0.55614,4.2e-05,0,0,0,0
0.556183,4.2e-05,0,0,0,0
0.556226,4.2e-05,0,0,0,0
0.556269,4.3e-05,0,0,0,0
0.556313,4.2e-05,0,0,0,0
0.556357,4.3e-05,0,0,0,0
0.5564,4.2e-05,0,0,0,0
0.556444,4.3e-05,0,0,0,0
0.556487,4.2e-05,0,0,0,0
0.55653,4.3e-05,0,0,0,0
0.556574,4.2e-05,0,0,0,0
0.556617,4.2e-05,0,0,0,0
0.55666,4.2e-05,0,0,0,0
0.556703,4.3e-05,0,0,0,0
0.556747,4.2e-05,0,0,0,0
0.55679,4.2e-05,0,0,0,0
0.556833,4.2e-05,0,0,0,0
0.556877,4.2e-05,0,0,0,0
0.55692,4.2e-05,0,0,0,0
0.556963,4.2e-05,0,0,0,0
0.557007,4.3e-05,0,0,0,0
0.557051,4.2e-05,0,0,0,0
0.557094,4.2e-05,0,0,0,0
0.557137,4.2e-05,0,0,0,0
0.55718,4.3e-05,0,0,0,0
0.557224,4.2e-05,0,0,0,0
0.557267,4.3e-05,0,0,0,0
0.55731,4.2e-05,0,0,0,0
0.557354,4.3e-05,0,0,0,0
0.557397,4.1e-05,0,0,0,0
0.55744,4.2e-05,0,0,0,0
0.557483,4.2e-05,0,0,0,0
0.557527,4.3e-05,0,0,0,0
0.557571,4.2e-05,0,0,0,0
0.557614,4.2e-05,0,0,0,0
0.557657,4.3e-05,0,0,0,0
0.557701,4.2e-05,0,0,0,0
0.557744,4.3e-05,0,0,0,0
0.557789,4.2e-05,0,0,0,0
0.557831,4.2e-05,0,0,0,0
0.557875,4.3e-05,0,0,0,0
0.557918,4.2e-05,0,0,0,0
0.557961,4.2e-05,0,0,0,0
0.558005,4.2e-05,0,0,0,0
0.558048,4.2e-05,0,0,0,0
0.558091,4.2e-05,0,0,0,0
0.558135,4.2e-05,0,0,0,0
0.558178,4.2e-05,0,0,0,0
0.558221,4.3e-05,0,0,0,0
0.558265,4.3e-05,0,0,0,0
0.558309,4.2e-05,0,0,0,0
0.558353,4.2e-05,0,0,0,0
0.558396,4.3e-05,0,0,0,0
0.55844,4.3e-05,0,0,0,0
0.558484,4.2e-05,0,0,0,0
0.558527,4.2e-05,0,0,0,0
0.55857,4.2e-05,0,0,0,0
0.558613,4.2e-05,0,0,0,0
0.558657,4.2e-05,0,0,0,0
0.5587,4.2e-05,0,0,0,0
0.558744,4.2e-05,0,0,0,0
0.558787,4.2e-05,0,0,0,0
0.55883,4.2e-05,0,0,0,0
0.558873,4.3e-05,0,0,0,0
0.558917,4.2e-05,0,0,0,0
0.55896,4.2e-05,0,0,0,0
0.559003,4.2e-05,0,0,0,0
0.559047,4.2e-05,0,0,0,0
0.559118,8.5e-05,0,0,0,0
0.559204,4.4e-05,0,0,0,0
0.559266,0.001049,0,1,0,7.364751
0.565957,0.000358,1,0,0,10.783593
0.56632,2.7e-05,0,0,0,0
0.566365,9e-05,0,0,0,0
0.566457,2.7e-05,0,0,0,0
0.566497,0.000468,0,1,0,8.253039
