start,duration,H2D,D2H,D2D,Throughput
0.32826,3e-06,1,0,0,4.018291
0.328273,3e-06,1,0,0,4.018291
0.32847,1e-06,1,0,0,0.002772
0.328482,1e-06,1,0,0,0.003528
0.328517,3e-06,1,0,0,4.018291
0.328529,3e-06,1,0,0,4.018291
0.328542,3e-06,1,0,0,4.019702
0.328554,3e-06,1,0,0,4.018291
0.328566,3e-06,1,0,0,4.018291
0.328579,3e-06,1,0,0,4.018291
0.328591,3e-06,1,0,0,4.018291
0.328603,3e-06,1,0,0,3.973643
0.328616,3e-06,1,0,0,4.018291
0.328629,3e-06,1,0,0,4.018291
0.328641,3e-06,1,0,0,4.018291
0.328682,0.004044,0,0,0,0
0.33274,1e-06,0,1,0,0.002531
0.332763,0.004953,0,0,0,0
0.337727,2e-06,0,1,0,0.002197
0.337751,0.009916,0,0,0,0
0.347686,0.004037,0,0,0,0
0.351734,1e-06,0,1,0,0.002985
0.351753,0.004958,0,0,0,0
0.356722,1e-06,0,1,0,0.002707
0.356742,0.009927,0,0,0,0
0.366688,0.004043,0,0,0,0
0.370741,1e-06,0,1,0,0.00291
0.37076,0.004957,0,0,0,0
0.375728,1e-06,0,1,0,0.002985
0.375748,0.00994,0,0,0,0
0.385705,0.00405,0,0,0,0
0.389765,1e-06,0,1,0,0.00291
0.389783,0.004966,0,0,0,0
0.394759,1e-06,0,1,0,0.002985
0.394781,0.009936,0,0,0,0
0.404734,0.004052,0,0,0,0
0.408798,1e-06,0,1,0,0.002985
0.408816,0.004961,0,0,0,0
0.413788,1e-06,0,1,0,0.002839
0.413808,0.009935,0,0,0,0
0.423759,0.004049,0,0,0,0
0.427819,1e-06,0,1,0,0.00291
0.427839,0.00496,0,0,0,0
0.432808,1e-06,0,1,0,0.002985
0.432829,0.009924,0,0,0,0
0.442769,0.004055,0,0,0,0
0.446835,1e-06,0,1,0,0.002531
0.446854,0.004962,0,0,0,0
0.451826,1e-06,0,1,0,0.002985
0.451846,0.009928,0,0,0,0
0.46179,0.004051,0,0,0,0
0.465851,1e-06,0,1,0,0.002985
0.465869,0.004966,0,0,0,0
0.470846,1e-06,0,1,0,0.00291
0.470866,0.009926,0,0,0,0
0.480809,0.004043,0,0,0,0
0.484862,1e-06,0,1,0,0.00291
0.484881,0.00496,0,0,0,0
0.48985,1e-06,0,1,0,0.002985
0.48987,0.009928,0,0,0,0
0.499816,0.004045,0,0,0,0
0.503871,1e-06,0,1,0,0.002985
0.503889,0.004951,0,0,0,0
0.50885,1e-06,0,1,0,0.002985
0.508871,0.009905,0,0,0,0
0.518793,0.003972,0,0,0,0
0.522775,1e-06,0,1,0,0.00291
0.522793,0.004607,0,0,0,0
0.527411,1e-06,0,1,0,0.002985
0.527431,0.009224,0,0,0,0
0.536671,0.003755,0,0,0,0
0.540437,1e-06,0,1,0,0.002646
0.540456,0.0046,0,0,0,0
0.545066,1e-06,0,1,0,0.00291
0.545086,0.009224,0,0,0,0
0.554326,0.003755,0,0,0,0
0.558091,1e-06,0,1,0,0.002707
0.55811,0.004605,0,0,0,0
0.562725,1e-06,0,1,0,0.00291
0.562745,0.009222,0,0,0,0
0.571985,0.00376,0,0,0,0
0.575755,1e-06,0,1,0,0.00291
0.575776,0.004606,0,0,0,0
0.580391,1e-06,0,1,0,0.002646
0.580412,0.009229,0,0,0,0
0.589658,0.003764,0,0,0,0
0.593432,1e-06,0,1,0,0.00291
0.593451,0.004615,0,0,0,0
0.598075,1e-06,0,1,0,0.002646
0.598096,0.009241,0,0,0,0
