start,duration,H2D,D2H,D2D,Throughput
0.342027,0.000488,1,0,0,8.005759
0.342526,2.9e-05,0,0,0,0
0.342572,3e-06,0,0,0,0
0.342589,0.000997,0,0,0,0
0.343601,2.8e-05,0,0,0,0
0.343643,2e-06,0,0,0,0
0.343657,0.000998,0,0,0,0
0.34467,2.8e-05,0,0,0,0
0.34471,2e-06,0,0,0,0
0.344724,0.000998,0,0,0,0
0.345736,2.8e-05,0,0,0,0
0.345777,2e-06,0,0,0,0
0.345791,0.000998,0,0,0,0
0.346804,2.8e-05,0,0,0,0
0.346845,2e-06,0,0,0,0
0.34686,0.000997,0,0,0,0
0.347871,2.8e-05,0,0,0,0
0.347911,2e-06,0,0,0,0
0.347926,0.000994,0,0,0,0
0.348934,2.8e-05,0,0,0,0
0.348974,2e-06,0,0,0,0
0.348989,0.000998,0,0,0,0
0.35,2.8e-05,0,0,0,0
0.350041,2e-06,0,0,0,0
0.350056,0.000998,0,0,0,0
0.351069,2.8e-05,0,0,0,0
0.35111,2e-06,0,0,0,0
0.351125,0.000998,0,0,0,0
0.352136,2.8e-05,0,0,0,0
0.352177,2e-06,0,0,0,0
0.352193,0.000995,0,0,0,0
0.353202,2.8e-05,0,0,0,0
0.353242,2e-06,0,0,0,0
0.353257,0.000994,0,0,0,0
0.354264,2.9e-05,0,0,0,0
0.354305,2e-06,0,0,0,0
0.35432,0.000996,0,0,0,0
0.35533,2.8e-05,0,0,0,0
0.355373,2e-06,0,0,0,0
0.355388,0.000994,0,0,0,0
0.356396,2.8e-05,0,0,0,0
0.356436,2e-06,0,0,0,0
0.356451,0.000995,0,0,0,0
0.35746,2.8e-05,0,0,0,0
0.3575,2e-06,0,0,0,0
0.357515,0.000994,0,0,0,0
0.358523,2.8e-05,0,0,0,0
0.358564,3e-06,0,0,0,0
0.35858,0.000996,0,0,0,0
0.359589,2.8e-05,0,0,0,0
0.359631,2e-06,0,0,0,0
0.359645,0.000997,0,0,0,0
0.360656,2.8e-05,0,0,0,0
0.360697,2e-06,0,0,0,0
