start,duration,direction,throughput
0.33876,2e-06,0,0.371538
0.338769,1e-06,0,0.485064
0.338779,2e-06,0,2.306341
0.338789,2e-06,0,2.352108
0.338799,1e-06,0,1.653627
0.341151,4.9e-05,0,10.699742
0.34125,4.9e-05,0,10.664774
0.342877,4.3e-05,1,12.042176
0.35067,4.4e-05,1,11.988811
0.365411,4.2e-05,0,10.50942
0.365497,4.2e-05,0,10.574093
0.365549,1e-06,0,0.239483
0.365558,1e-06,0,0.246527
0.365566,1e-06,0,0.123263
0.365575,1e-06,0,0.123263
0.371644,3.7e-05,1,11.922544
0.379534,4.2e-05,0,10.497745
0.37962,4.2e-05,0,10.53825
0.379672,1e-06,0,0.239483
0.37968,1e-06,0,0.246527
0.379689,1e-06,0,0.123263
0.379697,1e-06,0,0.123263
0.385858,3.7e-05,1,11.78552
0.392878,4.2e-05,0,10.562551
0.392965,4.2e-05,0,10.434225
0.393017,1e-06,0,0.232831
0.393026,1e-06,0,0.239483
0.393035,1e-06,0,0.123263
0.393043,1e-06,0,0.123263
0.398947,3.7e-05,1,11.815922
0.405741,4.2e-05,0,10.442587
0.405827,4.2e-05,0,10.530929
0.405879,1e-06,0,0.239483
0.405887,1e-06,0,0.246527
0.405902,1e-06,0,0.126999
0.405911,1e-06,0,0.126999
0.412147,3.7e-05,1,11.807714
0.418986,4.2e-05,0,10.538758
0.419072,4.2e-05,0,10.538758
0.419124,1e-06,0,0.239483
0.419132,1e-06,0,0.253997
0.419141,1e-06,0,0.126999
0.41915,1e-06,0,0.123263
0.42505,3.7e-05,1,11.807396
0.431826,4.2e-05,0,10.396046
0.431918,4.2e-05,0,10.531685
0.431969,1e-06,0,0.246527
0.431978,1e-06,0,0.246527
0.431987,1e-06,0,0.126999
0.431995,1e-06,0,0.123263
0.437996,3.7e-05,1,11.799188
0.444605,4.1e-05,0,10.58857
0.44469,4.2e-05,0,10.380318
0.444742,1e-06,0,0.239483
0.444751,1e-06,0,0.246527
0.444759,1e-06,0,0.126999
0.444768,1e-06,0,0.10746
0.450977,3.8e-05,1,11.639372
0.457396,4.2e-05,0,10.408201
0.457482,4.2e-05,0,10.416104
0.457534,1e-06,0,0.239483
0.457544,1e-06,0,0.246527
0.457552,1e-06,0,0.095249
0.457561,1e-06,0,0.123263
0.463357,3.7e-05,1,11.825589
0.469955,4.2e-05,0,10.511886
0.47004,4.2e-05,0,10.400309
0.470092,1e-06,0,0.239483
0.470101,1e-06,0,0.239483
0.470109,1e-06,0,0.123263
0.470118,1e-06,0,0.126999
0.476043,3.7e-05,1,11.714816
0.482846,4.2e-05,0,10.560441
0.482937,4.2e-05,0,10.519948
0.482989,1e-06,0,0.246527
0.482999,1e-06,0,0.246527
0.483007,1e-06,0,0.126999
0.483017,1e-06,0,0.123263
0.4892,3.7e-05,1,11.724829
0.496093,4.2e-05,0,10.544974
0.496178,4.2e-05,0,10.416765
0.49623,1e-06,0,0.239483
0.496239,1e-06,0,0.246527
0.496247,1e-06,0,0.123263
0.496256,1e-06,0,0.123263
0.501898,3.7e-05,1,11.827556
0.508678,4.2e-05,0,10.456494
0.508763,4.2e-05,0,10.544974
0.508814,1e-06,0,0.232831
0.508824,1e-06,0,0.246527
