start,duration,threads_x,threads_y,threads_z
0.330332,0.00128,512.0,1.0,1.0
0.331629,6e-06,512.0,512.0,1.0
0.331651,0.001278,512.0,1.0,1.0
0.332944,6e-06,512.0,512.0,1.0
0.332968,0.001279,512.0,1.0,1.0
0.334264,6e-06,512.0,512.0,1.0
0.334285,0.001279,512.0,1.0,1.0
0.335578,6e-06,512.0,512.0,1.0
0.335598,0.001277,512.0,1.0,1.0
0.336889,6e-06,512.0,512.0,1.0
0.33691,0.001279,512.0,1.0,1.0
0.338203,6e-06,512.0,512.0,1.0
0.338223,0.001277,512.0,1.0,1.0
0.339514,6e-06,512.0,512.0,1.0
0.339535,0.001279,512.0,1.0,1.0
0.340827,6e-06,512.0,512.0,1.0
0.340847,0.001278,512.0,1.0,1.0
0.342139,6e-06,512.0,512.0,1.0
0.342159,0.001278,512.0,1.0,1.0
0.34345,6e-06,512.0,512.0,1.0
0.343471,0.001278,512.0,1.0,1.0
0.344762,6e-06,512.0,512.0,1.0
0.344782,0.001279,512.0,1.0,1.0
0.346074,6e-06,512.0,512.0,1.0
0.346094,0.001277,512.0,1.0,1.0
0.347384,6e-06,512.0,512.0,1.0
0.347404,0.001278,512.0,1.0,1.0
0.348695,6e-06,512.0,512.0,1.0
0.348716,0.001277,512.0,1.0,1.0
0.350007,6e-06,512.0,512.0,1.0
0.350027,0.001278,512.0,1.0,1.0
0.351319,6e-06,512.0,512.0,1.0
0.351339,0.001277,512.0,1.0,1.0
0.352629,6e-06,512.0,512.0,1.0
0.35265,0.001278,512.0,1.0,1.0
0.353941,6e-06,512.0,512.0,1.0
0.353961,0.001277,512.0,1.0,1.0
0.355251,6e-06,512.0,512.0,1.0
0.355273,0.001278,512.0,1.0,1.0
0.356565,6e-06,512.0,512.0,1.0
0.356585,0.001278,512.0,1.0,1.0
0.357876,6e-06,512.0,512.0,1.0
0.357896,0.001278,512.0,1.0,1.0
0.359188,6e-06,512.0,512.0,1.0
0.359208,0.001277,512.0,1.0,1.0
0.360498,6e-06,512.0,512.0,1.0
0.360519,0.001278,512.0,1.0,1.0
0.36181,6e-06,512.0,512.0,1.0
0.36183,0.001278,512.0,1.0,1.0
0.363121,6e-06,512.0,512.0,1.0
0.363141,0.001278,512.0,1.0,1.0
0.364432,6e-06,512.0,512.0,1.0
0.364452,0.001278,512.0,1.0,1.0
0.365745,6e-06,512.0,512.0,1.0
0.365765,0.001278,512.0,1.0,1.0
0.367057,6e-06,512.0,512.0,1.0
0.367077,0.001277,512.0,1.0,1.0
0.368367,6e-06,512.0,512.0,1.0
0.368388,0.001279,512.0,1.0,1.0
0.36968,6e-06,512.0,512.0,1.0
0.3697,0.001278,512.0,1.0,1.0
0.370991,6e-06,512.0,512.0,1.0
0.37101,0.001278,512.0,1.0,1.0
0.372302,6e-06,512.0,512.0,1.0
0.372322,0.001278,512.0,1.0,1.0
0.373613,6e-06,512.0,512.0,1.0
0.373633,0.001279,512.0,1.0,1.0
0.374925,6e-06,512.0,512.0,1.0
0.374945,0.001278,512.0,1.0,1.0
0.376236,6e-06,512.0,512.0,1.0
0.376256,0.001278,512.0,1.0,1.0
0.377548,6e-06,512.0,512.0,1.0
0.377568,0.001277,512.0,1.0,1.0
0.378859,6e-06,512.0,512.0,1.0
0.378879,0.001278,512.0,1.0,1.0
0.38017,6e-06,512.0,512.0,1.0
0.38019,0.001277,512.0,1.0,1.0
0.381482,6e-06,512.0,512.0,1.0
0.381502,0.001278,512.0,1.0,1.0
0.382794,6e-06,512.0,512.0,1.0
0.382813,0.001277,512.0,1.0,1.0
0.384104,6e-06,512.0,512.0,1.0
0.384124,0.001278,512.0,1.0,1.0
0.385417,6e-06,512.0,512.0,1.0
0.385437,0.00128,512.0,1.0,1.0
0.38673,6e-06,512.0,512.0,1.0
0.38675,0.001278,512.0,1.0,1.0
0.388042,6e-06,512.0,512.0,1.0
0.388062,0.001277,512.0,1.0,1.0
0.389352,6e-06,512.0,512.0,1.0
0.389372,0.001278,512.0,1.0,1.0
0.390663,6e-06,512.0,512.0,1.0
0.390684,0.001278,512.0,1.0,1.0
0.391975,6e-06,512.0,512.0,1.0
0.391995,0.001278,512.0,1.0,1.0
0.393286,6e-06,512.0,512.0,1.0
0.393306,0.001278,512.0,1.0,1.0
0.394598,6e-06,512.0,512.0,1.0
0.394619,0.001278,512.0,1.0,1.0
0.395909,6e-06,512.0,512.0,1.0
0.39593,0.001277,512.0,1.0,1.0
0.397221,6e-06,512.0,512.0,1.0
0.397241,0.001278,512.0,1.0,1.0
0.398532,6e-06,512.0,512.0,1.0
0.398552,0.001277,512.0,1.0,1.0
0.399843,6e-06,512.0,512.0,1.0
0.399863,0.001279,512.0,1.0,1.0
0.401155,6e-06,512.0,512.0,1.0
0.401175,0.001278,512.0,1.0,1.0
0.402466,6e-06,512.0,512.0,1.0
0.402487,0.001278,512.0,1.0,1.0
0.403778,6e-06,512.0,512.0,1.0
0.403798,0.001278,512.0,1.0,1.0
0.405089,6e-06,512.0,512.0,1.0
0.405111,0.001278,512.0,1.0,1.0
0.406402,6e-06,512.0,512.0,1.0
0.406422,0.001277,512.0,1.0,1.0
0.407714,6e-06,512.0,512.0,1.0
0.407734,0.001278,512.0,1.0,1.0
0.409025,6e-06,512.0,512.0,1.0
