start,duration,direction,throughput
0.677481,0.007793,0,8.020121
0.68529,2e-06,0,0.140577
0.686195,3e-06,2,0.07681
0.686716,2e-06,2,0.116415
0.687222,2e-06,2,0.116415
0.687728,2e-06,2,0.116415
0.688234,2e-06,2,0.10348
0.688737,2e-06,2,0.116415
0.689243,2e-06,2,0.116415
0.689748,2e-06,2,0.116415
0.690258,2e-06,2,0.116415
0.6908,2e-06,2,0.104938
0.691324,2e-06,2,0.116415
0.691885,2e-06,2,0.106437
0.692398,2e-06,2,0.111255
0.692903,2e-06,2,0.116415
0.693404,2e-06,2,0.116415
0.69391,2e-06,2,0.116415
0.694416,2e-06,2,0.112888
0.694925,2e-06,2,0.116415
0.695432,2e-06,2,0.116415
0.695937,2e-06,2,0.109567
0.696441,2e-06,2,0.116415
0.696945,2e-06,2,0.109567
0.697452,2e-06,2,0.116415
0.697955,2e-06,2,0.116415
0.698461,2e-06,2,0.116415
0.698966,2e-06,2,0.116415
0.69947,2e-06,2,0.116415
0.699976,2e-06,2,0.10348
0.700479,2e-06,2,0.118263
0.700984,2e-06,2,0.116415
0.70149,2e-06,2,0.116415
0.701995,2e-06,2,0.116415
0.702499,2e-06,2,0.116415
0.703003,2e-06,2,0.116415
0.703507,2e-06,2,0.118263
0.704014,2e-06,2,0.116415
0.704519,2e-06,2,0.104938
0.705026,2e-06,2,0.112888
0.705531,2e-06,2,0.116415
0.706038,2e-06,2,0.116415
0.706542,2e-06,2,0.116415
0.707047,2e-06,2,0.106437
0.707553,2e-06,2,0.111203
0.708059,2e-06,2,0.114679
0.708566,2e-06,2,0.116472
0.709073,2e-06,2,0.116415
0.709578,2e-06,2,0.116415
0.710083,2e-06,2,0.116415
0.710588,2e-06,2,0.116415
0.71111,2e-06,2,0.116415
0.711624,2e-06,2,0.116415
0.712143,2e-06,2,0.116415
0.712658,2e-06,2,0.116415
0.713164,2e-06,2,0.116415
0.713668,2e-06,2,0.116415
0.714171,2e-06,2,0.116415
0.714675,2e-06,2,0.116415
0.715184,2e-06,2,0.116415
0.715689,2e-06,2,0.106437
0.716198,2e-06,2,0.111203
0.716705,2e-06,2,0.114624
0.71721,2e-06,2,0.116415
0.717717,2e-06,2,0.109567
0.718222,2e-06,2,0.112888
0.718727,2e-06,2,0.116415
0.719232,2e-06,2,0.116415
0.719737,2e-06,2,0.112888
0.720241,2e-06,2,0.111203
0.720746,2e-06,2,0.116415
0.721253,2e-06,2,0.111203
0.721757,2e-06,2,0.116415
0.72227,2e-06,2,0.116415
0.722776,2e-06,2,0.114624
0.723284,2e-06,2,0.116415
0.72379,2e-06,2,0.112888
0.724298,2e-06,2,0.106437
0.724803,2e-06,2,0.104938
0.725309,2e-06,2,0.109567
0.725816,2e-06,2,0.116415
0.726324,2e-06,2,0.109567
0.726829,2e-06,2,0.116415
0.727335,2e-06,2,0.116415
0.72784,2e-06,2,0.111203
0.728346,2e-06,2,0.10348
0.728852,2e-06,2,0.116415
0.729357,2e-06,2,0.114624
0.729863,2e-06,2,0.116415
0.730368,2e-06,2,0.116415
0.73089,2e-06,2,0.116415
0.731404,2e-06,2,0.106437
0.731929,2e-06,2,0.116415
0.732442,2e-06,2,0.116415
0.732952,2e-06,2,0.116415
0.733457,2e-06,2,0.112888
0.733963,2e-06,2,0.116472
0.73447,2e-06,2,0.116472
0.734975,2e-06,2,0.116415
0.735479,2e-06,2,0.116415
0.735985,2e-06,2,0.116415
0.736489,2e-06,2,0.112888
0.736511,1e-06,1,0.002839
