start,duration,H2D,D2H,D2D,Throughput
0.37716,0.000504,1,0,0,9.080991
0.377788,0.002237,1,0,0,8.17774
0.380147,0.002136,1,0,0,8.566176
0.382293,4.7e-05,0,0,0,0
0.382341,4.7e-05,0,0,0,0
0.38239,0.000111,0,0,0,0
0.382551,2e-06,0,0,0,0
0.382566,0.000324,0,0,0,0
0.383062,7.8e-05,0,0,0,0
0.383141,2.4e-05,0,0,0,0
0.383272,2e-06,0,0,0,0
0.383284,0.000112,0,0,0,0
0.383549,0.000101,0,0,0,0
0.383652,0.000888,0,0,0,0
0.384541,1.4e-05,0,0,0,0
0.384556,0.000431,0,0,0,0
0.384989,1.8e-05,0,0,0,0
0.385008,8e-05,0,0,0,0
0.385089,2e-05,0,0,0,0
0.38511,6e-05,0,0,0,0
0.385172,2.6e-05,0,0,0,0
0.385198,6.9e-05,0,0,0,0
0.385269,2.6e-05,0,0,0,0
0.385296,5.4e-05,0,0,0,0
0.385351,3.3e-05,0,0,0,0
0.385385,7e-05,0,0,0,0
0.385456,3e-05,0,0,0,0
0.385487,5.2e-05,0,0,0,0
0.38554,3.8e-05,0,0,0,0
0.385579,6.7e-05,0,0,0,0
0.385647,3.3e-05,0,0,0,0
0.385681,5.8e-05,0,0,0,0
0.385741,4.1e-05,0,0,0,0
0.385783,6.5e-05,0,0,0,0
0.385849,2.3e-05,0,0,0,0
0.385873,5.3e-05,0,0,0,0
0.386085,1.4e-05,0,0,0,0
0.386594,3e-06,0,0,0,0
0.386606,2.7e-05,0,0,0,0
0.386855,1e-06,0,0,0,0
0.386979,2e-06,0,0,0,0
0.386991,3.4e-05,0,0,0,0
0.387166,3e-06,0,1,0,0.001252
0.387193,6.1e-05,0,0,0,0
0.387255,0.000178,0,0,0,0
0.387435,0.000214,0,0,0,0
0.38765,0.001275,0,0,0,0
0.388926,2.1e-05,0,0,0,0
0.388949,0.000229,0,0,0,0
0.389178,2.5e-05,0,0,0,0
0.389205,0.000206,0,0,0,0
0.389412,3.5e-05,0,0,0,0
0.389448,0.000228,0,0,0,0
0.389677,3.4e-05,0,0,0,0
0.389713,0.0002,0,0,0,0
0.389914,4.3e-05,0,0,0,0
0.389958,0.000225,0,0,0,0
0.390184,4e-05,0,0,0,0
0.390225,0.000196,0,0,0,0
0.390422,4.8e-05,0,0,0,0
0.390471,0.00023,0,0,0,0
0.390703,4.5e-05,0,0,0,0
0.390749,0.000201,0,0,0,0
0.390951,5.2e-05,0,0,0,0
0.391004,0.000232,0,0,0,0
0.391237,4.8e-05,0,0,0,0
0.391286,0.0002,0,0,0,0
0.391487,5.8e-05,0,0,0,0
0.391546,0.000221,0,0,0,0
0.391768,4.8e-05,0,0,0,0
0.391817,0.000197,0,0,0,0
0.394071,3e-06,0,0,0,0
0.394085,2.2e-05,0,0,0,0
0.394108,7e-06,0,0,0,0
0.394336,3e-06,0,0,0,0
0.394348,2e-06,0,1,0,0.007761
0.394857,4e-06,0,0,0,0
0.394869,9.8e-05,0,0,0,0
0.395183,2e-06,0,0,0,0
0.395187,1e-06,0,0,0,0
0.395303,2e-06,0,0,0,0
0.395316,1.7e-05,0,0,0,0
0.395347,1e-06,0,1,0,0.002587
0.395498,0.000118,0,0,0,0
0.395617,1.2e-05,0,0,0,0
0.395722,2.5e-05,0,0,0,0
0.395749,2.4e-05,0,0,0,0
0.395774,7.5e-05,0,0,0,0
0.39585,2.1e-05,0,0,0,0
0.395872,2.2e-05,0,0,0,0
0.395895,6.7e-05,0,0,0,0
0.395964,2e-05,0,0,0,0
0.395985,2.2e-05,0,0,0,0
0.396008,6.4e-05,0,0,0,0
0.396073,2.2e-05,0,0,0,0
0.396097,2.2e-05,0,0,0,0
0.39612,5e-05,0,0,0,0
0.396171,2.4e-05,0,0,0,0
0.396197,2.2e-05,0,0,0,0
0.396221,5.5e-05,0,0,0,0
0.396277,2.2e-05,0,0,0,0
0.3963,2.2e-05,0,0,0,0
0.396323,5.6e-05,0,0,0,0
0.397041,2e-06,0,0,0,0
0.397054,3.7e-05,0,0,0,0
0.397105,1e-06,0,1,0,0.002587
0.400556,2e-06,0,1,0,5.600353
0.400574,0.000563,0,1,0,8.135851
0.401322,5e-06,0,0,0,0
0.401333,3e-06,0,0,0,0
0.401539,2e-06,0,0,0,0
0.401551,5.8e-05,0,0,0,0
0.401754,4e-06,0,0,0,0
0.401763,3e-06,0,0,0,0
0.401962,2e-06,0,0,0,0
0.401973,1.8e-05,0,0,0,0
0.402133,7e-06,0,0,0,0
0.402143,7e-06,0,0,0,0
0.402155,2e-06,0,0,0,0
0.402349,6.2e-05,0,0,0,0
0.402412,8e-06,0,0,0,0
0.402422,1.2e-05,0,0,0,0
0.402579,2e-06,0,0,0,0
0.402772,3e-06,0,0,0,0
0.402783,4e-06,0,0,0,0
0.403006,1e-06,0,0,0,0
0.403119,2e-06,0,0,0,0
0.403131,1e-05,0,0,0,0
0.403277,2e-06,0,1,0,0.002007
0.403302,2e-06,0,0,0,0
0.403311,1.9e-05,0,0,0,0
0.403332,2.2e-05,0,0,0,0
0.403523,0.000155,0,0,0,0
0.403679,1.5e-05,0,0,0,0
0.403695,3.7e-05,0,0,0,0
0.403733,1.6e-05,0,0,0,0
0.403749,2.6e-05,0,0,0,0
0.403776,2e-05,0,0,0,0
0.403798,2.9e-05,0,0,0,0
0.403828,2e-05,0,0,0,0
0.403849,2.5e-05,0,0,0,0
0.403875,2.5e-05,0,0,0,0
0.403901,2.9e-05,0,0,0,0
0.403931,2.1e-05,0,0,0,0
0.403954,2.3e-05,0,0,0,0
0.403978,2.6e-05,0,0,0,0
0.404005,2.8e-05,0,0,0,0
0.404035,2.4e-05,0,0,0,0
0.40406,1.9e-05,0,0,0,0
0.404454,3e-06,0,0,0,0
0.404465,1.5e-05,0,0,0,0
0.404481,8e-06,0,0,0,0
0.404691,3e-06,0,0,0,0
0.404701,2e-06,0,1,0,0.007765
0.405229,3e-06,0,0,0,0
0.40524,1e-05,0,0,0,0
0.405468,1e-06,0,0,0,0
0.405472,1e-06,0,0,0,0
0.405585,3e-06,0,0,0,0
0.405596,1.2e-05,0,0,0,0
0.405621,1e-06,0,1,0,0.002587
0.405771,1.3e-05,0,0,0,0
0.405787,2e-06,0,0,0,0
0.405983,3.1e-05,0,0,0,0
0.406016,3e-06,0,0,0,0
0.40602,2e-06,0,0,0,0
