start,duration,direction,throughput
0.368721,0.000474,0,8.238079
0.369324,0.000459,0,8.509718
0.369974,0.00101,1,3.86597
0.372314,0.001008,1,3.873453
1.302127,0.000477,1,8.188345
1.302864,0.000478,1,8.174636
1.771167,0.000478,1,8.171353
1.771901,0.00047,1,8.31439
2.010674,0.000496,1,7.876616
2.011429,0.000481,1,8.120798
2.138828,0.000511,1,7.641424
2.139585,0.000446,1,8.755699
2.207193,0.00051,1,7.664935
2.207963,0.000473,1,8.254234
2.248233,0.000487,1,8.021014
2.248987,0.000475,1,8.219756
2.273796,0.000491,1,7.961394
2.274546,0.000469,1,8.337673
2.291565,0.000489,1,7.987425
2.292317,0.000465,1,8.403682
2.306004,0.000472,1,8.28278
2.30673,0.000458,1,8.530513
2.31905,0.000483,1,8.094412
2.319791,0.000476,1,8.208166
2.33311,0.000491,1,7.955152
2.333859,0.000484,1,8.067131
2.346606,0.000509,1,7.667839
2.347374,0.000487,1,8.025761
2.359894,0.000471,1,8.29011
2.360617,0.00046,1,8.485447
2.373409,0.000489,1,7.980114
2.374163,0.00048,1,8.131617
