start,duration,direction,throughput
1.282751,0.014846,0,8.419929
1.297728,4.7e-05,0,10.42267
1.297923,0.000526,0,7.423043
1.299031,0.003158,1,2.628667
1.303061,1.1e-05,1,10.868083
1.445184,4.7e-05,0,10.35196
1.445382,0.000505,0,7.727543
1.446389,9.2e-05,1,10.570884
1.446623,1.1e-05,1,10.685427
1.447755,4.7e-05,0,10.48714
1.447878,0.000368,0,10.601126
1.448745,8.3e-05,1,11.75132
1.448993,1.1e-05,1,10.686362
1.450177,4.7e-05,0,10.366025
1.4503,0.000366,0,10.658515
1.451157,8.3e-05,1,11.755847
1.451405,1.2e-05,1,10.42267
1.452536,4.7e-05,0,10.401356
1.452658,0.000367,0,10.644574
1.453509,8.3e-05,1,11.75132
1.453778,1.1e-05,1,10.686362
1.589185,4.7e-05,0,10.387416
1.58938,0.000533,0,7.330326
1.590378,8.3e-05,1,11.760377
1.5906,1.1e-05,1,10.685427
1.591728,4.7e-05,0,10.415778
1.591851,0.000366,0,10.677161
1.592707,8.3e-05,1,11.760377
1.592955,1.2e-05,1,10.537838
1.594088,4.7e-05,0,10.394492
1.594211,0.000367,0,10.631595
1.595074,8.3e-05,1,11.746797
1.595321,1.1e-05,1,10.715442
1.596455,4.7e-05,0,10.479938
1.596578,0.000367,0,10.646431
1.597437,8.3e-05,1,11.755847
1.597684,1.1e-05,1,10.715442
1.732872,4.7e-05,0,10.422893
1.733068,0.000497,0,7.86393
1.734031,8.3e-05,1,11.724233
1.734253,1.2e-05,1,10.42267
1.735392,4.7e-05,0,10.359208
1.735517,0.000365,0,10.694905
1.736372,8.4e-05,1,11.679363
1.736624,1.1e-05,1,10.715442
1.737752,4.7e-05,0,10.394492
1.737875,0.000366,0,10.661279
1.738734,8.3e-05,1,11.710736
1.73898,1.1e-05,1,10.715442
1.740105,4.7e-05,0,10.387416
1.740227,0.000367,0,10.657556
1.741082,8.3e-05,1,11.760377
1.74133,1.2e-05,1,10.42267
1.742462,4.7e-05,0,10.422893
1.742584,0.000367,0,10.648288
1.743443,8.3e-05,1,11.75132
1.743691,1.1e-05,1,10.655579
1.744816,4.7e-05,0,10.373292
1.744939,0.000369,0,10.59009
1.745765,8.3e-05,1,11.71973
1.746011,1.1e-05,1,10.715442
1.747135,4.8e-05,0,10.261459
1.747259,0.000367,0,10.640863
1.748111,8.3e-05,1,11.760377
1.748359,1.1e-05,1,10.746572
1.749504,4.7e-05,0,10.31021
1.749627,0.000367,0,10.632492
1.750481,8.3e-05,1,11.69727
1.750729,1.1e-05,1,10.655579
1.751859,4.7e-05,0,10.387416
1.751982,0.000368,0,10.617695
1.752848,8.3e-05,1,11.746797
1.753095,1.2e-05,1,10.479938
1.754225,4.7e-05,0,10.387416
1.754348,0.000366,0,10.661308
1.755205,8.3e-05,1,11.742277
