start,duration,H2D,D2H,D2D,Throughput
0.363787,0.007758,1,0,0,8.055719
0.608672,0.000328,0,0,0,0
0.609004,0.000327,0,0,0,0
0.609332,0.000328,0,0,0,0
0.609662,0.000327,0,0,0,0
0.60999,0.000328,0,0,0,0
0.610319,0.000327,0,0,0,0
0.610648,0.000327,0,0,0,0
0.610976,0.000327,0,0,0,0
0.611304,0.000328,0,0,0,0
0.611633,0.000327,0,0,0,0
0.611961,0.000327,0,0,0,0
0.61229,0.000327,0,0,0,0
0.612618,0.000327,0,0,0,0
0.612946,0.000327,0,0,0,0
0.613275,0.00033,0,0,0,0
0.613605,0.000327,0,0,0,0
0.613933,0.000327,0,0,0,0
0.614261,0.000327,0,0,0,0
0.614589,0.000328,0,0,0,0
0.614919,0.000327,0,0,0,0
0.615247,0.000327,0,0,0,0
0.615575,0.000328,0,0,0,0
0.615904,0.000328,0,0,0,0
0.616234,0.000327,0,0,0,0
0.616562,0.000328,0,0,0,0
0.616891,0.000328,0,0,0,0
0.61722,0.000328,0,0,0,0
0.617549,0.000327,0,0,0,0
0.617877,0.000328,0,0,0,0
0.618206,0.000328,0,0,0,0
0.618535,0.000328,0,0,0,0
0.618864,0.000327,0,0,0,0
0.619192,0.000327,0,0,0,0
0.619521,0.000327,0,0,0,0
0.619849,0.000328,0,0,0,0
0.620178,0.000327,0,0,0,0
0.620506,0.000327,0,0,0,0
0.620834,0.000328,0,0,0,0
0.621163,0.000328,0,0,0,0
0.621492,0.000328,0,0,0,0
0.621821,0.000327,0,0,0,0
0.622149,0.000328,0,0,0,0
0.622478,0.000328,0,0,0,0
0.622807,0.000327,0,0,0,0
0.623135,0.000327,0,0,0,0
0.623464,0.000328,0,0,0,0
0.623793,0.000328,0,0,0,0
0.624122,0.000327,0,0,0,0
0.62445,0.000327,0,0,0,0
0.624778,0.000327,0,0,0,0
0.625105,0.000328,0,0,0,0
0.625435,0.000328,0,0,0,0
0.625763,0.000327,0,0,0,0
0.626092,0.000327,0,0,0,0
0.626419,0.000329,0,0,0,0
0.626749,0.000328,0,0,0,0
0.627078,0.000328,0,0,0,0
0.627408,0.000328,0,0,0,0
0.627737,0.000326,0,0,0,0
0.628064,0.000328,0,0,0,0
0.628393,0.000328,0,0,0,0
0.628722,0.000328,0,0,0,0
0.629051,0.000328,0,0,0,0
0.62938,0.000327,0,0,0,0
0.629708,0.000328,0,0,0,0
0.630038,0.000328,0,0,0,0
0.630367,0.000328,0,0,0,0
0.630695,0.000327,0,0,0,0
0.631023,0.000328,0,0,0,0
0.631352,0.000328,0,0,0,0
0.631681,0.000328,0,0,0,0
0.63201,0.000327,0,0,0,0
0.632338,0.000328,0,0,0,0
0.632667,0.000327,0,0,0,0
0.632995,0.000327,0,0,0,0
0.633323,0.000327,0,0,0,0
0.633651,0.000328,0,0,0,0
0.63398,0.000327,0,0,0,0
0.634309,0.000328,0,0,0,0
0.634637,0.000327,0,0,0,0
0.634965,0.000328,0,0,0,0
0.635294,0.000328,0,0,0,0
0.635623,0.000327,0,0,0,0
0.635951,0.000328,0,0,0,0
0.636281,0.000328,0,0,0,0
0.63661,0.000327,0,0,0,0
0.636938,0.000326,0,0,0,0
0.637266,0.000327,0,0,0,0
0.637594,0.000328,0,0,0,0
0.637922,0.000327,0,0,0,0
0.63825,0.000327,0,0,0,0
0.638578,0.000328,0,0,0,0
0.638908,0.000328,0,0,0,0
0.639237,0.000328,0,0,0,0
0.639566,0.000328,0,0,0,0
0.639895,0.000328,0,0,0,0
0.640225,0.000327,0,0,0,0
0.640553,0.000327,0,0,0,0
0.640882,0.000327,0,0,0,0
0.64121,0.000328,0,0,0,0
0.641539,0.000326,0,0,0,0
0.641909,0.022087,0,1,0,2.829753
0.686063,0.005616,0,1,0,11.128359
0.713192,0.000329,0,0,0,0
0.713525,0.00033,0,0,0,0
0.713856,0.00033,0,0,0,0
0.714187,0.00033,0,0,0,0
0.714518,0.00033,0,0,0,0
0.714849,0.00033,0,0,0,0
0.71518,0.000329,0,0,0,0
0.715511,0.000329,0,0,0,0
0.715841,0.000331,0,0,0,0
0.716173,0.000329,0,0,0,0
0.716503,0.00033,0,0,0,0
0.716834,0.00033,0,0,0,0
0.717166,0.000329,0,0,0,0
0.717496,0.00033,0,0,0,0
0.717827,0.000329,0,0,0,0
0.718157,0.000331,0,0,0,0
0.718489,0.00033,0,0,0,0
0.718821,0.000329,0,0,0,0
0.719151,0.000329,0,0,0,0
0.719482,0.000329,0,0,0,0
0.719812,0.00033,0,0,0,0
0.720143,0.000329,0,0,0,0
0.720473,0.000328,0,0,0,0
0.720803,0.00033,0,0,0,0
0.721134,0.00033,0,0,0,0
0.721464,0.00033,0,0,0,0
0.721795,0.00033,0,0,0,0
0.722127,0.00033,0,0,0,0
0.722458,0.00033,0,0,0,0
0.722789,0.00033,0,0,0,0
0.72312,0.00033,0,0,0,0
0.723451,0.00033,0,0,0,0
0.723781,0.00033,0,0,0,0
0.724112,0.00033,0,0,0,0
0.724443,0.00033,0,0,0,0
0.724774,0.00033,0,0,0,0
0.725105,0.000329,0,0,0,0
0.725435,0.00033,0,0,0,0
0.725767,0.00033,0,0,0,0
0.726098,0.00033,0,0,0,0
0.726429,0.00033,0,0,0,0
0.72676,0.000331,0,0,0,0
0.727092,0.00033,0,0,0,0
0.727423,0.00033,0,0,0,0
0.727754,0.00033,0,0,0,0
