start,duration,H2D,D2H,D2D,Throughput
0.632135,0.001436,0,0,0,0
0.633585,0.000126,0,0,0,0
0.633737,0.000125,0,0,0,0
0.633873,0.000125,0,0,0,0
0.63401,0.000125,0,0,0,0
0.634147,0.000125,0,0,0,0
0.634283,0.000125,0,0,0,0
0.634419,0.000125,0,0,0,0
0.634558,0.000125,0,0,0,0
0.634695,0.000125,0,0,0,0
0.634831,0.000125,0,0,0,0
0.634968,5.5e-05,0,0,0,0
0.635025,5.3e-05,0,0,0,0
0.635079,6.9e-05,0,0,0,0
0.635154,0.001045,0,1,0,7.389112
0.640504,0.001412,1,0,0,5.468893
0.641926,2.5e-05,0,0,0,0
0.641962,2.2e-05,0,0,0,0
0.641985,2.1e-05,0,0,0,0
0.642007,2.1e-05,0,0,0,0
0.64203,2.2e-05,0,0,0,0
0.642053,2.1e-05,0,0,0,0
0.642075,2.2e-05,0,0,0,0
0.642098,2.1e-05,0,0,0,0
0.64212,2.1e-05,0,0,0,0
0.642143,2.2e-05,0,0,0,0
0.642165,2.2e-05,0,0,0,0
0.642188,2.1e-05,0,0,0,0
0.64221,2.2e-05,0,0,0,0
0.642233,2.1e-05,0,0,0,0
0.642256,2.2e-05,0,0,0,0
0.642278,2.2e-05,0,0,0,0
0.642301,2.2e-05,0,0,0,0
0.642324,2.2e-05,0,0,0,0
0.642347,2.1e-05,0,0,0,0
0.642369,2.2e-05,0,0,0,0
0.642392,2.2e-05,0,0,0,0
0.642414,2.2e-05,0,0,0,0
0.642437,2.2e-05,0,0,0,0
0.64246,2.2e-05,0,0,0,0
0.642483,2.2e-05,0,0,0,0
0.642506,2.2e-05,0,0,0,0
0.642529,2.2e-05,0,0,0,0
0.642552,2.1e-05,0,0,0,0
0.642574,2.2e-05,0,0,0,0
0.642596,2.2e-05,0,0,0,0
0.642619,2.2e-05,0,0,0,0
0.642642,2.2e-05,0,0,0,0
0.642665,2.1e-05,0,0,0,0
0.642687,2.2e-05,0,0,0,0
0.64271,2.2e-05,0,0,0,0
0.642733,2.2e-05,0,0,0,0
0.642756,2.1e-05,0,0,0,0
0.642779,2.2e-05,0,0,0,0
0.642801,2.2e-05,0,0,0,0
0.642824,2.2e-05,0,0,0,0
0.642847,2.2e-05,0,0,0,0
0.64287,2.2e-05,0,0,0,0
0.642893,2.2e-05,0,0,0,0
0.642916,2.2e-05,0,0,0,0
0.642939,2.2e-05,0,0,0,0
0.642962,2.2e-05,0,0,0,0
0.642985,2.2e-05,0,0,0,0
0.643007,2.1e-05,0,0,0,0
0.64303,2.2e-05,0,0,0,0
0.643053,2.1e-05,0,0,0,0
0.643075,2.2e-05,0,0,0,0
0.643098,2.1e-05,0,0,0,0
0.64312,2.2e-05,0,0,0,0
0.643143,2.2e-05,0,0,0,0
0.643166,2.1e-05,0,0,0,0
0.643188,2.1e-05,0,0,0,0
0.64321,2.2e-05,0,0,0,0
0.643233,2.2e-05,0,0,0,0
0.643256,2.2e-05,0,0,0,0
0.643279,2.2e-05,0,0,0,0
0.643301,2.1e-05,0,0,0,0
0.643323,2.2e-05,0,0,0,0
0.643346,2.2e-05,0,0,0,0
0.643369,2.1e-05,0,0,0,0
0.643391,2.1e-05,0,0,0,0
0.643413,2.2e-05,0,0,0,0
0.643436,2.2e-05,0,0,0,0
0.643459,2.2e-05,0,0,0,0
0.643481,2.2e-05,0,0,0,0
0.643504,2.2e-05,0,0,0,0
0.643526,2.2e-05,0,0,0,0
0.643549,2.3e-05,0,0,0,0
0.643573,2.2e-05,0,0,0,0
0.643596,2.2e-05,0,0,0,0
0.643619,2.1e-05,0,0,0,0
0.643641,2.1e-05,0,0,0,0
0.643663,2.2e-05,0,0,0,0
0.643686,2.2e-05,0,0,0,0
0.643709,2.2e-05,0,0,0,0
0.643732,2.2e-05,0,0,0,0
0.643755,2.1e-05,0,0,0,0
0.643777,2.1e-05,0,0,0,0
0.643799,2.2e-05,0,0,0,0
0.643822,2.2e-05,0,0,0,0
0.643845,2.2e-05,0,0,0,0
0.643868,2.2e-05,0,0,0,0
0.64389,2.2e-05,0,0,0,0
0.643913,2.2e-05,0,0,0,0
0.643935,2.2e-05,0,0,0,0
0.643958,2.2e-05,0,0,0,0
0.643981,2.1e-05,0,0,0,0
0.644003,2.2e-05,0,0,0,0
0.644026,2.2e-05,0,0,0,0
0.644049,2.2e-05,0,0,0,0
0.644072,2.1e-05,0,0,0,0
0.644094,2.2e-05,0,0,0,0
0.644116,2.2e-05,0,0,0,0
0.644139,2.2e-05,0,0,0,0
0.644162,2.2e-05,0,0,0,0
0.644185,2.2e-05,0,0,0,0
0.644208,2.2e-05,0,0,0,0
0.644246,5.5e-05,0,0,0,0
0.644303,2.2e-05,0,0,0,0
0.644337,0.000977,0,1,0,7.90731
0.648818,0.000649,1,0,0,5.947624
0.649474,1e-05,0,0,0,0
0.649496,5.4e-05,0,0,0,0
0.649552,9e-06,0,0,0,0
0.649572,0.000436,0,1,0,8.849052
