start,duration,direction,throughput
0.470996,1e-06,0,0.058208
0.471008,1e-06,0,0.070555
0.471178,1e-06,0,0.090222
0.471189,1e-06,0,0.10936
0.477442,1e-06,0,0.369122
0.477453,2e-06,0,4.025208
0.499102,0.001428,0,5.408971
0.500541,1e-06,0,0.013305
0.515493,0.001423,0,5.427944
0.516927,1e-06,0,0.014111
0.53163,0.001421,0,5.435644
0.533061,1e-06,0,0.014111
0.547979,0.001422,0,5.434179
0.549411,1e-06,0,0.014552
0.564313,0.001433,0,5.390009
0.565756,1e-06,0,0.014552
0.580653,0.001405,0,5.498039
0.582068,1e-06,0,0.014111
0.596821,0.001425,0,5.422339
0.598256,1e-06,0,0.014552
0.61338,0.001414,0,5.46184
0.614804,1e-06,0,0.014111
0.629541,0.001414,0,5.464684
0.630965,1e-06,0,0.014111
0.645956,0.00142,0,5.439318
0.647386,1e-06,0,0.014552
0.662077,0.001426,0,5.418684
0.663512,1e-06,0,0.014111
0.678318,0.001415,0,5.457769
0.679743,1e-06,0,0.014111
0.694564,0.001421,0,5.436133
0.695994,1e-06,0,0.014552
0.710331,0.001413,0,5.467778
0.711753,1e-06,0,0.014111
0.725842,0.001416,0,5.454065
0.727268,1e-06,0,0.014552
0.74129,0.001427,0,5.413095
0.742727,1e-06,0,0.014552
0.756651,0.001425,0,5.421608
0.758086,1e-06,0,0.014552
0.772257,0.001413,0,5.467407
0.77368,1e-06,0,0.014552
0.787773,0.001418,0,5.447542
0.789201,1e-06,0,0.014111
0.80322,0.00143,0,5.401588
0.80466,1e-06,0,0.014111
0.818877,0.001434,0,5.388205
0.82032,1e-06,0,0.014552
0.83427,0.001409,0,5.482058
0.835688,1e-06,0,0.014111
0.849779,0.001412,0,5.470876
0.851201,1e-06,0,0.014552
0.865094,0.00141,0,5.480311
0.866513,1e-06,0,0.014111
0.880576,0.001397,0,5.529398
0.881982,1e-06,0,0.014552
0.896183,0.00141,0,5.477704
0.897603,1e-06,0,0.014111
0.912238,0.001412,0,5.470256
0.91366,1e-06,0,0.014552
0.927752,0.001399,0,5.521935
0.92916,1e-06,0,0.014111
0.943312,0.001396,0,5.532693
0.944718,1e-06,0,0.014111
0.958622,0.001405,0,5.497288
0.960038,1e-06,0,0.014111
0.973927,0.001415,0,5.459122
0.975352,1e-06,0,0.014111
0.989357,0.001403,0,5.506442
0.99077,1e-06,0,0.014111
1.004666,0.001407,0,5.490911
1.006083,1e-06,0,0.014111
1.020067,0.001418,0,5.449141
1.021494,1e-06,0,0.014111
1.035549,0.001417,0,5.451602
1.036975,1e-06,0,0.014111
1.05087,0.001408,0,5.484923
1.052289,1e-06,0,0.014552
1.066347,0.001438,0,5.370225
1.067795,1e-06,0,0.014552
1.081778,0.001409,0,5.481186
1.083197,1e-06,0,0.014111
1.097104,0.001434,0,5.388445
1.098548,1e-06,0,0.014552
1.112515,0.001405,0,5.497914
1.11393,1e-06,0,0.014552
1.128678,0.001399,0,5.520672
1.130088,1e-06,0,0.014552
1.144102,0.001415,0,5.460851
1.145526,1e-06,0,0.014111
1.159418,0.00141,0,5.477082
1.160839,1e-06,0,0.014552
1.17473,0.001402,0,5.508327
1.176142,1e-06,0,0.014552
1.190131,0.001414,0,5.464811
1.191554,1e-06,0,0.014552
1.205434,0.001409,0,5.481933
1.206852,1e-06,0,0.014111
1.220818,0.001416,0,5.453573
1.222245,1e-06,0,0.014111
1.2362,0.001411,0,5.475964
1.23762,1e-06,0,0.014111
1.251663,0.001409,0,5.48268
1.253082,1e-06,0,0.014111
1.267152,0.001419,0,5.443488
1.268581,1e-06,0,0.014552
1.28267,0.001411,0,5.472985
1.284091,1e-06,0,0.014552
1.297967,0.001406,0,5.492781
1.299383,1e-06,0,0.014552
1.313266,0.001396,0,5.534976
1.314671,1e-06,0,0.014111
1.328574,0.001399,0,5.520798
1.329983,1e-06,0,0.014111
1.343844,0.001403,0,5.505689
1.345258,1e-06,0,0.014552
1.359127,0.001404,0,5.500294
1.360542,1e-06,0,0.014111
1.374414,0.001402,0,5.508955
1.375826,1e-06,0,0.014552
1.389851,0.001405,0,5.497914
1.391266,1e-06,0,0.014552
1.406053,0.001413,0,5.467902
1.407476,1e-06,0,0.014111
1.421667,0.001411,0,5.472736
1.423089,1e-06,0,0.014111
1.437346,0.001432,0,5.394707
1.438788,1e-06,0,0.014552
1.453018,0.00141,0,5.476958
1.454438,1e-06,0,0.014552
1.468379,0.001409,0,5.480813
1.469798,1e-06,0,0.014111
1.483658,0.001402,0,5.50883
1.48507,1e-06,0,0.014111
1.499103,0.001407,0,5.491411
1.500519,1e-06,0,0.014552
1.514543,0.001407,0,5.490037
1.51596,1e-06,0,0.014552
1.529982,0.001418,0,5.447173
1.531409,1e-06,0,0.014111
1.545648,0.00141,0,5.47932
1.547067,1e-06,0,0.014552
1.561014,0.001413,0,5.465921
1.562437,1e-06,0,0.014552
1.576542,0.001429,0,5.405095
1.577981,1e-06,0,0.014552
1.592225,0.001411,0,5.473233
1.593646,1e-06,0,0.014111
1.607659,0.00143,0,5.4005
1.609099,1e-06,0,0.014552
1.623044,0.001408,0,5.487915
1.624462,1e-06,0,0.014552
1.638575,0.001409,0,5.482058
1.639994,1e-06,0,0.014552
1.653917,0.001408,0,5.486543
1.655335,1e-06,0,0.014552
1.669182,0.001403,0,5.507699
1.670594,1e-06,0,0.014552
1.684439,0.001405,0,5.499417
1.685854,1e-06,0,0.014552
1.699694,0.001406,0,5.492535
1.70111,1e-06,0,0.014552
1.715114,0.001411,0,5.475592
1.716535,1e-06,0,0.012935
1.730384,0.001406,0,5.493535
1.7318,1e-06,0,0.014111
1.745648,0.001407,0,5.491411
1.747064,1e-06,0,0.014552
1.760905,0.001418,0,5.449387
1.762332,1e-06,0,0.014111
1.776161,0.001422,0,5.432586
1.777592,1e-06,0,0.014111
1.791526,0.001411,0,5.473481
1.792947,1e-06,0,0.014552
1.806787,0.001412,0,5.468893
1.808211,1e-06,0,0.014111
1.822063,0.001417,0,5.450494
1.823491,1e-06,0,0.014552
1.837316,0.001416,0,5.453573
1.838742,1e-06,0,0.014111
1.852652,0.001408,0,5.484673
1.85407,1e-06,0,0.014552
1.868321,0.001404,0,5.503304
1.869737,1e-06,0,0.014552
1.884032,0.001419,0,5.443488
1.885461,1e-06,0,0.014552
1.89958,0.001406,0,5.494035
1.900996,1e-06,0,0.014111
1.915198,0.001404,0,5.503806
1.916611,1e-06,0,0.014552
1.930677,0.001405,0,5.496662
1.932092,1e-06,0,0.014111
1.945957,0.001409,0,5.481186
1.947376,1e-06,0,0.014552
1.961384,0.001409,0,5.481435
1.962803,1e-06,0,0.014552
1.976706,0.001402,0,5.510339
1.978118,1e-06,0,0.014111
1.992111,0.001407,0,5.491161
1.993529,1e-06,0,0.014111
2.007433,0.001404,0,5.501172
2.008847,1e-06,0,0.014111
2.022664,0.001406,0,5.49341
2.02408,1e-06,0,0.014111
2.037897,0.001403,0,5.505438
2.039309,1e-06,0,0.014111
2.053177,0.00142,0,5.440912
2.054607,1e-06,0,0.014111
2.068675,0.001405,0,5.497789
2.070089,1e-06,0,0.014552
2.083938,0.001417,0,5.451848
