start,duration,H2D,D2H,D2D,Throughput
3.508284,0.040681,1,0,0,4.320918
3.549113,0.000281,0,0,0,0
3.549395,2e-05,0,0,0,0
3.549433,0.000274,0,0,0,0
3.549708,2e-05,0,0,0,0
3.549729,0.000275,0,0,0,0
3.550004,2e-05,0,0,0,0
3.550025,0.000274,0,0,0,0
3.5503,2e-05,0,0,0,0
3.550321,0.000274,0,0,0,0
3.550596,2e-05,0,0,0,0
3.550617,0.000274,0,0,0,0
3.550892,2e-05,0,0,0,0
3.550913,0.000274,0,0,0,0
3.551188,2e-05,0,0,0,0
3.551209,0.000273,0,0,0,0
3.551483,2e-05,0,0,0,0
3.551504,0.000272,0,0,0,0
3.551777,2e-05,0,0,0,0
3.551798,0.000273,0,0,0,0
3.552072,2e-05,0,0,0,0
3.552093,0.000275,0,0,0,0
3.552369,2e-05,0,0,0,0
3.55239,0.000274,0,0,0,0
3.552665,2e-05,0,0,0,0
3.552686,0.000274,0,0,0,0
3.55296,2e-05,0,0,0,0
3.552981,0.000273,0,0,0,0
3.553255,2e-05,0,0,0,0
3.553276,0.000274,0,0,0,0
3.553551,2e-05,0,0,0,0
3.553572,0.000273,0,0,0,0
3.553846,2e-05,0,0,0,0
3.553867,0.000273,0,0,0,0
3.55414,2e-05,0,0,0,0
3.554181,1e-06,0,1,0,0.186265
3.554594,0.000493,0,0,0,0
3.555089,4e-06,0,0,0,0
3.555104,0.000483,0,0,0,0
3.555588,4e-06,0,0,0,0
3.555593,0.000487,0,0,0,0
3.556081,4e-06,0,0,0,0
3.556085,0.000487,0,0,0,0
3.556573,4e-06,0,0,0,0
3.556577,0.000487,0,0,0,0
3.557065,4e-06,0,0,0,0
3.557069,0.000483,0,0,0,0
3.557553,4e-06,0,0,0,0
3.557557,0.000485,0,0,0,0
3.558043,4e-06,0,0,0,0
3.558047,0.000484,0,0,0,0
3.558532,4e-06,0,0,0,0
3.558536,0.000486,0,0,0,0
3.559023,4e-06,0,0,0,0
3.559028,0.000485,0,0,0,0
3.559513,4e-06,0,0,0,0
3.559518,0.000485,0,0,0,0
3.560003,4e-06,0,0,0,0
3.560008,0.000484,0,0,0,0
3.560493,3e-06,0,0,0,0
3.560497,0.000484,0,0,0,0
3.560982,4e-06,0,0,0,0
3.560987,0.000483,0,0,0,0
3.561471,4e-06,0,0,0,0
3.561476,0.000485,0,0,0,0
3.561961,4e-06,0,0,0,0
3.561966,0.000488,0,0,0,0
3.562455,4e-06,0,0,0,0
3.562459,0.000485,0,0,0,0
3.562945,4e-06,0,0,0,0
3.562963,1e-06,0,1,0,0.745058
