start,duration,H2D,D2H,D2D,Throughput
0.476188,0.000247,1,0,0,7.905212
0.4766,0.000244,1,0,0,7.994257
0.476857,7e-06,0,0,0,0
0.476865,5e-06,0,0,0,0
0.47687,5e-06,0,0,0,0
0.476876,5e-06,0,0,0,0
0.476882,5e-06,0,0,0,0
0.476887,5e-06,0,0,0,0
0.476893,4e-06,0,0,0,0
0.476899,5e-06,0,0,0,0
0.476904,4e-06,0,0,0,0
0.47691,5e-06,0,0,0,0
0.476915,5e-06,0,0,0,0
0.476921,5e-06,0,0,0,0
0.476926,4e-06,0,0,0,0
0.476932,5e-06,0,0,0,0
0.47694,5e-06,0,0,0,0
0.476949,5e-06,0,0,0,0
0.476957,5e-06,0,0,0,0
0.476966,5e-06,0,0,0,0
0.476975,5e-06,0,0,0,0
0.476986,5e-06,0,0,0,0
0.476995,4e-06,0,0,0,0
0.477003,5e-06,0,0,0,0
0.477012,5e-06,0,0,0,0
0.47702,5e-06,0,0,0,0
0.47703,4e-06,0,0,0,0
0.47704,5e-06,0,0,0,0
0.477048,4e-06,0,0,0,0
0.477057,5e-06,0,0,0,0
0.477066,5e-06,0,0,0,0
0.477074,5e-06,0,0,0,0
0.477084,4e-06,0,0,0,0
0.477092,5e-06,0,0,0,0
0.477101,5e-06,0,0,0,0
0.47711,5e-06,0,0,0,0
0.477119,4e-06,0,0,0,0
0.477129,5e-06,0,0,0,0
0.477138,4e-06,0,0,0,0
0.477147,5e-06,0,0,0,0
0.477156,5e-06,0,0,0,0
0.477165,5e-06,0,0,0,0
0.477175,5e-06,0,0,0,0
0.477184,5e-06,0,0,0,0
0.477194,5e-06,0,0,0,0
0.477202,5e-06,0,0,0,0
0.477211,5e-06,0,0,0,0
0.47722,5e-06,0,0,0,0
0.477229,4e-06,0,0,0,0
0.477238,5e-06,0,0,0,0
0.477247,4e-06,0,0,0,0
0.477255,4e-06,0,0,0,0
0.477264,5e-06,0,0,0,0
0.477273,5e-06,0,0,0,0
0.477282,5e-06,0,0,0,0
0.47729,4e-06,0,0,0,0
0.477299,5e-06,0,0,0,0
0.477308,5e-06,0,0,0,0
0.477317,5e-06,0,0,0,0
0.477326,5e-06,0,0,0,0
0.47734,5e-06,0,0,0,0
0.477352,5e-06,0,0,0,0
0.477362,5e-06,0,0,0,0
0.477373,5e-06,0,0,0,0
0.477382,5e-06,0,0,0,0
0.47739,5e-06,0,0,0,0
0.477399,5e-06,0,0,0,0
0.477409,4e-06,0,0,0,0
0.477418,5e-06,0,0,0,0
0.477427,5e-06,0,0,0,0
0.477446,4e-06,0,0,0,0
0.477455,5e-06,0,0,0,0
0.477464,5e-06,0,0,0,0
0.477472,5e-06,0,0,0,0
0.477482,5e-06,0,0,0,0
0.47749,5e-06,0,0,0,0
0.477498,4e-06,0,0,0,0
0.477506,5e-06,0,0,0,0
0.477515,5e-06,0,0,0,0
0.477524,5e-06,0,0,0,0
0.477533,4e-06,0,0,0,0
0.477541,5e-06,0,0,0,0
0.47755,5e-06,0,0,0,0
0.477558,5e-06,0,0,0,0
0.477568,5e-06,0,0,0,0
0.477577,5e-06,0,0,0,0
0.477586,4e-06,0,0,0,0
0.477594,5e-06,0,0,0,0
0.477602,5e-06,0,0,0,0
0.477612,5e-06,0,0,0,0
0.477621,5e-06,0,0,0,0
0.477629,5e-06,0,0,0,0
0.477638,5e-06,0,0,0,0
0.477646,5e-06,0,0,0,0
0.477655,5e-06,0,0,0,0
0.477665,5e-06,0,0,0,0
0.477673,4e-06,0,0,0,0
0.477681,5e-06,0,0,0,0
0.47769,4e-06,0,0,0,0
0.477698,5e-06,0,0,0,0
0.477708,5e-06,0,0,0,0
0.477716,5e-06,0,0,0,0
0.47775,0.000162,0,1,0,12.02678
