start,duration,direction,throughput
0.473633,1e-06,0,0.513597
0.473643,1e-06,0,0.513597
0.473652,2e-06,0,2.600768
0.473662,2e-06,0,2.600768
0.473671,1e-06,0,1.818989
0.476351,4.8e-05,0,10.892598
0.476509,4.8e-05,0,10.82014
0.477306,4.3e-05,1,12.050791
0.485379,4.3e-05,1,12.068618
0.495016,4.1e-05,0,10.756383
0.495149,4.1e-05,0,10.739576
0.495199,1e-06,0,0.246527
0.495207,1e-06,0,0.246527
0.495215,1e-06,0,0.123263
0.495224,1e-06,0,0.130967
0.500431,3.7e-05,1,11.943262
0.506714,4.1e-05,0,10.811869
0.506847,4.1e-05,0,10.769502
0.506897,1e-06,0,0.220576
0.506905,1e-06,0,0.246527
0.506913,1e-06,0,0.126999
0.50692,1e-06,0,0.123263
0.51222,3.7e-05,1,12.00168
0.51799,4.1e-05,0,10.735585
0.518123,4.1e-05,0,10.769238
0.518172,1e-06,0,0.253997
0.518181,1e-06,0,0.246753
0.518188,1e-06,0,0.126999
0.518196,1e-06,0,0.126999
0.523269,3.7e-05,1,11.887152
0.528519,4.1e-05,0,10.838469
0.528651,4.1e-05,0,10.762021
0.528701,1e-06,0,0.246527
0.528714,1e-06,0,0.246527
0.528721,1e-06,0,0.126999
0.528729,1e-06,0,0.126999
0.534091,3.7e-05,1,11.993015
0.539334,4.1e-05,0,10.694966
0.539468,4.1e-05,0,10.770462
0.539517,1e-06,0,0.246527
0.539525,1e-06,0,0.239483
0.539533,1e-06,0,0.126999
0.539541,1e-06,0,0.126999
0.544611,3.7e-05,1,11.982877
0.549856,4.1e-05,0,10.77962
0.549989,4.1e-05,0,10.779884
0.550038,1e-06,0,0.246527
0.550046,1e-06,0,0.246527
0.550054,1e-06,0,0.126999
0.550062,1e-06,0,0.126999
0.555224,3.7e-05,1,12.016161
0.560406,4.1e-05,0,10.796848
0.560539,4.1e-05,0,10.762974
0.560588,1e-06,0,0.253997
0.560596,1e-06,0,0.246527
0.560604,1e-06,0,0.126999
0.560612,1e-06,0,0.126999
0.565952,3.7e-05,1,12.005977
0.570881,4e-05,0,10.913305
0.571014,4.1e-05,0,10.784607
0.571063,1e-06,0,0.246527
0.571071,1e-06,0,0.246527
0.571078,1e-06,0,0.126999
0.571086,1e-06,0,0.126999
0.576114,3.7e-05,1,11.908034
0.581224,4.1e-05,0,10.810103
0.581359,4.1e-05,0,10.810103
0.581408,1e-06,0,0.246527
0.581416,1e-06,0,0.246527
0.581424,1e-06,0,0.126999
0.581431,1e-06,0,0.126999
0.586527,3.7e-05,1,12.001801
0.591772,4e-05,0,10.869796
0.591904,4.1e-05,0,10.758967
0.591953,1e-06,0,0.246527
0.591961,1e-06,0,0.239483
0.591969,1e-06,0,0.126999
0.591977,1e-06,0,0.126999
0.597296,3.7e-05,1,12.001801
0.602691,4.1e-05,0,10.768636
0.602824,4.1e-05,0,10.80258
0.602873,1e-06,0,0.246527
0.602881,1e-06,0,0.246527
0.602889,1e-06,0,0.130967
0.602897,1e-06,0,0.130967
0.607745,3.7e-05,1,12.014143
0.613085,4e-05,0,10.853632
0.613217,4.1e-05,0,10.75148
0.613267,1e-06,0,0.246527
0.613275,1e-06,0,0.246527
0.613282,1e-06,0,0.126999
0.61329,1e-06,0,0.126999
0.618363,3.7e-05,1,11.982637
0.62396,4.1e-05,0,10.748
0.624093,4.1e-05,0,10.731166
0.624143,1e-06,0,0.253997
0.624151,1e-06,0,0.246527
0.624158,1e-06,0,0.130967
0.624166,1e-06,0,0.126999
0.629215,3.7e-05,1,11.999771
0.634651,4e-05,0,10.85976
0.634789,4.1e-05,0,10.740513
0.634838,1e-06,0,0.253997
0.634846,1e-06,0,0.246527
0.634856,1e-06,0,0.130967
0.634863,1e-06,0,0.126999
0.639555,3.7e-05,1,11.980593
0.644809,4.1e-05,0,10.792278
0.644941,4.1e-05,0,10.775282
0.64499,1e-06,0,0.246527
