start,duration,threads_x,threads_y,threads_z
0.466776,0.001103,512.0,1.0,1.0
0.467892,3e-06,512.0,512.0,1.0
0.467907,0.001101,512.0,1.0,1.0
0.469018,3e-06,512.0,512.0,1.0
0.469035,0.0011,512.0,1.0,1.0
0.470148,3e-06,512.0,512.0,1.0
0.470162,0.0011,512.0,1.0,1.0
0.471272,3e-06,512.0,512.0,1.0
0.471286,0.001099,512.0,1.0,1.0
0.472396,3e-06,512.0,512.0,1.0
0.47241,0.0011,512.0,1.0,1.0
0.47352,3e-06,512.0,512.0,1.0
0.473534,0.001103,512.0,1.0,1.0
0.474647,3e-06,512.0,512.0,1.0
0.474661,0.001099,512.0,1.0,1.0
0.47577,3e-06,512.0,512.0,1.0
0.475784,0.001102,512.0,1.0,1.0
0.476896,3e-06,512.0,512.0,1.0
0.47691,0.001101,512.0,1.0,1.0
0.478021,3e-06,512.0,512.0,1.0
0.478036,0.0011,512.0,1.0,1.0
0.479146,3e-06,512.0,512.0,1.0
0.47916,0.001101,512.0,1.0,1.0
0.480271,3e-06,512.0,512.0,1.0
0.480285,0.001101,512.0,1.0,1.0
0.481396,3e-06,512.0,512.0,1.0
0.481409,0.0011,512.0,1.0,1.0
0.48252,3e-06,512.0,512.0,1.0
0.482534,0.001101,512.0,1.0,1.0
0.483646,3e-06,512.0,512.0,1.0
0.48366,0.0011,512.0,1.0,1.0
0.48477,3e-06,512.0,512.0,1.0
0.484784,0.0011,512.0,1.0,1.0
0.485894,3e-06,512.0,512.0,1.0
0.485908,0.0011,512.0,1.0,1.0
0.487018,3e-06,512.0,512.0,1.0
0.487032,0.001101,512.0,1.0,1.0
0.488143,3e-06,512.0,512.0,1.0
0.488157,0.0011,512.0,1.0,1.0
0.489267,3e-06,512.0,512.0,1.0
0.489281,0.0011,512.0,1.0,1.0
0.490391,3e-06,512.0,512.0,1.0
0.490405,0.001101,512.0,1.0,1.0
0.491515,3e-06,512.0,512.0,1.0
0.491529,0.001101,512.0,1.0,1.0
0.49264,3e-06,512.0,512.0,1.0
0.492654,0.001101,512.0,1.0,1.0
0.493765,3e-06,512.0,512.0,1.0
0.49378,0.001102,512.0,1.0,1.0
0.494892,3e-06,512.0,512.0,1.0
0.494906,0.001101,512.0,1.0,1.0
0.496016,3e-06,512.0,512.0,1.0
0.49603,0.001101,512.0,1.0,1.0
0.497142,3e-06,512.0,512.0,1.0
0.497156,0.001101,512.0,1.0,1.0
0.498267,3e-06,512.0,512.0,1.0
0.498281,0.0011,512.0,1.0,1.0
0.499392,3e-06,512.0,512.0,1.0
0.499408,0.001101,512.0,1.0,1.0
0.500518,3e-06,512.0,512.0,1.0
0.500532,0.001103,512.0,1.0,1.0
0.501644,3e-06,512.0,512.0,1.0
0.501658,0.001099,512.0,1.0,1.0
0.502768,3e-06,512.0,512.0,1.0
0.502782,0.001102,512.0,1.0,1.0
0.503894,3e-06,512.0,512.0,1.0
0.503908,0.001102,512.0,1.0,1.0
0.505021,3e-06,512.0,512.0,1.0
0.505036,0.001102,512.0,1.0,1.0
0.506148,3e-06,512.0,512.0,1.0
0.506162,0.001101,512.0,1.0,1.0
0.507273,3e-06,512.0,512.0,1.0
0.507287,0.001102,512.0,1.0,1.0
0.5084,3e-06,512.0,512.0,1.0
0.508415,0.001099,512.0,1.0,1.0
0.509524,3e-06,512.0,512.0,1.0
0.509537,0.001102,512.0,1.0,1.0
0.510651,3e-06,512.0,512.0,1.0
0.510665,0.001102,512.0,1.0,1.0
0.511777,3e-06,512.0,512.0,1.0
0.511791,0.001103,512.0,1.0,1.0
0.512905,3e-06,512.0,512.0,1.0
0.512919,0.001102,512.0,1.0,1.0
0.514031,3e-06,512.0,512.0,1.0
0.514044,0.001102,512.0,1.0,1.0
0.515157,3e-06,512.0,512.0,1.0
0.515171,0.001101,512.0,1.0,1.0
0.516283,3e-06,512.0,512.0,1.0
0.516296,0.001102,512.0,1.0,1.0
0.517409,3e-06,512.0,512.0,1.0
0.517424,0.001102,512.0,1.0,1.0
0.518538,3e-06,512.0,512.0,1.0
0.518553,0.001101,512.0,1.0,1.0
0.519665,3e-06,512.0,512.0,1.0
0.519679,0.0011,512.0,1.0,1.0
0.520789,3e-06,512.0,512.0,1.0
0.520803,0.0011,512.0,1.0,1.0
0.521913,3e-06,512.0,512.0,1.0
0.521927,0.001098,512.0,1.0,1.0
0.523036,3e-06,512.0,512.0,1.0
