start,duration,H2D,D2H,D2D,Throughput
0.528837,0.000656,1,0,0,6.973406
0.529654,0.002882,1,0,0,6.348432
0.532698,0.002834,1,0,0,6.454586
0.535547,2.8e-05,0,0,0,0
0.535576,2.3e-05,0,0,0,0
0.535601,5.7e-05,0,0,0,0
0.535757,2e-06,0,0,0,0
0.535769,0.000171,0,0,0,0
0.536098,4.2e-05,0,0,0,0
0.536141,1.4e-05,0,0,0,0
0.536296,2e-06,0,0,0,0
0.536306,6.2e-05,0,0,0,0
0.536498,5.6e-05,0,0,0,0
0.536556,5e-05,0,0,0,0
0.536607,6e-06,0,0,0,0
0.536702,0.000202,0,0,0,0
0.536906,1.2e-05,0,0,0,0
0.536919,4.8e-05,0,0,0,0
0.536969,1.3e-05,0,0,0,0
0.536983,3.4e-05,0,0,0,0
0.537018,1.6e-05,0,0,0,0
0.537036,4.3e-05,0,0,0,0
0.53708,1.5e-05,0,0,0,0
0.537097,3.2e-05,0,0,0,0
0.53713,1.9e-05,0,0,0,0
0.53715,4.1e-05,0,0,0,0
0.537192,1.7e-05,0,0,0,0
0.537211,3e-05,0,0,0,0
0.537242,1.9e-05,0,0,0,0
0.537263,4.1e-05,0,0,0,0
0.537305,1.9e-05,0,0,0,0
0.537325,3.1e-05,0,0,0,0
0.537357,2.1e-05,0,0,0,0
0.53738,4e-05,0,0,0,0
0.537422,1.7e-05,0,0,0,0
0.53744,3.1e-05,0,0,0,0
0.537612,8e-06,0,0,0,0
0.537954,3e-06,0,0,0,0
0.537964,1.8e-05,0,0,0,0
0.538113,1e-06,0,0,0,0
0.538292,2e-06,0,0,0,0
0.538302,2.1e-05,0,0,0,0
0.538452,3e-06,0,1,0,0.001141
0.538474,2.6e-05,0,0,0,0
0.538502,9e-05,0,0,0,0
0.538593,0.000108,0,0,0,0
0.538705,0.000662,0,0,0,0
0.539369,1.3e-05,0,0,0,0
0.539383,0.000148,0,0,0,0
0.539532,1.5e-05,0,0,0,0
0.539549,0.000104,0,0,0,0
0.539654,2e-05,0,0,0,0
0.539676,0.000144,0,0,0,0
0.539821,2e-05,0,0,0,0
0.539843,0.000103,0,0,0,0
0.539946,2.4e-05,0,0,0,0
0.539972,0.000141,0,0,0,0
0.540115,2.3e-05,0,0,0,0
0.540139,0.000104,0,0,0,0
0.540244,2.6e-05,0,0,0,0
0.540272,0.000138,0,0,0,0
0.540411,2.4e-05,0,0,0,0
0.540436,0.000102,0,0,0,0
0.540539,2.8e-05,0,0,0,0
0.540569,0.000137,0,0,0,0
0.540707,2.6e-05,0,0,0,0
0.540735,0.000102,0,0,0,0
0.540838,3.1e-05,0,0,0,0
0.54087,0.000136,0,0,0,0
0.541007,2.4e-05,0,0,0,0
0.541033,0.000101,0,0,0,0
0.542381,2e-06,0,0,0,0
0.542393,1.7e-05,0,0,0,0
0.542411,8e-06,0,0,0,0
0.542604,2e-06,0,0,0,0
0.542615,2e-06,0,1,0,0.007761
0.543059,2e-06,0,0,0,0
0.543069,1.6e-05,0,0,0,0
0.543087,8e-06,0,0,0,0
0.543274,2e-06,0,0,0,0
0.543283,2e-06,0,1,0,0.009701
0.543693,4e-06,0,0,0,0
0.543703,5.3e-05,0,0,0,0
0.54388,2e-06,0,0,0,0
0.543883,1e-06,0,0,0,0
0.54406,2e-06,0,0,0,0
0.54407,2.6e-05,0,0,0,0
0.544108,1e-06,0,1,0,0.002707
0.544248,8.5e-05,0,0,0,0
0.544334,6e-06,0,0,0,0
0.544448,1.3e-05,0,0,0,0
0.544463,1.6e-05,0,0,0,0
0.54448,4.1e-05,0,0,0,0
0.544522,1.1e-05,0,0,0,0
0.544534,1.5e-05,0,0,0,0
0.544551,3.9e-05,0,0,0,0
0.544591,1.1e-05,0,0,0,0
0.544603,1.6e-05,0,0,0,0
0.54462,4e-05,0,0,0,0
0.544662,1.2e-05,0,0,0,0
0.544675,1.5e-05,0,0,0,0
0.544691,4.1e-05,0,0,0,0
0.544734,1.2e-05,0,0,0,0
0.544747,1.6e-05,0,0,0,0
0.544764,2.4e-05,0,0,0,0
