start,duration,H2D,D2H,D2D,Throughput
0.768695,0.01385,1,0,0,4.512762
0.782621,2.4e-05,1,0,0,10.337933
0.782848,0.000281,1,0,0,6.958076
0.78314,1e-06,0,0,0,0
0.783144,1e-06,0,0,0,0
0.783191,9.2e-05,0,0,0,0
0.783311,0.00115,0,1,0,2.548023
0.784799,6e-06,0,1,0,10.038677
0.841422,2.4e-05,1,0,0,10.268796
0.841662,0.000312,1,0,0,6.263328
0.841986,1e-06,0,0,0,0
0.841989,1e-06,0,0,0,0
0.84202,9.2e-05,0,0,0,0
0.842138,4.1e-05,0,1,0,11.977548
0.842274,6e-06,0,1,0,10.091792
0.896879,2.4e-05,1,0,0,10.132419
0.897123,0.000302,1,0,0,6.459537
0.897435,1e-06,0,0,0,0
0.897439,1e-06,0,0,0,0
0.897469,9.1e-05,0,0,0,0
0.897586,4.1e-05,0,1,0,11.996381
0.897744,6e-06,0,1,0,9.536743
0.952339,2.4e-05,1,0,0,10.254563
0.952582,0.000316,1,0,0,6.17587
0.95291,1e-06,0,0,0,0
0.952913,1e-06,0,0,0,0
0.952943,9.1e-05,0,0,0,0
0.95306,4.1e-05,0,1,0,11.939767
0.953217,6e-06,0,1,0,10.145471
0.954141,2.4e-05,1,0,0,10.186533
0.954379,0.000298,1,0,0,6.551736
0.954691,1e-06,0,0,0,0
0.954694,1e-06,0,0,0,0
0.95472,9.1e-05,0,0,0,0
0.954835,4.1e-05,0,1,0,11.977254
0.95497,6e-06,0,1,0,9.536743
0.955858,2.4e-05,1,0,0,10.131998
0.95608,0.000281,1,0,0,6.950128
0.956374,1e-06,0,0,0,0
0.956377,1e-06,0,0,0,0
0.956401,9.1e-05,0,0,0,0
0.956515,4.1e-05,0,1,0,11.958481
0.956646,6e-06,0,1,0,10.091792
0.95753,2.4e-05,1,0,0,10.213807
0.957757,0.00028,1,0,0,6.978736
0.958049,1e-06,0,0,0,0
0.958053,1e-06,0,0,0,0
0.958077,9.1e-05,0,0,0,0
0.95819,4.1e-05,0,1,0,11.968154
0.958318,6e-06,0,1,0,9.536743
0.959183,2.4e-05,1,0,0,10.268796
0.959403,0.000282,1,0,0,6.921753
0.959698,1e-06,0,0,0,0
0.959701,1e-06,0,0,0,0
0.959725,9e-05,0,0,0,0
0.959838,4.1e-05,0,1,0,11.996381
0.959965,6e-06,0,1,0,10.20143
0.960831,2.4e-05,1,0,0,10.199725
0.961053,0.00028,1,0,0,6.980333
0.961345,1e-06,0,0,0,0
0.961349,1e-06,0,0,0,0
0.961372,9.1e-05,0,0,0,0
0.961485,4.1e-05,0,1,0,11.977254
0.961611,6e-06,0,1,0,9.489297
0.962485,2.4e-05,1,0,0,10.282203
0.962706,0.000286,1,0,0,6.835729
0.963004,1e-06,0,0,0,0
0.963007,1e-06,0,0,0,0
0.963032,9.1e-05,0,0,0,0
0.963145,4.1e-05,0,1,0,11.977548
0.96327,6e-06,0,1,0,10.091792
0.964133,2.4e-05,1,0,0,10.200151
0.964354,0.00028,1,0,0,6.984327
0.964646,1e-06,0,0,0,0
0.964649,1e-06,0,0,0,0
0.964672,9e-05,0,0,0,0
0.964785,4.1e-05,0,1,0,11.977548
0.964909,6e-06,0,1,0,9.489297
0.965772,2.4e-05,1,0,0,10.213807
0.965992,0.00028,1,0,0,6.964403
0.966285,1e-06,0,0,0,0
0.966288,1e-06,0,0,0,0
0.966312,9.1e-05,0,0,0,0
0.966427,4.1e-05,0,1,0,11.996381
0.96655,6e-06,0,1,0,9.731371
0.96744,2.4e-05,1,0,0,10.268364
0.967663,0.000287,1,0,0,6.80676
0.967962,1e-06,0,0,0,0
0.967966,1e-06,0,0,0,0
0.96799,9e-05,0,0,0,0
0.968104,4.1e-05,0,1,0,11.968154
0.968228,6e-06,0,1,0,9.584666
0.969126,2.4e-05,1,0,0,10.282203
0.969346,0.00028,1,0,0,6.98193
0.969639,1e-06,0,0,0,0
0.969642,1e-06,0,0,0,0
0.969666,9e-05,0,0,0,0
0.969781,4.1e-05,0,1,0,11.977254
0.969901,6e-06,0,1,0,10.091792
1.024388,2.4e-05,1,0,0,10.282203
1.024628,0.000306,1,0,0,6.379176
1.024945,1e-06,0,0,0,0
1.024948,1e-06,0,0,0,0
1.024978,9e-05,0,0,0,0
1.025094,4.1e-05,0,1,0,11.986663
1.025243,6e-06,0,1,0,9.536743
1.026149,2.4e-05,1,0,0,10.240798
1.026384,0.000294,1,0,0,6.653172
1.026691,1e-06,0,0,0,0
1.026694,1e-06,0,0,0,0
1.026719,9e-05,0,0,0,0
1.026833,4.1e-05,0,1,0,11.940059
1.026966,6e-06,0,1,0,10.091792
1.027844,2.4e-05,1,0,0,10.268364
1.028067,0.000286,1,0,0,6.838027
1.028365,1e-06,0,0,0,0
1.028369,1e-06,0,0,0,0
1.028393,9.1e-05,0,0,0,0
1.028506,4.1e-05,0,1,0,11.977548
1.028632,6e-06,0,1,0,9.536743
1.02952,2.4e-05,1,0,0,10.105577
1.02974,0.00029,1,0,0,6.730179
1.030043,1e-06,0,0,0,0
1.030047,1e-06,0,0,0,0
1.030072,9.1e-05,0,0,0,0
1.030188,4.1e-05,0,1,0,11.986663
1.030311,6e-06,0,1,0,9.731371
1.031176,2.4e-05,1,0,0,10.22707
1.031397,0.000283,1,0,0,6.909241
1.031692,1e-06,0,0,0,0
1.031696,1e-06,0,0,0,0
1.03172,9.1e-05,0,0,0,0
1.031833,4.1e-05,0,1,0,11.968154
1.031955,6e-06,0,1,0,9.395806
1.032822,2.4e-05,1,0,0,10.07846
1.033042,0.000283,1,0,0,6.899868
1.033338,1e-06,0,0,0,0
1.033341,1e-06,0,0,0,0
1.033365,9.1e-05,0,0,0,0
1.033479,4.1e-05,0,1,0,11.977548
1.033602,6e-06,0,1,0,10.145471
1.088314,2.4e-05,1,0,0,10.268364
1.088553,0.000307,1,0,0,6.359257
1.08887,1e-06,0,0,0,0
1.088874,1e-06,0,0,0,0
1.088903,9.1e-05,0,0,0,0
1.089021,4.1e-05,0,1,0,11.96786
1.089169,6e-06,0,1,0,9.44232
1.090109,2.4e-05,1,0,0,10.254993
1.090341,0.000294,1,0,0,6.645181
1.090647,1e-06,0,0,0,0
1.09065,1e-06,0,0,0,0
1.090675,9.2e-05,0,0,0,0
1.090791,4.1e-05,0,1,0,11.986663
1.090925,6e-06,0,1,0,10.038677
1.0918,2.4e-05,1,0,0,10.131998
1.092022,0.000283,1,0,0,6.903746
1.092317,1e-06,0,0,0,0
1.092321,1e-06,0,0,0,0
1.092346,9.2e-05,0,0,0,0
1.092461,4.1e-05,0,1,0,11.977548
1.092588,7e-06,0,1,0,9.30414
1.093464,2.4e-05,1,0,0,10.282203
1.093685,0.00029,1,0,0,6.726471
1.093987,1e-06,0,0,0,0
1.093991,1e-06,0,0,0,0
1.094015,9e-05,0,0,0,0
1.094128,4.1e-05,0,1,0,11.977254
1.094253,6e-06,0,1,0,10.091792
1.09512,2.4e-05,1,0,0,10.254563
1.095342,0.000282,1,0,0,6.920993
1.095636,1e-06,0,0,0,0
1.095639,1e-06,0,0,0,0
1.095664,9e-05,0,0,0,0
1.095777,4.1e-05,0,1,0,11.977548
1.0959,7e-06,0,1,0,9.30414
1.1505,2.4e-05,1,0,0,10.172526
1.150739,0.000306,1,0,0,6.387187
1.151055,1e-06,0,0,0,0
1.151058,1e-06,0,0,0,0
1.151088,9.2e-05,0,0,0,0
1.151205,4.1e-05,0,1,0,11.986663
1.151354,6e-06,0,1,0,10.199725
1.152278,2.4e-05,1,0,0,10.145893
1.152509,0.000291,1,0,0,6.700625
1.152813,1e-06,0,0,0,0
1.152816,1e-06,0,0,0,0
1.152843,9.2e-05,0,0,0,0
1.152959,4.1e-05,0,1,0,11.986663
1.153089,6e-06,0,1,0,9.536743
1.153978,2.4e-05,1,0,0,10.145893
1.154199,0.000282,1,0,0,6.927253
1.154494,1e-06,0,0,0,0
1.154498,1e-06,0,0,0,0
1.154522,8.9e-05,0,0,0,0
1.154635,4.1e-05,0,1,0,11.996381
1.154766,6e-06,0,1,0,10.145471
1.155675,2.4e-05,1,0,0,10.268796
1.155903,0.000282,1,0,0,6.917831
1.156198,1e-06,0,0,0,0
1.156202,1e-06,0,0,0,0
1.156227,9.1e-05,0,0,0,0
1.156342,4.1e-05,0,1,0,11.968154
1.156467,6e-06,0,1,0,9.489297
1.157368,2.4e-05,1,0,0,10.105577
1.157589,0.000287,1,0,0,6.812054
1.157889,1e-06,0,0,0,0
1.157892,1e-06,0,0,0,0
1.157916,9.1e-05,0,0,0,0
1.15803,4.1e-05,0,1,0,11.977548
1.158153,6e-06,0,1,0,10.091792
1.159033,2.4e-05,1,0,0,10.22707
1.159255,0.00028,1,0,0,6.965198
1.159549,1e-06,0,0,0,0
1.159552,1e-06,0,0,0,0
1.159577,8.9e-05,0,0,0,0
1.159688,4.1e-05,0,1,0,11.977254
1.159817,6e-06,0,1,0,9.584666
1.160694,2.4e-05,1,0,0,10.172526
1.160919,0.000282,1,0,0,6.93276
1.161214,1e-06,0,0,0,0
1.161217,1e-06,0,0,0,0
1.161242,8.9e-05,0,0,0,0
1.161355,4.1e-05,0,1,0,11.996381
1.161477,6e-06,0,1,0,10.145471
1.162361,2.4e-05,1,0,0,10.21338
1.162583,0.000285,1,0,0,6.854898
1.162881,1e-06,0,0,0,0
1.162884,1e-06,0,0,0,0
1.162908,9e-05,0,0,0,0
1.163021,4.1e-05,0,1,0,11.96786
1.163143,6e-06,0,1,0,9.781275
1.16402,2.4e-05,1,0,0,10.199725
1.164241,0.000282,1,0,0,6.924919
1.164537,1e-06,0,0,0,0
1.16454,1e-06,0,0,0,0
1.164564,9.1e-05,0,0,0,0
1.164678,4.1e-05,0,1,0,11.949409
1.164806,6e-06,0,1,0,10.038677
1.165679,2.4e-05,1,0,0,10.227499
1.165906,0.000279,1,0,0,6.990726
1.166197,1e-06,0,0,0,0
1.166201,1e-06,0,0,0,0
1.166224,9.1e-05,0,0,0,0
1.166339,4.1e-05,0,1,0,11.977548
1.166461,6e-06,0,1,0,9.536743
1.167348,2.4e-05,1,0,0,10.11856
1.167568,0.000285,1,0,0,6.844161
1.167867,1e-06,0,0,0,0
1.16787,1e-06,0,0,0,0
1.167893,9.2e-05,0,0,0,0
1.168009,4.1e-05,0,1,0,11.949409
1.168131,6e-06,0,1,0,10.091792
1.16901,2.4e-05,1,0,0,10.310428
1.16923,0.00028,1,0,0,6.982728
1.169515,1e-06,0,0,0,0
1.169518,1e-06,0,0,0,0
1.169542,9.1e-05,0,0,0,0
1.169656,4.1e-05,0,1,0,11.977548
1.169784,6e-06,0,1,0,9.536743
1.170673,2.4e-05,1,0,0,10.11856
1.170898,0.00028,1,0,0,6.98755
1.17119,1e-06,0,0,0,0
1.171194,1e-06,0,0,0,0
1.171217,8.9e-05,0,0,0,0
1.171329,4.1e-05,0,1,0,11.986957
1.171449,6e-06,0,1,0,10.145471
1.172327,2.4e-05,1,0,0,10.159403
1.17255,0.00028,1,0,0,6.979534
1.172843,1e-06,0,0,0,0
1.172846,1e-06,0,0,0,0
1.17287,9e-05,0,0,0,0
1.172983,4.1e-05,0,1,0,11.986957
1.173104,7e-06,0,1,0,9.214245
1.173979,2.4e-05,1,0,0,10.159403
1.174201,0.000281,1,0,0,6.956465
1.174495,1e-06,0,0,0,0
1.174498,1e-06,0,0,0,0
1.174522,9.2e-05,0,0,0,0
1.174637,4.1e-05,0,1,0,11.977254
1.174763,6e-06,0,1,0,10.093461
1.175641,2.4e-05,1,0,0,10.172526
1.175869,0.00028,1,0,0,6.977166
1.176162,1e-06,0,0,0,0
1.176165,1e-06,0,0,0,0
1.176188,9e-05,0,0,0,0
1.176302,4.1e-05,0,1,0,11.977548
1.176423,6e-06,0,1,0,9.536743
1.177297,2.4e-05,1,0,0,10.213807
1.177517,0.000281,1,0,0,6.962814
1.177809,1e-06,0,0,0,0
1.177813,1e-06,0,0,0,0
1.177837,9.2e-05,0,0,0,0
1.177952,4.1e-05,0,1,0,11.986957
1.178071,6e-06,0,1,0,10.091792
1.178947,2.4e-05,1,0,0,10.268364
1.179168,0.00028,1,0,0,6.976343
1.179461,1e-06,0,0,0,0
1.179464,1e-06,0,0,0,0
1.179488,9.1e-05,0,0,0,0
1.179601,4.1e-05,0,1,0,11.986663
1.179721,6e-06,0,1,0,9.490772
1.180607,2.4e-05,1,0,0,10.296079
1.180832,0.000279,1,0,0,7.00439
1.181124,1e-06,0,0,0,0
1.181127,1e-06,0,0,0,0
1.181151,9e-05,0,0,0,0
1.181263,4.1e-05,0,1,0,11.996381
1.181383,6e-06,0,1,0,10.145471
1.18226,2.4e-05,1,0,0,10.310428
1.182481,0.000281,1,0,0,6.959638
1.182774,1e-06,0,0,0,0
1.182777,1e-06,0,0,0,0
1.182801,9e-05,0,0,0,0
1.182914,4.1e-05,0,1,0,11.986957
1.183035,6e-06,0,1,0,9.584666
1.237648,2.4e-05,1,0,0,10.268796
1.237895,0.000298,1,0,0,6.544031
1.238204,1e-06,0,0,0,0
1.238207,1e-06,0,0,0,0
1.238235,9.1e-05,0,0,0,0
1.238352,4.1e-05,0,1,0,11.977548
1.2385,6e-06,0,1,0,10.040328
1.239423,2.4e-05,1,0,0,10.254563
1.239654,0.000296,1,0,0,6.60279
1.239963,1e-06,0,0,0,0
1.239967,1e-06,0,0,0,0
1.239991,9e-05,0,0,0,0
1.240104,4.1e-05,0,1,0,11.977548
1.240235,6e-06,0,1,0,9.536743
1.24111,2.4e-05,1,0,0,10.145893
1.24133,0.000284,1,0,0,6.874974
1.241627,1e-06,0,0,0,0
1.241631,1e-06,0,0,0,0
1.241655,9.1e-05,0,0,0,0
1.241771,4.1e-05,0,1,0,11.996086
1.2419,6e-06,0,1,0,10.091792
1.242766,2.4e-05,1,0,0,10.11856
1.242987,0.00028,1,0,0,6.977141
1.243279,1e-06,0,0,0,0
1.243282,1e-06,0,0,0,0
1.243306,9.1e-05,0,0,0,0
1.24342,4.1e-05,0,1,0,11.96786
1.243546,7e-06,0,1,0,9.169945
1.24442,2.4e-05,1,0,0,10.186108
1.24464,0.000288,1,0,0,6.782555
1.24494,1e-06,0,0,0,0
1.244943,1e-06,0,0,0,0
1.244967,9e-05,0,0,0,0
1.24508,4.1e-05,0,1,0,11.986957
1.245204,6e-06,0,1,0,10.038677
1.246067,2.4e-05,1,0,0,10.241228
1.246288,0.00028,1,0,0,6.982728
1.24658,1e-06,0,0,0,0
1.246584,1e-06,0,0,0,0
1.246607,9.2e-05,0,0,0,0
1.246723,4.1e-05,0,1,0,11.977548
1.246846,6e-06,0,1,0,9.489297
1.247706,2.4e-05,1,0,0,10.17295
1.247933,0.000281,1,0,0,6.958845
1.248226,1e-06,0,0,0,0
1.248229,1e-06,0,0,0,0
1.248253,9e-05,0,0,0,0
1.248366,4.1e-05,0,1,0,11.977254
1.248488,6e-06,0,1,0,10.145471
1.249361,2.4e-05,1,0,0,10.254563
1.249598,0.000287,1,0,0,6.802967
1.249898,1e-06,0,0,0,0
1.249901,1e-06,0,0,0,0
1.249927,9.1e-05,0,0,0,0
1.25004,4.1e-05,0,1,0,11.977548
1.250164,6e-06,0,1,0,9.536743
1.251069,2.4e-05,1,0,0,10.11856
