start,duration,H2D,D2H,D2D,Throughput
0.757281,0.014401,1,0,0,4.340031
0.771693,1e-06,1,0,0,0.165568
0.771724,0.000373,0,0,0,0
0.772103,1e-06,1,0,0,0.003528
0.772126,0.00037,0,0,0,0
0.772505,1e-06,1,0,0,0.003638
0.772518,0.000367,0,0,0,0
0.772895,1e-06,1,0,0,0.003638
0.772907,0.000367,0,0,0,0
0.773283,1e-06,1,0,0,0.003528
0.773295,0.000365,0,0,0,0
0.77367,1e-06,1,0,0,0.003528
0.773682,0.000367,0,0,0,0
0.774058,1e-06,1,0,0,0.003528
0.77407,0.000368,0,0,0,0
0.774447,1e-06,1,0,0,0.003638
0.774458,0.000366,0,0,0,0
0.774834,1e-06,1,0,0,0.003638
0.774845,0.000369,0,0,0,0
0.775223,1e-06,1,0,0,0.003638
0.775236,0.000368,0,0,0,0
0.775612,1e-06,1,0,0,0.003638
0.775624,0.000366,0,0,0,0
0.776,1e-06,1,0,0,0.003528
0.776012,0.000363,0,0,0,0
0.776384,1e-06,1,0,0,0.003528
0.776396,0.000367,0,0,0,0
0.776771,1e-06,1,0,0,0.003528
0.776783,0.000366,0,0,0,0
0.777159,1e-06,1,0,0,0.003528
0.77717,0.00037,0,0,0,0
0.777549,1e-06,1,0,0,0.003528
0.777561,0.000365,0,0,0,0
0.777934,1e-06,1,0,0,0.003638
0.777946,0.000365,0,0,0,0
0.77832,1e-06,1,0,0,0.003638
0.778332,0.000365,0,0,0,0
0.778707,1e-06,1,0,0,0.003638
0.778719,0.000366,0,0,0,0
0.779094,1e-06,1,0,0,0.002772
0.779108,0.000365,0,0,0,0
0.779482,1e-06,1,0,0,0.003638
0.779495,0.000367,0,0,0,0
0.77987,1e-06,1,0,0,0.003638
0.779882,0.000365,0,0,0,0
0.780255,1e-06,1,0,0,0.003638
0.780267,0.000367,0,0,0,0
0.780643,1e-06,1,0,0,0.003638
0.780655,0.000367,0,0,0,0
0.781031,1e-06,1,0,0,0.003528
0.781043,0.000365,0,0,0,0
0.781417,1e-06,1,0,0,0.003638
0.78143,0.000365,0,0,0,0
0.781803,1e-06,1,0,0,0.003638
0.781815,0.000365,0,0,0,0
0.782189,1e-06,1,0,0,0.003638
0.782201,0.000364,0,0,0,0
0.782574,1e-06,1,0,0,0.003638
0.782586,0.000366,0,0,0,0
0.782961,1e-06,1,0,0,0.003638
0.782973,0.00037,0,0,0,0
0.783353,1e-06,1,0,0,0.003528
0.783371,0.000366,0,0,0,0
0.783745,1e-06,1,0,0,0.003528
0.783757,0.000366,0,0,0,0
0.784132,1e-06,1,0,0,0.003638
0.784144,0.000365,0,0,0,0
0.784517,1e-06,1,0,0,0.003528
0.784529,0.000367,0,0,0,0
0.784905,1e-06,1,0,0,0.003638
0.784917,0.000366,0,0,0,0
0.785292,1e-06,1,0,0,0.003528
0.785304,0.000363,0,0,0,0
0.785676,1e-06,1,0,0,0.003528
0.785689,0.000364,0,0,0,0
0.786062,1e-06,1,0,0,0.003528
0.786073,0.000367,0,0,0,0
0.786449,1e-06,1,0,0,0.003638
0.786461,0.000366,0,0,0,0
