start,duration,direction,throughput
0.307778,0.000339,0,7.871006
0.308122,0.000423,0,6.294979
0.308551,9.4e-05,0,0.031482
0.308647,2.5e-05,0,4.339968
0.308712,0.000442,1,6.028796
0.34543,0.000353,0,7.547736
0.345791,8.8e-05,0,0.000254
0.345881,7e-06,0,0.00038
0.345897,0.000332,0,8.027748
0.346379,0.000363,0,7.333491
0.346871,0.000439,1,6.071795
0.350347,0.000342,0,7.782754
0.350695,0.000364,0,7.329639
0.351064,0.000112,0,0.026339
0.351179,2.6e-05,0,4.194228
0.351237,0.000479,1,5.559335
0.363021,0.000135,0,9.501818
0.363163,0.000113,0,0.000198
0.363279,8e-06,0,0.000354
0.36329,7e-06,0,0.412073
0.370619,1.2e-05,0,0.240503
0.377939,0.00024,1,5.343448
0.457511,0.000358,0,7.444026
0.457875,0.000353,0,7.542268
0.458232,0.000114,0,0.026032
0.458349,2.6e-05,0,4.172047
0.45841,0.000488,1,5.461944
0.495354,0.00036,0,7.405928
0.495722,8.8e-05,0,0.000255
0.495812,8e-06,0,0.000343
0.495829,0.000331,0,8.04947
0.496317,0.000364,0,7.312647
0.496809,0.000435,1,6.128066
0.499806,0.000344,0,7.758311
0.500154,0.000351,0,7.585303
0.50051,0.000118,0,0.025144
0.50063,2.5e-05,0,4.282968
0.500686,0.000488,1,5.464912
0.510336,0.001156,0,4.436543
0.5115,6.3e-05,0,0.000354
0.511566,8e-06,0,0.000341
0.511578,8e-06,0,1.40126
0.540338,3.1e-05,0,0.363651
0.569129,0.003198,1,1.60322
0.650679,0.000357,0,7.473937
0.651042,0.00034,0,7.84319
0.651386,0.000121,0,0.024506
0.651509,2.5e-05,0,4.325795
0.651567,0.000495,1,5.388581
0.685966,0.000355,0,7.503773
0.686329,8e-05,0,0.000278
0.686412,8e-06,0,0.000346
0.686429,0.000317,0,8.400898
0.686899,0.000358,0,7.450872
0.687385,0.000428,1,6.226381
0.690282,0.000333,0,7.997063
0.690621,0.000342,0,7.803716
0.690966,0.00012,0,0.024702
0.691088,2.6e-05,0,4.190624
0.691145,0.00048,1,5.548353
0.699768,0.0027,0,7.594977
0.702478,0.0001,0,0.000223
0.702581,8e-06,0,0.00034
0.702592,1.8e-05,0,2.521697
0.816171,3.3e-05,0,1.395068
0.92971,0.008348,1,2.456494
1.011729,0.000349,0,7.646471
1.012083,0.000342,0,7.797302
1.012429,0.000122,0,0.024343
1.012553,2.6e-05,0,4.164274
1.012613,0.000482,1,5.533689
1.045078,0.000357,0,7.469539
1.045443,9.1e-05,0,0.000245
1.045537,7e-06,0,0.000416
1.045552,0.000321,0,8.304395
1.046025,0.000369,0,7.214982
1.046525,0.000423,1,6.295202
1.048893,0.00033,0,8.083721
1.049227,0.000339,0,7.852039
1.04957,0.000123,0,0.024142
1.049695,2.5e-05,0,4.220462
1.049751,0.000476,1,5.59482
1.058806,0.008695,0,9.434822
1.067514,0.000122,0,0.000184
1.067638,8e-06,0,0.000347
1.06765,3e-05,0,6.084451
1.521021,4.6e-05,0,3.939531
1.974363,0.029955,1,2.738457
2.079232,0.000586,0,4.548448
2.079824,0.000343,0,7.775602
2.080171,0.000119,0,0.024975
2.080292,5.1e-05,0,2.103487
2.080386,0.00047,1,5.669266
2.115513,0.000719,0,3.707156
2.116271,6.2e-05,0,0.00036
2.116337,1.1e-05,0,0.00026
2.116367,0.000419,0,6.356605
2.116964,0.000693,0,3.848357
2.117793,0.000446,1,5.974459
2.121029,0.00066,0,4.038437
2.121715,0.000762,0,3.499673
2.122494,8.1e-05,0,0.036675
2.122578,3.3e-05,0,3.23041
2.122657,0.000491,1,5.432887
2.13273,0.019674,0,9.381622
2.152421,0.000115,0,0.000194
2.15254,8e-06,0,0.00034
2.152552,5.6e-05,0,7.318884
3.356708,8.4e-05,0,4.887678
4.561088,0.065446,1,2.820193
4.700275,0.00035,0,7.605627
4.700632,0.000346,0,7.709058
4.700982,0.000119,0,0.024792
4.701103,2.5e-05,0,4.326667
4.701162,0.00048,1,5.556368
4.733383,0.000347,0,7.687158
4.733746,8.5e-05,0,0.000264
4.733833,7e-06,0,0.000408
4.733848,0.000331,0,8.04704
4.73433,0.000363,0,7.336983
4.734821,0.00042,1,6.349049
4.737217,0.000345,0,7.718746
4.737568,0.000345,0,7.736108
4.737916,0.000125,0,0.023749
4.738043,2.6e-05,0,4.118713
4.7381,0.000484,1,5.507027
4.747414,0.035486,0,9.246591
4.782925,0.000117,0,0.000191
4.783052,6e-06,0,0.000462
4.783066,0.000202,0,3.626659
7.803661,0.000312,0,2.34604
10.824398,0.119151,1,2.753864
11.019134,0.000357,0,7.458148
11.019497,0.000328,0,8.123905
11.019829,0.000146,0,0.020338
11.019977,3.9e-05,0,2.776183
11.020061,0.000557,1,4.78621
11.053126,0.000354,0,7.52449
11.053489,9.1e-05,0,0.000246
11.053582,8e-06,0,0.000346
11.053599,0.000332,0,8.020815
11.054102,0.000363,0,7.335428
11.054592,0.000424,1,6.28336
11.057137,0.000344,0,7.740737
11.057487,0.000349,0,7.636416
11.05784,0.000117,0,0.025216
11.05796,2.8e-05,0,3.885711
11.058019,0.00048,1,5.549669
11.068142,0.054955,0,9.329302
11.123117,0.000113,0,0.000197
11.123233,1.1e-05,0,0.000262
11.123249,0.000152,0,7.512056
16.787982,0.000477,0,2.398879
22.452674,0.181451,1,2.82553
22.711382,0.000352,0,7.581873
22.711739,0.000343,0,7.777281
22.712086,0.000121,0,0.024402
22.712209,2.5e-05,0,4.295658
22.712274,0.000481,1,5.539658
22.745106,0.000358,0,7.44596
22.745473,9e-05,0,0.000248
22.745565,1.2e-05,0,0.000239
22.745586,0.000321,0,8.304318
22.746073,0.000365,0,7.30337
22.746568,0.000425,1,6.269747
22.749097,0.000345,0,7.723622
22.749447,0.000343,0,7.773289
22.749794,0.000121,0,0.024465
22.749917,2.5e-05,0,4.366463
22.749973,0.000482,1,5.525934
22.760042,0.078234,0,9.436814
22.838299,0.000106,0,0.00021
22.838409,1.2e-05,0,0.000242
22.838425,0.000312,0,5.289942
