start,duration,direction,throughput
0.32733,2e-06,0,62.088171
0.327339,1e-06,0,8.765388
0.327528,1e-06,0,6.773254
0.831253,2e-06,1,4.02734
0.831272,1e-06,0,8.765388
1.342489,2e-06,1,5.843592
1.342506,1e-06,0,8.765388
1.853669,2e-06,1,5.843592
1.853684,1e-06,0,8.765388
2.364935,2e-06,1,5.960464
2.36496,1e-06,0,8.765388
2.876467,1e-06,1,6.478765
2.876483,1e-06,0,8.765388
3.387637,2e-06,1,5.843592
3.387653,1e-06,0,8.765388
3.898819,2e-06,1,5.843592
3.898835,1e-06,0,8.765388
4.409999,2e-06,1,5.843592
4.410018,1e-06,0,8.514949
4.921085,2e-06,1,5.843592
4.921102,1e-06,0,8.765388
5.431989,2e-06,1,5.960464
5.432004,1e-06,0,8.765388
5.943246,2e-06,1,5.843592
5.943262,1e-06,0,8.765388
6.45427,2e-06,1,5.843592
6.454289,1e-06,0,8.765388
6.965425,2e-06,1,5.843592
6.965443,1e-06,0,8.765388
7.47641,2e-06,1,5.843592
7.476444,1e-06,0,8.765388
7.987395,2e-06,1,5.051241
7.987411,1e-06,0,8.514949
8.498344,2e-06,1,5.623079
8.498359,1e-06,0,8.278422
9.009334,2e-06,1,5.843592
9.009354,1e-06,0,8.765388
9.520286,2e-06,1,4.967053
9.520302,1e-06,0,8.765388
10.031685,1e-06,1,6.478765
10.031702,1e-06,0,8.765388
10.542648,2e-06,1,5.960464
10.542664,1e-06,0,8.765388
11.053757,2e-06,1,5.418604
11.053773,1e-06,0,7.450581
11.564901,2e-06,1,5.960464
11.564918,1e-06,0,8.765388
12.076036,2e-06,1,5.843592
12.076052,1e-06,0,8.765388
12.587065,2e-06,1,5.960464
12.587083,1e-06,0,8.765388
13.098277,2e-06,1,5.843592
13.098293,1e-06,0,8.765388
13.609293,2e-06,1,5.960464
13.609309,1e-06,0,8.765388
14.120416,2e-06,1,5.960464
14.120431,1e-06,0,8.765388
14.631519,2e-06,1,5.960464
14.631534,1e-06,0,8.514949
15.14243,2e-06,1,5.843592
15.142445,1e-06,0,8.765388
15.653217,2e-06,1,5.960464
15.653235,1e-06,0,8.765388
16.164283,2e-06,1,5.623079
16.164298,1e-06,0,8.765388
16.675276,2e-06,1,5.960464
16.675295,1e-06,0,8.765388
17.186674,1e-06,1,6.478765
17.18669,1e-06,0,8.765388
17.697843,2e-06,1,5.228477
17.697859,1e-06,0,8.765388
18.208802,2e-06,1,5.960464
18.208819,1e-06,0,8.765388
18.719865,2e-06,1,5.960464
18.719881,1e-06,0,8.765388
19.230953,2e-06,1,5.843592
19.230969,1e-06,0,8.765388
19.742019,2e-06,1,5.843592
19.742035,1e-06,0,8.765388
20.252977,2e-06,1,5.960464
20.252993,1e-06,0,8.765388
20.764187,2e-06,1,5.960464
20.764203,1e-06,0,8.765388
21.275059,2e-06,1,5.960464
21.275075,1e-06,0,8.765388
21.786066,2e-06,1,5.051241
21.786082,1e-06,0,8.765388
22.29732,2e-06,1,5.843592
22.297338,1e-06,0,8.765388
22.80825,2e-06,1,5.843592
22.808267,1e-06,0,8.765388
23.319337,2e-06,1,5.960464
23.319352,1e-06,0,8.765388
23.830263,2e-06,1,5.960464
23.83028,1e-06,0,8.765388
24.341695,2e-06,1,5.518949
24.34171,1e-06,0,8.514949
24.852767,2e-06,1,5.843592
24.852782,1e-06,0,8.514949
25.36354,2e-06,1,5.843592
25.363558,1e-06,0,7.095791
25.87449,2e-06,1,5.843592
25.874506,1e-06,0,8.765388
26.385434,2e-06,1,5.623079
26.385452,1e-06,0,8.765388
26.896531,2e-06,1,5.843592
26.896547,1e-06,0,8.765388
27.40749,2e-06,1,5.843592
27.407505,1e-06,0,8.765388
27.920967,2e-06,1,5.843592
27.920983,1e-06,0,8.765388
28.442927,2e-06,1,5.847175
28.442943,1e-06,0,8.765388
28.964872,2e-06,1,5.843592
28.964887,1e-06,0,8.514949
29.486845,2e-06,1,5.960464
29.486861,1e-06,0,8.514949
30.008708,2e-06,1,5.960464
30.008727,1e-06,0,8.765388
30.53136,2e-06,1,5.843592
30.531376,1e-06,0,8.514949
31.053231,2e-06,1,5.960464
31.053246,1e-06,0,8.514949
31.575692,1e-06,1,6.478765
31.575707,1e-06,0,8.765388
32.097742,2e-06,1,5.843592
32.09776,1e-06,0,7.450581
32.619639,2e-06,1,5.843592
32.619655,1e-06,0,8.765388
33.141693,2e-06,1,5.960464
33.141709,1e-06,0,8.514949
33.663729,2e-06,1,5.960464
33.663744,1e-06,0,8.514949
34.18562,2e-06,1,5.843592
34.185636,1e-06,0,8.765388
34.707555,2e-06,1,5.960464
34.707572,1e-06,0,7.849171
35.229704,2e-06,1,5.623079
35.229719,1e-06,0,8.765388
35.751554,2e-06,1,5.843592
35.751569,1e-06,0,8.514949
36.273378,2e-06,1,5.518949
36.273395,1e-06,0,8.514949
36.795361,2e-06,1,5.843592
36.795378,1e-06,0,8.765388
37.317456,2e-06,1,5.960464
37.317474,1e-06,0,8.765388
37.839408,2e-06,1,5.843592
37.839424,1e-06,0,8.765388
38.361482,2e-06,1,5.960464
38.361497,1e-06,0,8.765388
38.883788,2e-06,1,5.623079
38.883803,1e-06,0,8.765388
39.405645,2e-06,1,5.960464
39.405665,1e-06,0,8.765388
39.927654,2e-06,1,5.960464
39.927671,1e-06,0,8.765388
40.449446,2e-06,1,5.960464
40.449464,1e-06,0,8.514949
40.971503,2e-06,1,5.843592
40.97152,1e-06,0,8.765388
41.49338,2e-06,1,5.843592
41.493395,1e-06,0,8.514949
42.015202,2e-06,1,5.843592
42.015217,1e-06,0,8.514949
42.537037,2e-06,1,5.960464
42.537053,1e-06,0,8.765388
43.059043,2e-06,1,5.960464
43.05906,1e-06,0,8.765388
43.580902,2e-06,1,5.843592
43.580918,1e-06,0,8.765388
44.102754,2e-06,1,5.960464
44.10277,1e-06,0,8.765388
44.624692,2e-06,1,5.960464
44.624708,1e-06,0,8.765388
45.146401,2e-06,1,5.960464
45.146417,1e-06,0,8.765388
45.668416,2e-06,1,5.731215
45.668431,1e-06,0,8.765388
46.190984,1e-06,1,6.622738
46.190999,1e-06,0,8.765388
46.71319,2e-06,1,5.843592
46.713206,1e-06,0,8.765388
47.235212,2e-06,1,5.843592
47.235228,1e-06,0,8.765388
47.757244,2e-06,1,5.960464
47.757259,1e-06,0,8.765388
48.279137,2e-06,1,5.843592
48.279153,1e-06,0,8.765388
48.8011,2e-06,1,5.843592
48.801117,1e-06,0,8.765388
49.322961,2e-06,1,4.806826
49.32299,1e-06,0,8.765388
49.845021,2e-06,1,5.843592
49.845037,1e-06,0,8.514949
50.366843,2e-06,1,5.843592
