start,duration,direction,throughput
0.34043,0.000309,0,8.623636
0.340877,0.000295,0,9.045035
0.341183,2e-06,0,1.851004
0.341208,1.2e-05,0,9.135589
0.341251,0.000268,1,9.963611
0.375604,0.000292,0,9.119305
0.375908,1e-06,0,0.019403
0.375917,1e-06,0,0.002568
0.37606,0.000297,0,8.972932
0.376408,2.2e-05,2,120.542927
0.376577,0.000297,0,8.961377
0.376902,2e-05,2,133.066008
0.376926,0.000288,1,9.265377
0.380257,0.000301,0,8.841523
0.380642,0.000247,0,10.78966
0.380901,2e-06,0,1.888779
0.380927,1.2e-05,0,9.210883
0.38096,0.000289,1,9.216201
0.389219,0.000121,0,10.627395
0.38935,1e-06,0,0.019403
0.38936,1e-06,0,0.002568
0.389369,2e-06,0,1.862645
0.392492,2e-06,0,1.824632
0.395598,0.000107,1,11.931693
0.499358,0.00031,0,8.59871
0.49975,0.000248,0,10.749237
0.500011,2e-06,0,1.888779
0.500037,1.2e-05,0,9.236257
0.500077,0.000287,1,9.287104
0.535314,0.000315,0,8.454725
0.535641,1e-06,0,0.019403
0.53565,1e-06,0,0.002568
0.535791,0.000286,0,9.303701
0.536124,2e-05,2,131.796144
0.536276,0.000299,0,8.915308
0.536601,1.9e-05,2,137.005665
0.536624,0.000279,1,9.562135
0.539913,0.000297,0,8.9768
0.540292,0.000248,0,10.739535
0.540551,2e-06,0,1.888779
0.540577,1.2e-05,0,9.110764
0.540609,0.000282,1,9.440752
0.550101,0.000669,0,7.665601
0.550781,1e-06,0,0.019403
0.55079,1e-06,0,0.002568
0.550802,3e-06,0,3.612403
0.563332,3e-06,0,3.973643
0.575878,0.001841,1,2.785541
0.682203,0.000299,0,8.912446
0.682585,0.000247,0,10.784029
0.682844,2e-06,0,1.888779
0.682872,1.2e-05,0,9.236257
0.682911,0.000296,1,9.011794
0.717041,0.000299,0,8.921037
0.717351,1e-06,0,0.019403
0.71736,1e-06,0,0.002495
0.717514,0.000285,0,9.345455
0.717846,2e-05,2,131.587935
0.718003,0.000297,0,8.962342
0.718327,2e-05,2,130.768052
0.71835,0.000287,1,9.294325
0.721665,0.000299,0,8.904824
0.722051,0.000249,0,10.695407
0.722311,2e-06,0,1.652682
0.722337,1.2e-05,0,9.261771
0.722368,0.000285,1,9.337074
0.730807,0.00204,0,10.0542
0.732858,1e-06,0,0.019403
0.732867,1e-06,0,0.002495
0.732888,8e-06,0,5.481543
0.782372,8e-06,0,5.481543
0.831833,0.007492,1,2.737261
0.93941,0.000309,0,8.622771
0.939802,0.000247,0,10.79521
0.940061,2e-06,0,1.814709
0.940089,1.2e-05,0,8.846336
0.940129,0.000296,1,9.004974
0.9728,0.000301,0,8.857507
0.973113,1e-06,0,0.019403
0.973122,1e-06,0,0.002495
0.973261,0.000294,0,9.056837
0.973603,2e-05,2,134.781817
0.97376,0.000295,0,9.041139
0.974081,1.9e-05,2,139.057033
0.974105,0.000286,1,9.312022
0.976611,0.000295,0,9.022531
0.976989,0.000247,0,10.795253
0.977248,2e-06,0,1.888779
0.977273,1.2e-05,0,8.916918
0.977305,0.000296,1,9.018624
0.987046,0.007649,0,10.724504
0.994709,2e-06,0,0.013696
0.994719,1e-06,0,0.002568
0.994753,1.8e-05,0,10.074024
1.175629,1.9e-05,0,9.747949
1.35665,0.029521,1,2.778759
1.486439,0.000303,0,8.787423
1.486828,0.000247,0,10.781281
1.487087,2e-06,0,1.888779
1.487113,1.2e-05,0,9.236257
1.487153,0.000292,1,9.140351
1.519515,0.0003,0,8.893444
1.519827,1e-06,0,0.019403
1.519836,1e-06,0,0.002568
1.519977,0.00029,0,9.188751
1.520316,1.9e-05,2,136.998623
1.520483,0.000298,0,8.959419
1.520807,1.9e-05,2,136.998623
1.520831,0.000284,1,9.386527
1.523195,0.000296,0,8.990395
1.523575,0.000249,0,10.720184
1.523835,2e-06,0,1.888779
1.523863,1.2e-05,0,8.989389
1.523896,0.000286,1,9.327631
1.533009,0.01716,0,10.755883
1.550183,2e-06,0,0.013696
1.550192,1e-06,0,0.002495
1.550257,3.9e-05,0,10.433228
1.950514,3.9e-05,0,10.492749
2.350754,0.067364,1,2.739888
2.521035,0.000296,0,9.014719
2.521414,0.000247,0,10.786822
2.521677,2e-06,0,1.888779
2.521705,1.2e-05,0,9.288231
2.521769,0.000293,1,9.085516
2.555716,0.000299,0,8.90771
2.556027,1e-06,0,0.019403
2.556037,1e-06,0,0.002568
2.556176,0.000289,0,9.218241
2.556531,2e-05,2,132.01155
2.556687,0.000294,0,9.060778
2.55701,1.9e-05,2,136.998623
2.557033,0.00028,1,9.521726
2.559901,0.000294,0,9.059823
2.560277,0.000246,0,10.816281
2.560534,2e-06,0,1.888779
2.56056,1.2e-05,0,9.261771
2.560591,0.000282,1,9.459011
2.569763,0.030345,0,10.813284
2.600123,2e-06,0,0.014255
2.600133,1e-06,0,0.002568
2.600235,6.8e-05,0,10.771068
3.316814,6.8e-05,0,10.765844
4.03323,0.122786,1,2.672337
4.257315,0.000307,0,8.69475
4.257706,0.000248,0,10.760346
4.257967,2e-06,0,1.888779
4.257993,1.2e-05,0,9.261771
4.258034,0.000297,1,8.972962
4.382287,0.000309,0,8.62545
4.382608,1e-06,0,0.018878
4.382617,1e-06,0,0.002568
4.382757,0.000299,0,8.926773
4.383106,2e-05,2,134.130697
4.383261,0.000307,0,8.672147
4.383595,2e-05,2,136.110157
4.38362,0.000282,1,9.452537
4.386004,0.000298,0,8.955596
4.386385,0.000247,0,10.803611
4.386643,2e-06,0,1.888779
4.386669,1.2e-05,0,9.16055
4.386705,0.000284,1,9.373818
4.396237,0.047396,0,10.817214
4.44365,2e-06,0,0.014255
4.443659,1e-06,0,0.002568
4.443794,0.000108,0,10.605907
5.574628,0.00011,0,10.429604
6.705271,0.18634,1,2.751399
6.995958,0.000302,0,8.824633
6.996346,0.000247,0,10.770128
6.996608,2e-06,0,1.888779
6.996636,1.2e-05,0,9.012799
6.996682,0.000292,1,9.135339
7.028992,0.0003,0,8.877331
7.029304,1e-06,0,0.019403
7.029314,1e-06,0,0.002568
7.02946,0.000278,0,9.572025
7.0298,2e-05,2,133.700101
7.029948,0.000285,0,9.359106
7.030259,1.9e-05,2,136.998623
7.030283,0.000286,1,9.319315
7.033189,0.000294,0,9.078554
7.033566,0.000249,0,10.706405
7.033826,2e-06,0,1.623687
7.033852,1.2e-05,0,9.210883
7.033886,0.000284,1,9.387552
7.042919,0.068346,0,10.802057
7.111283,2e-06,0,0.01397
7.111293,1e-06,0,0.002568
7.111418,0.000155,0,10.657922
