start,duration,threads_x,threads_y,threads_z
0.469542,9.3e-05,499200.0,1.0,1.0
0.486424,1.1e-05,499200.0,1.0,1.0
0.486899,1e-05,499200.0,1.0,1.0
0.489648,0.000107,499200.0,1.0,1.0
0.495032,0.003739,448.0,1.0,1.0
0.498797,0.003737,448.0,1.0,1.0
0.535102,9.6e-05,499200.0,1.0,1.0
0.550746,1.1e-05,499200.0,1.0,1.0
0.551118,1e-05,499200.0,1.0,1.0
0.553786,0.000107,499200.0,1.0,1.0
0.559872,0.014838,448.0,1.0,1.0
0.574738,0.014835,448.0,1.0,1.0
0.623768,9.7e-05,499200.0,1.0,1.0
0.637743,1.1e-05,499200.0,1.0,1.0
0.638108,1e-05,499200.0,1.0,1.0
0.640431,0.000107,499200.0,1.0,1.0
0.649989,0.059138,448.0,1.0,1.0
0.709169,0.05913,448.0,1.0,1.0
0.806627,9.7e-05,499200.0,1.0,1.0
0.820855,1.1e-05,499200.0,1.0,1.0
0.821219,1e-05,499200.0,1.0,1.0
0.823457,0.000108,499200.0,1.0,1.0
0.844955,0.235494,448.0,1.0,1.0
1.080534,0.235405,448.0,1.0,1.0
1.380341,9.7e-05,499200.0,1.0,1.0
1.394456,1.1e-05,499200.0,1.0,1.0
1.394847,9e-06,499200.0,1.0,1.0
1.397193,0.000107,499200.0,1.0,1.0
1.439576,0.533425,448.0,1.0,1.0
1.973308,0.53347,448.0,1.0,1.0
2.615502,9.8e-05,499200.0,1.0,1.0
2.630745,1.1e-05,499200.0,1.0,1.0
2.631148,1e-05,499200.0,1.0,1.0
2.633533,0.000108,499200.0,1.0,1.0
2.705105,0.940859,448.0,1.0,1.0
3.646205,0.940852,448.0,1.0,1.0
4.753972,9.7e-05,499200.0,1.0,1.0
4.769232,1.1e-05,499200.0,1.0,1.0
4.769608,1e-05,499200.0,1.0,1.0
4.772027,0.000107,499200.0,1.0,1.0
4.881685,1.514634,448.0,1.0,1.0
6.396667,1.514301,448.0,1.0,1.0
8.154857,9.7e-05,499200.0,1.0,1.0
8.169955,1.1e-05,499200.0,1.0,1.0
8.170332,9e-06,499200.0,1.0,1.0
8.172787,0.000108,499200.0,1.0,1.0
8.326973,2.132685,448.0,1.0,1.0
10.460144,2.133148,448.0,1.0,1.0
12.928965,9.7e-05,499200.0,1.0,1.0
12.943724,1.1e-05,499200.0,1.0,1.0
12.944104,1e-05,499200.0,1.0,1.0
12.946429,0.000108,499200.0,1.0,1.0
13.15498,2.896959,448.0,1.0,1.0
16.052853,2.894682,448.0,1.0,1.0
19.395058,9.6e-05,499200.0,1.0,1.0
19.410371,1.1e-05,499200.0,1.0,1.0
19.410768,1e-05,499200.0,1.0,1.0
19.413192,0.000108,499200.0,1.0,1.0
19.683818,3.748884,448.0,1.0,1.0
23.433534,3.748663,448.0,1.0,1.0
