start,duration,H2D,D2H,D2D,Throughput
0.471043,2e-06,1,0,0,83.066047
0.471104,3.9e-05,0,0,0,0
0.471164,2e-06,0,1,0,100.135803
0.472248,1e-06,1,0,0,92.954863
0.47228,3.9e-05,0,0,0,0
0.47233,2e-06,0,1,0,86.323968
0.473212,1e-06,1,0,0,90.793121
0.473239,3.9e-05,0,0,0,0
0.473288,2e-06,0,1,0,98.172356
0.474177,1e-06,1,0,0,90.793121
0.474205,3.9e-05,0,0,0,0
0.474254,2e-06,0,1,0,100.135803
0.475118,1e-06,1,0,0,90.793121
0.475147,3.9e-05,0,0,0,0
0.475196,2e-06,0,1,0,98.172356
0.475996,1e-06,1,0,0,90.793121
0.476022,3.9e-05,0,0,0,0
0.476071,2e-06,0,1,0,100.135803
0.476882,1e-06,1,0,0,178.813934
0.476909,3.9e-05,0,0,0,0
0.476966,2e-06,0,1,0,151.395798
0.47774,1e-06,1,0,0,178.813934
0.477768,4e-05,0,0,0,0
0.477823,2e-06,0,1,0,148.427252
0.478668,1e-06,1,0,0,178.813934
0.478695,3.9e-05,0,0,0,0
0.478751,2e-06,0,1,0,151.395798
0.479577,1e-06,1,0,0,178.813934
0.479605,3.9e-05,0,0,0,0
0.47966,2e-06,0,1,0,151.395798
0.480439,1e-06,1,0,0,178.813934
0.480466,3.9e-05,0,0,0,0
0.480522,2e-06,0,1,0,148.427252
0.481301,1e-06,1,0,0,178.813934
0.481329,3.9e-05,0,0,0,0
0.481384,2e-06,0,1,0,148.427252
0.482188,1e-06,1,0,0,355.548636
0.482217,4.1e-05,0,0,0,0
0.482274,2e-06,0,1,0,291.894303
0.483044,1e-06,1,0,0,355.807218
0.48307,4.1e-05,0,0,0,0
0.483126,2e-06,0,1,0,297.438864
0.483887,1e-06,1,0,0,364.01408
0.483913,4e-05,0,0,0,0
0.48397,2e-06,0,1,0,303.387642
0.484737,1e-06,1,0,0,355.548636
0.484765,4e-05,0,0,0,0
0.484821,2e-06,0,1,0,297.438864
0.485593,1e-06,1,0,0,347.467985
0.485619,4e-05,0,0,0,0
0.485676,2e-06,0,1,0,297.438864
0.486475,1e-06,1,0,0,355.548636
0.486502,4e-05,0,0,0,0
0.486559,2e-06,0,1,0,303.387642
0.48738,1e-06,1,0,0,44.356944
0.487407,2.8e-05,0,0,0,0
0.487445,2e-06,0,1,0,100.135803
0.48822,1e-06,1,0,0,45.413062
0.488247,2.8e-05,0,0,0,0
0.488285,2e-06,0,1,0,100.135803
0.489057,1e-06,1,0,0,44.356944
0.489085,2.8e-05,0,0,0,0
0.489123,2e-06,0,1,0,100.135803
0.48989,1e-06,1,0,0,44.356944
0.489916,2.8e-05,0,0,0,0
0.489959,2e-06,0,1,0,100.135803
0.490774,1e-06,1,0,0,45.413062
0.490801,2.8e-05,0,0,0,0
0.490839,2e-06,0,1,0,98.172356
0.491644,1e-06,1,0,0,44.356944
0.491671,2.8e-05,0,0,0,0
0.491709,2e-06,0,1,0,102.179391
0.492503,1e-06,1,0,0,88.020812
0.49253,2.8e-05,0,0,0,0
0.492582,2.7e-05,0,0,0,0
0.49262,2e-06,0,1,0,100.135803
0.493395,1e-06,1,0,0,88.020812
0.493421,2.8e-05,0,0,0,0
0.493473,2.8e-05,0,0,0,0
0.49351,2e-06,0,1,0,100.135803
0.494283,1e-06,1,0,0,88.020812
0.494311,2.8e-05,0,0,0,0
0.494364,2.8e-05,0,0,0,0
0.494401,2e-06,0,1,0,100.135803
0.495173,1e-06,1,0,0,88.020812
0.495199,2.8e-05,0,0,0,0
0.49525,2.8e-05,0,0,0,0
0.495287,2e-06,0,1,0,100.135803
0.496056,1e-06,1,0,0,88.020812
0.496083,2.8e-05,0,0,0,0
0.496135,2.7e-05,0,0,0,0
0.496172,2e-06,0,1,0,98.172356
0.496947,1e-06,1,0,0,88.020812
0.496974,2.8e-05,0,0,0,0
0.497025,2.8e-05,0,0,0,0
0.497063,2e-06,0,1,0,98.172356
0.497856,1e-06,1,0,0,176.041625
0.497882,2.9e-05,0,0,0,0
0.497935,3.8e-05,0,0,0,0
0.497984,2e-06,0,1,0,98.172356
0.498803,1e-06,1,0,0,176.041625
0.498831,2.9e-05,0,0,0,0
0.498885,3.8e-05,0,0,0,0
0.498934,2e-06,0,1,0,100.135803
0.499727,1e-06,1,0,0,180.233092
0.499753,2.9e-05,0,0,0,0
0.499806,3.9e-05,0,0,0,0
0.499855,2e-06,0,1,0,98.172356
0.500642,1e-06,1,0,0,180.233092
0.500668,2.9e-05,0,0,0,0
0.500723,3.9e-05,0,0,0,0
0.500771,2e-06,0,1,0,100.135803
0.501556,1e-06,1,0,0,176.041625
0.501583,2.9e-05,0,0,0,0
0.501637,3.8e-05,0,0,0,0
0.501685,2e-06,0,1,0,98.172356
0.502502,1e-06,1,0,0,180.233092
0.502529,2.9e-05,0,0,0,0
0.502582,3.8e-05,0,0,0,0
0.502631,2e-06,0,1,0,100.135803
0.503442,1e-06,1,0,0,86.634658
0.50347,3.8e-05,0,0,0,0
0.503518,2e-06,0,1,0,98.172356
0.504294,1e-06,1,0,0,86.634658
0.504321,3.8e-05,0,0,0,0
0.50437,2e-06,0,1,0,98.172356
0.505145,1e-06,1,0,0,88.697388
0.505171,3.8e-05,0,0,0,0
0.50522,2e-06,0,1,0,98.172356
0.505993,1e-06,1,0,0,86.634658
0.506021,3.9e-05,0,0,0,0
0.50607,2e-06,0,1,0,100.135803
0.506873,1e-06,1,0,0,88.697388
0.5069,3.9e-05,0,0,0,0
0.506953,2e-06,0,1,0,98.172356
0.507777,1e-06,1,0,0,88.697388
0.507804,3.9e-05,0,0,0,0
0.507852,2e-06,0,1,0,100.135803
0.508778,1e-06,1,0,0,178.813934
0.508808,3.9e-05,0,0,0,0
0.508874,2.8e-05,0,0,0,0
0.508912,2e-06,0,1,0,100.135803
0.509747,1e-06,1,0,0,174.65547
0.509773,3.9e-05,0,0,0,0
0.509836,2.7e-05,0,0,0,0
0.509873,2e-06,0,1,0,100.135803
0.510677,1e-06,1,0,0,174.65547
0.510702,3.9e-05,0,0,0,0
0.510765,2.7e-05,0,0,0,0
0.510804,2e-06,0,1,0,98.172356
0.511581,1e-06,1,0,0,174.65547
0.511607,3.9e-05,0,0,0,0
0.51167,2.7e-05,0,0,0,0
0.511707,2e-06,0,1,0,98.172356
0.512487,1e-06,1,0,0,174.65547
0.512512,3.9e-05,0,0,0,0
0.512576,2.7e-05,0,0,0,0
0.512613,2e-06,0,1,0,100.135803
0.513401,1e-06,1,0,0,174.65547
0.513429,3.9e-05,0,0,0,0
0.513492,2.7e-05,0,0,0,0
0.513529,2e-06,0,1,0,96.284426
0.514334,1e-06,1,0,0,245.545221
0.514362,4e-05,0,0,0,0
0.514425,2.8e-05,0,0,0,0
0.514474,2.7e-05,0,0,0,0
0.514511,2e-06,0,1,0,100.135803
0.515293,1e-06,1,0,0,262.676283
0.515319,4e-05,0,0,0,0
0.515382,2.8e-05,0,0,0,0
0.51543,2.8e-05,0,0,0,0
0.515468,2e-06,0,1,0,100.135803
0.516245,1e-06,1,0,0,262.676283
