==17734== NVPROF is profiling process 17734, command: ./alignedTypes 10 2>&1 > /dev/null
==17734== Profiling application: ./alignedTypes 10 2>&1 > /dev/null
==17734== Profiling result:
==17734== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"Tesla P100-PCIE-12GB (0)","void testKernel<RGBA32_misaligned>(RGBA32_misaligned*, RGBA32_misaligned*, int)",32,"l2_read_transactions","L2 Read Transactions",3125096,3125480,3125116
"Tesla P100-PCIE-12GB (0)","void testKernel<RGBA8>(RGBA8*, RGBA8*, int)",32,"l2_read_transactions","L2 Read Transactions",3125096,3125240,3125102
"Tesla P100-PCIE-12GB (0)","void testKernel<RGBA8_misaligned>(RGBA8_misaligned*, RGBA8_misaligned*, int)",32,"l2_read_transactions","L2 Read Transactions",3125096,3125240,3125102
"Tesla P100-PCIE-12GB (0)","void testKernel<LA32>(LA32*, LA32*, int)",32,"l2_read_transactions","L2 Read Transactions",3125096,3125360,3125108
"Tesla P100-PCIE-12GB (0)","void testKernel<RGB32_misaligned>(RGB32_misaligned*, RGB32_misaligned*, int)",32,"l2_read_transactions","L2 Read Transactions",3125096,3125384,3125116
"Tesla P100-PCIE-12GB (0)","void testKernel<RGBA32_2>(RGBA32_2*, RGBA32_2*, int)",32,"l2_read_transactions","L2 Read Transactions",3125096,3125560,3125128
"Tesla P100-PCIE-12GB (0)","void testKernel<unsigned short>(unsigned short*, unsigned short*, int)",32,"l2_read_transactions","L2 Read Transactions",3125096,3125792,3125154
"Tesla P100-PCIE-12GB (0)","void testKernel<unsigned int>(unsigned int*, unsigned int*, int)",32,"l2_read_transactions","L2 Read Transactions",3125096,3125592,3125141
"Tesla P100-PCIE-12GB (0)","void testKernel<RGBA32>(RGBA32*, RGBA32*, int)",32,"l2_read_transactions","L2 Read Transactions",3125096,3125240,3125107
"Tesla P100-PCIE-12GB (0)","void testKernel<unsigned char>(unsigned char*, unsigned char*, int)",32,"l2_read_transactions","L2 Read Transactions",3125096,3125512,3125158
"Tesla P100-PCIE-12GB (0)","void testKernel<RGB32>(RGB32*, RGB32*, int)",32,"l2_read_transactions","L2 Read Transactions",3125096,3125384,3125111
"Tesla P100-PCIE-12GB (0)","void testKernel<LA32_misaligned>(LA32_misaligned*, LA32_misaligned*, int)",32,"l2_read_transactions","L2 Read Transactions",3125096,3125512,3125127
