power,memory Used,u_gpu,u_memory
19.93,6.0,0.0,0.0
20.32,17.0,0.0,0.0
20.03,17.0,0.0,0.0
25.83,24.0,0.0,0.0
19.93,6.0,0.0,0.0
22.06,17.0,0.0,0.0
20.23,17.0,0.0,0.0
20.12,17.0,0.0,0.0
74.15,304.0,8.0,0.0
22.06,17.0,0.0,0.0
20.03,17.0,0.0,0.0
25.83,24.0,0.0,0.0
19.93,6.0,0.0,0.0
20.32,17.0,0.0,0.0
20.03,17.0,0.0,0.0
25.83,24.0,0.0,0.0
19.93,6.0,0.0,0.0
20.32,17.0,0.0,0.0
20.03,17.0,0.0,0.0
25.83,24.0,0.0,0.0
19.93,6.0,0.0,0.0
20.32,17.0,0.0,0.0
20.03,17.0,0.0,0.0
25.83,24.0,0.0,0.0
19.93,6.0,0.0,0.0
20.32,17.0,0.0,0.0
20.03,17.0,0.0,0.0
25.83,24.0,0.0,0.0
19.93,6.0,0.0,0.0
20.23,17.0,0.0,0.0
20.12,17.0,0.0,0.0
74.15,304.0,8.0,0.0
22.06,17.0,0.0,0.0
20.23,17.0,0.0,0.0
20.12,17.0,0.0,0.0
74.15,304.0,8.0,0.0
22.06,17.0,0.0,0.0
20.23,17.0,0.0,0.0
20.12,17.0,0.0,0.0
74.15,304.0,8.0,0.0
22.06,17.0,0.0,0.0
20.23,17.0,0.0,0.0
20.12,17.0,0.0,0.0
74.15,304.0,8.0,0.0
22.06,17.0,0.0,0.0
20.23,17.0,0.0,0.0
20.12,17.0,0.0,0.0
74.15,304.0,8.0,0.0
22.06,17.0,0.0,0.0
20.03,17.0,0.0,0.0
25.83,24.0,0.0,0.0
19.93,6.0,0.0,0.0
20.32,17.0,0.0,0.0
20.03,17.0,0.0,0.0
25.83,24.0,0.0,0.0
19.93,6.0,0.0,0.0
20.32,17.0,0.0,0.0
20.03,17.0,0.0,0.0
25.83,24.0,0.0,0.0
19.93,6.0,0.0,0.0
20.32,17.0,0.0,0.0
20.03,17.0,0.0,0.0
25.83,24.0,0.0,0.0
19.93,6.0,0.0,0.0
20.32,17.0,0.0,0.0
20.03,17.0,0.0,0.0
25.83,24.0,0.0,0.0
19.93,6.0,0.0,0.0
20.23,17.0,0.0,0.0
20.12,17.0,0.0,0.0
74.15,304.0,8.0,0.0
22.06,17.0,0.0,0.0
20.23,17.0,0.0,0.0
20.12,17.0,0.0,0.0
