time,power,memory Used,u_gpu,u_memory
0.0,19.93,6.0,0.0,0.0
0.09846392273902893,26.12,233.0,1.0,0.0
0.19692784547805786,82.89,233.0,1.0,0.0
0.2953917682170868,82.57,233.0,54.0,20.0
0.3938556909561157,77.96,233.0,54.0,20.0
0.49231961369514465,73.66,233.0,35.0,16.0
0.5907835364341736,94.74,233.0,31.0,16.0
0.6892474591732025,100.08,233.0,31.0,16.0
0.7877113819122314,96.64,233.0,41.0,26.0
0.8861753046512604,101.53,233.0,41.0,26.0
0.9846392273902893,95.86,233.0,55.0,38.0
1.0831031501293182,94.16,233.0,46.0,33.0
1.1815670728683472,83.05,233.0,46.0,33.0
1.280030995607376,89.17,233.0,43.0,33.0
1.378494918346405,74.13,233.0,43.0,33.0
1.476958841085434,76.8,157.0,46.0,34.0
1.6738866865634918,19.93,6.0,0.0,0.0
1.7723506093025208,26.12,233.0,1.0,0.0
1.8708145320415497,82.89,233.0,1.0,0.0
1.9692784547805786,82.57,233.0,54.0,20.0
2.0677423775196075,77.96,233.0,54.0,20.0
2.1662063002586365,73.66,233.0,35.0,16.0
2.2646702229976654,94.74,233.0,31.0,16.0
2.3631341457366943,100.08,233.0,31.0,16.0
2.4615980684757233,96.64,233.0,41.0,26.0
2.560061991214752,101.53,233.0,41.0,26.0
2.658525913953781,95.86,233.0,55.0,38.0
2.75698983669281,94.16,233.0,46.0,33.0
2.855453759431839,83.05,233.0,46.0,33.0
2.953917682170868,89.17,233.0,43.0,33.0
3.052381604909897,74.13,233.0,43.0,33.0
3.150845527648926,76.8,157.0,46.0,34.0
3.2493094503879547,19.93,6.0,0.0,0.0
3.3477733731269836,26.12,233.0,1.0,0.0
3.4462372958660126,82.89,233.0,1.0,0.0
3.5447012186050415,82.57,233.0,54.0,20.0
3.6431651413440704,77.96,233.0,54.0,20.0
3.7416290640830994,73.66,233.0,35.0,16.0
3.8400929868221283,94.74,233.0,31.0,16.0
3.9385569095611572,100.08,233.0,31.0,16.0
4.037020832300186,96.64,233.0,41.0,26.0
4.135484755039215,101.53,233.0,41.0,26.0
4.233948677778244,95.86,233.0,55.0,38.0
4.332412600517273,94.16,233.0,46.0,33.0
4.430876523256302,83.05,233.0,46.0,33.0
4.529340445995331,89.17,233.0,43.0,33.0
4.62780436873436,74.13,233.0,43.0,33.0
4.726268291473389,76.8,157.0,46.0,34.0
4.824732214212418,19.93,6.0,0.0,0.0
4.9231961369514465,26.12,233.0,1.0,0.0
5.0216600596904755,82.89,233.0,1.0,0.0
5.120123982429504,82.57,233.0,54.0,20.0
5.218587905168533,77.96,233.0,54.0,20.0
5.317051827907562,73.66,233.0,35.0,16.0
5.415515750646591,94.74,233.0,31.0,16.0
5.51397967338562,100.08,233.0,31.0,16.0
5.612443596124649,96.64,233.0,41.0,26.0
5.710907518863678,101.53,233.0,41.0,26.0
5.809371441602707,95.86,233.0,55.0,38.0
5.907835364341736,94.16,233.0,46.0,33.0
6.006299287080765,83.05,233.0,46.0,33.0
6.104763209819794,89.17,233.0,43.0,33.0
6.203227132558823,74.13,233.0,43.0,33.0
6.301691055297852,76.8,157.0,46.0,34.0
6.4001549780368805,19.93,6.0,0.0,0.0
6.498618900775909,26.12,233.0,1.0,0.0
