power,memory Used,u_gpu,u_memory
19.93,6.0,0.0,0.0
34.9,80.0,0.0,0.0
61.26,350.0,11.0,0.0
61.26,367.0,0.0,0.0
62.91,400.0,55.0,1.0
64.12,6.0,11.0,1.0
19.93,6.0,0.0,0.0
34.9,80.0,0.0,0.0
61.26,350.0,11.0,0.0
61.26,367.0,0.0,0.0
70.21,383.0,54.0,2.0
61.84,411.0,55.0,1.0
20.03,7.0,0.0,0.0
58.0,101.0,1.0,0.0
61.26,350.0,11.0,0.0
68.96,383.0,0.0,0.0
62.91,400.0,55.0,1.0
64.12,6.0,11.0,1.0
20.03,7.0,0.0,0.0
58.0,101.0,1.0,0.0
61.26,367.0,0.0,0.0
70.21,383.0,54.0,2.0
61.84,411.0,55.0,1.0
19.93,6.0,0.0,0.0
34.9,80.0,0.0,0.0
61.26,350.0,11.0,0.0
61.26,367.0,0.0,0.0
62.91,400.0,55.0,1.0
64.12,6.0,11.0,1.0
20.03,7.0,0.0,0.0
58.0,101.0,1.0,0.0
61.26,350.0,11.0,0.0
68.96,383.0,0.0,0.0
62.91,400.0,55.0,1.0
64.12,6.0,11.0,1.0
34.9,80.0,0.0,0.0
61.26,350.0,11.0,0.0
61.26,367.0,0.0,0.0
70.21,383.0,54.0,2.0
61.84,411.0,55.0,1.0
19.93,6.0,0.0,0.0
34.9,80.0,0.0,0.0
61.26,350.0,11.0,0.0
68.96,383.0,0.0,0.0
62.91,400.0,55.0,1.0
64.12,6.0,11.0,1.0
20.03,7.0,0.0,0.0
58.0,101.0,1.0,0.0
61.26,350.0,11.0,0.0
68.96,383.0,0.0,0.0
61.84,411.0,55.0,1.0
19.93,6.0,0.0,0.0
34.9,80.0,0.0,0.0
61.26,350.0,11.0,0.0
61.26,367.0,0.0,0.0
70.21,383.0,54.0,2.0
61.84,411.0,55.0,1.0
19.93,6.0,0.0,0.0
58.0,101.0,1.0,0.0
61.26,350.0,11.0,0.0
68.96,383.0,0.0,0.0
62.91,400.0,55.0,1.0
64.12,6.0,11.0,1.0
20.03,7.0,0.0,0.0
58.0,101.0,1.0,0.0
61.26,367.0,0.0,0.0
70.21,383.0,54.0,2.0
61.84,411.0,55.0,1.0
19.93,6.0,0.0,0.0
34.9,80.0,0.0,0.0
61.26,350.0,11.0,0.0
61.26,367.0,0.0,0.0
70.21,383.0,54.0,2.0
64.12,6.0,11.0,1.0
20.03,7.0,0.0,0.0
58.0,101.0,1.0,0.0
61.26,350.0,11.0,0.0
68.96,383.0,0.0,0.0
62.91,400.0,55.0,1.0
64.12,6.0,11.0,1.0
34.9,80.0,0.0,0.0
61.26,350.0,11.0,0.0
61.26,367.0,0.0,0.0
70.21,383.0,54.0,2.0
61.84,411.0,55.0,1.0
19.93,6.0,0.0,0.0
34.9,80.0,0.0,0.0
61.26,350.0,11.0,0.0
68.96,383.0,0.0,0.0
62.91,400.0,55.0,1.0
64.12,6.0,11.0,1.0
20.03,7.0,0.0,0.0
58.0,101.0,1.0,0.0
61.26,350.0,11.0,0.0
68.96,383.0,0.0,0.0
62.91,400.0,55.0,1.0
19.93,6.0,0.0,0.0
34.9,80.0,0.0,0.0
61.26,350.0,11.0,0.0
61.26,367.0,0.0,0.0
70.21,383.0,54.0,2.0
61.84,411.0,55.0,1.0
19.93,6.0,0.0,0.0
58.0,101.0,1.0,0.0
61.26,350.0,11.0,0.0
68.96,383.0,0.0,0.0
62.91,400.0,55.0,1.0
64.12,6.0,11.0,1.0
20.03,7.0,0.0,0.0
58.0,101.0,1.0,0.0
61.26,350.0,11.0,0.0
70.21,383.0,54.0,2.0
61.84,411.0,55.0,1.0
19.93,6.0,0.0,0.0
34.9,80.0,0.0,0.0
61.26,350.0,11.0,0.0
61.26,367.0,0.0,0.0
70.21,383.0,54.0,2.0
64.12,6.0,11.0,1.0
20.03,7.0,0.0,0.0
58.0,101.0,1.0,0.0
61.26,350.0,11.0,0.0
68.96,383.0,0.0,0.0
62.91,400.0,55.0,1.0
64.12,6.0,11.0,1.0
20.03,7.0,0.0,0.0
61.26,350.0,11.0,0.0
61.26,367.0,0.0,0.0
70.21,383.0,54.0,2.0
61.84,411.0,55.0,1.0
19.93,6.0,0.0,0.0
34.9,80.0,0.0,0.0
61.26,350.0,11.0,0.0
61.26,367.0,0.0,0.0
62.91,400.0,55.0,1.0
64.12,6.0,11.0,1.0
20.03,7.0,0.0,0.0
58.0,101.0,1.0,0.0
61.26,350.0,11.0,0.0
68.96,383.0,0.0,0.0
62.91,400.0,55.0,1.0
19.93,6.0,0.0,0.0
34.9,80.0,0.0,0.0
61.26,350.0,11.0,0.0
61.26,367.0,0.0,0.0
70.21,383.0,54.0,2.0
61.84,411.0,55.0,1.0
19.93,6.0,0.0,0.0
34.9,80.0,0.0,0.0
61.26,350.0,11.0,0.0
68.96,383.0,0.0,0.0
62.91,400.0,55.0,1.0
64.12,6.0,11.0,1.0
20.03,7.0,0.0,0.0
58.0,101.0,1.0,0.0
61.26,350.0,11.0,0.0
70.21,383.0,54.0,2.0
61.84,411.0,55.0,1.0
19.93,6.0,0.0,0.0
34.9,80.0,0.0,0.0
61.26,350.0,11.0,0.0
61.26,367.0,0.0,0.0
70.21,383.0,54.0,2.0
61.84,411.0,55.0,1.0
20.03,7.0,0.0,0.0
58.0,101.0,1.0,0.0
61.26,350.0,11.0,0.0
68.96,383.0,0.0,0.0
62.91,400.0,55.0,1.0
64.12,6.0,11.0,1.0
20.03,7.0,0.0,0.0
58.0,101.0,1.0,0.0
61.26,367.0,0.0,0.0
70.21,383.0,54.0,2.0
61.84,411.0,55.0,1.0
19.93,6.0,0.0,0.0
34.9,80.0,0.0,0.0
61.26,350.0,11.0,0.0
61.26,367.0,0.0,0.0
62.91,400.0,55.0,1.0
64.12,6.0,11.0,1.0
20.03,7.0,0.0,0.0
58.0,101.0,1.0,0.0
61.26,350.0,11.0,0.0
68.96,383.0,0.0,0.0
62.91,400.0,55.0,1.0
64.12,6.0,11.0,1.0
34.9,80.0,0.0,0.0
61.26,350.0,11.0,0.0
61.26,367.0,0.0,0.0
70.21,383.0,54.0,2.0
61.84,411.0,55.0,1.0
19.93,6.0,0.0,0.0
34.9,80.0,0.0,0.0
61.26,350.0,11.0,0.0
68.96,383.0,0.0,0.0
62.91,400.0,55.0,1.0
64.12,6.0,11.0,1.0
20.03,7.0,0.0,0.0
58.0,101.0,1.0,0.0
61.26,350.0,11.0,0.0
68.96,383.0,0.0,0.0
61.84,411.0,55.0,1.0
19.93,6.0,0.0,0.0
34.9,80.0,0.0,0.0
61.26,350.0,11.0,0.0
61.26,367.0,0.0,0.0
70.21,383.0,54.0,2.0
61.84,411.0,55.0,1.0
19.93,6.0,0.0,0.0
58.0,101.0,1.0,0.0
61.26,350.0,11.0,0.0
68.96,383.0,0.0,0.0
62.91,400.0,55.0,1.0
64.12,6.0,11.0,1.0
20.03,7.0,0.0,0.0
58.0,101.0,1.0,0.0
61.26,367.0,0.0,0.0
70.21,383.0,54.0,2.0
61.84,411.0,55.0,1.0
19.93,6.0,0.0,0.0
34.9,80.0,0.0,0.0
61.26,350.0,11.0,0.0
61.26,367.0,0.0,0.0
70.21,383.0,54.0,2.0
64.12,6.0,11.0,1.0
20.03,7.0,0.0,0.0
58.0,101.0,1.0,0.0
61.26,350.0,11.0,0.0
68.96,383.0,0.0,0.0
62.91,400.0,55.0,1.0
64.12,6.0,11.0,1.0
20.03,7.0,0.0,0.0
61.26,350.0,11.0,0.0
61.26,367.0,0.0,0.0
70.21,383.0,54.0,2.0
61.84,411.0,55.0,1.0
19.93,6.0,0.0,0.0
34.9,80.0,0.0,0.0
61.26,350.0,11.0,0.0
68.96,383.0,0.0,0.0
62.91,400.0,55.0,1.0
64.12,6.0,11.0,1.0
20.03,7.0,0.0,0.0
58.0,101.0,1.0,0.0
61.26,350.0,11.0,0.0
68.96,383.0,0.0,0.0
62.91,400.0,55.0,1.0
19.93,6.0,0.0,0.0
34.9,80.0,0.0,0.0
61.26,350.0,11.0,0.0
61.26,367.0,0.0,0.0
70.21,383.0,54.0,2.0
61.84,411.0,55.0,1.0
19.93,6.0,0.0,0.0
58.0,101.0,1.0,0.0
61.26,350.0,11.0,0.0
68.96,383.0,0.0,0.0
62.91,400.0,55.0,1.0
64.12,6.0,11.0,1.0
20.03,7.0,0.0,0.0
58.0,101.0,1.0,0.0
61.26,350.0,11.0,0.0
70.21,383.0,54.0,2.0
61.84,411.0,55.0,1.0
19.93,6.0,0.0,0.0
34.9,80.0,0.0,0.0
61.26,350.0,11.0,0.0
61.26,367.0,0.0,0.0
70.21,383.0,54.0,2.0
61.84,411.0,55.0,1.0
20.03,7.0,0.0,0.0
58.0,101.0,1.0,0.0
61.26,350.0,11.0,0.0
68.96,383.0,0.0,0.0
62.91,400.0,55.0,1.0
64.12,6.0,11.0,1.0
20.03,7.0,0.0,0.0
61.26,350.0,11.0,0.0
61.26,367.0,0.0,0.0
70.21,383.0,54.0,2.0
61.84,411.0,55.0,1.0
19.93,6.0,0.0,0.0
34.9,80.0,0.0,0.0
61.26,350.0,11.0,0.0
61.26,367.0,0.0,0.0
