time,power,memory Used,u_gpu,u_memory
0.0,19.84,6.0,0.0,0.0
0.09226338863372803,25.54,80.0,0.0,0.0
0.18452677726745606,56.74,99.0,1.0,0.0
0.2767901659011841,61.46,350.0,1.0,0.0
0.3690535545349121,61.26,350.0,12.0,0.0
0.46131694316864014,61.26,350.0,12.0,0.0
0.5535803318023682,67.99,383.0,0.0,0.0
0.6458437204360963,70.21,383.0,82.0,2.0
0.7381071090698244,63.86,412.0,82.0,2.0
0.8303704977035524,64.32,6.0,36.0,1.0
1.0148972749710086,19.84,6.0,0.0,0.0
1.1071606636047366,25.54,80.0,0.0,0.0
1.1994240522384647,56.74,99.0,1.0,0.0
1.2916874408721928,61.46,350.0,1.0,0.0
1.3839508295059209,61.26,350.0,12.0,0.0
1.476214218139649,61.26,350.0,12.0,0.0
1.568477606773377,67.99,383.0,0.0,0.0
1.660740995407105,70.21,383.0,82.0,2.0
1.7530043840408331,63.86,412.0,82.0,2.0
1.8452677726745612,64.32,6.0,36.0,1.0
1.9375311613082893,19.84,6.0,0.0,0.0
2.029794549942017,25.54,80.0,0.0,0.0
2.122057938575745,56.74,99.0,1.0,0.0
2.214321327209473,61.46,350.0,1.0,0.0
2.3065847158432007,61.26,350.0,12.0,0.0
2.3988481044769285,61.26,350.0,12.0,0.0
2.4911114931106564,67.99,383.0,0.0,0.0
2.5833748817443842,70.21,383.0,82.0,2.0
2.675638270378112,63.86,412.0,82.0,2.0
2.76790165901184,64.32,6.0,36.0,1.0
2.860165047645568,19.84,6.0,0.0,0.0
2.9524284362792956,25.54,80.0,0.0,0.0
3.0446918249130235,56.74,99.0,1.0,0.0
3.1369552135467513,61.46,350.0,1.0,0.0
3.229218602180479,61.26,350.0,12.0,0.0
3.321481990814207,61.26,350.0,12.0,0.0
3.413745379447935,67.99,383.0,0.0,0.0
3.5060087680816627,70.21,383.0,82.0,2.0
3.5982721567153906,63.86,412.0,82.0,2.0
3.6905355453491184,64.32,6.0,36.0,1.0
3.7827989339828463,19.84,6.0,0.0,0.0
3.875062322616574,25.54,80.0,0.0,0.0
3.967325711250302,56.74,99.0,1.0,0.0
4.05958909988403,61.46,350.0,1.0,0.0
4.151852488517758,61.26,350.0,12.0,0.0
4.2441158771514855,61.26,350.0,12.0,0.0
4.336379265785213,67.99,383.0,0.0,0.0
4.428642654418941,70.21,383.0,82.0,2.0
4.520906043052669,63.86,412.0,82.0,2.0
4.613169431686397,64.32,6.0,36.0,1.0
4.705432820320125,19.84,6.0,0.0,0.0
4.797696208953853,25.54,80.0,0.0,0.0
4.8899595975875805,56.74,99.0,1.0,0.0
4.982222986221308,61.46,350.0,1.0,0.0
5.074486374855036,61.26,350.0,12.0,0.0
5.166749763488764,61.26,350.0,12.0,0.0
5.259013152122492,67.99,383.0,0.0,0.0
5.35127654075622,70.21,383.0,82.0,2.0
5.443539929389948,63.86,412.0,82.0,2.0
5.535803318023675,64.32,6.0,36.0,1.0
5.628066706657403,19.84,6.0,0.0,0.0
5.720330095291131,25.54,80.0,0.0,0.0
5.812593483924859,56.74,99.0,1.0,0.0
5.904856872558587,61.46,350.0,1.0,0.0
5.997120261192315,61.26,350.0,12.0,0.0
6.0893836498260425,61.26,350.0,12.0,0.0
6.18164703845977,67.99,383.0,0.0,0.0
6.273910427093498,70.21,383.0,82.0,2.0
6.366173815727226,63.86,412.0,82.0,2.0
