power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
19.84 W, 6 MiB, 0 %, 0 %
26.41 W, 19 MiB, 0 %, 0 %
95.28 W, 160 MiB, 0 %, 0 %
113.97 W, 160 MiB, 51 %, 21 %
115.95 W, 160 MiB, 100 %, 48 %
116.24 W, 160 MiB, 100 %, 48 %
116.43 W, 160 MiB, 100 %, 48 %
116.43 W, 160 MiB, 100 %, 48 %
116.43 W, 160 MiB, 100 %, 48 %
116.43 W, 160 MiB, 100 %, 48 %
116.33 W, 160 MiB, 100 %, 48 %
116.33 W, 160 MiB, 100 %, 48 %
116.43 W, 160 MiB, 100 %, 48 %
116.24 W, 160 MiB, 100 %, 48 %
116.14 W, 160 MiB, 100 %, 48 %
116.14 W, 160 MiB, 100 %, 48 %
115.95 W, 160 MiB, 100 %, 48 %
115.85 W, 160 MiB, 100 %, 48 %
115.76 W, 160 MiB, 100 %, 48 %
115.47 W, 160 MiB, 100 %, 48 %
115.38 W, 160 MiB, 100 %, 48 %
115.08 W, 160 MiB, 100 %, 47 %
115.19 W, 160 MiB, 100 %, 47 %
114.99 W, 160 MiB, 100 %, 47 %
114.81 W, 160 MiB, 100 %, 47 %
114.60 W, 160 MiB, 100 %, 47 %
114.23 W, 160 MiB, 100 %, 47 %
114.13 W, 160 MiB, 100 %, 47 %
113.97 W, 160 MiB, 100 %, 47 %
113.62 W, 160 MiB, 100 %, 47 %
113.53 W, 160 MiB, 100 %, 47 %
113.24 W, 160 MiB, 100 %, 46 %
112.85 W, 160 MiB, 100 %, 46 %
112.76 W, 160 MiB, 100 %, 46 %
112.57 W, 160 MiB, 100 %, 46 %
112.37 W, 160 MiB, 100 %, 46 %
112.28 W, 160 MiB, 100 %, 46 %
112.08 W, 160 MiB, 100 %, 46 %
111.89 W, 160 MiB, 100 %, 45 %
111.51 W, 160 MiB, 100 %, 45 %
111.32 W, 160 MiB, 100 %, 45 %
111.03 W, 160 MiB, 100 %, 45 %
110.64 W, 160 MiB, 100 %, 45 %
110.26 W, 160 MiB, 100 %, 43 %
110.06 W, 160 MiB, 100 %, 43 %
109.87 W, 160 MiB, 100 %, 42 %
109.61 W, 160 MiB, 100 %, 42 %
109.13 W, 160 MiB, 100 %, 45 %
108.94 W, 160 MiB, 100 %, 40 %
108.65 W, 160 MiB, 100 %, 40 %
108.36 W, 160 MiB, 100 %, 40 %
107.78 W, 160 MiB, 100 %, 40 %
107.40 W, 160 MiB, 100 %, 42 %
107.01 W, 160 MiB, 100 %, 38 %
106.53 W, 160 MiB, 100 %, 38 %
