power,memory Used,u_gpu,u_memory
20.13,6.0,0.0,0.0
95.7,82.0,0.0,0.0
118.01,82.0,100.0,0.0
118.86,82.0,100.0,0.0
119.44,82.0,100.0,0.0
118.67,82.0,100.0,0.0
118.3,82.0,100.0,0.0
119.15,82.0,100.0,0.0
119.92,82.0,100.0,0.0
118.59,82.0,100.0,0.0
119.34,82.0,100.0,0.0
119.73,82.0,100.0,0.0
118.19,82.0,100.0,0.0
118.5,82.0,100.0,0.0
20.13,6.0,0.0,0.0
22.84,19.0,0.0,0.0
115.36,82.0,53.0,0.0
117.72,82.0,100.0,0.0
118.67,82.0,100.0,0.0
119.54,82.0,100.0,0.0
118.96,82.0,100.0,0.0
119.15,82.0,100.0,0.0
119.82,82.0,100.0,0.0
118.28,82.0,100.0,0.0
118.5,82.0,100.0,0.0
119.34,82.0,100.0,0.0
118.09,82.0,100.0,0.0
118.57,82.0,100.0,0.0
119.34,82.0,100.0,0.0
22.84,19.0,0.0,0.0
115.36,82.0,53.0,0.0
117.72,82.0,100.0,0.0
118.67,82.0,100.0,0.0
119.54,82.0,100.0,0.0
118.96,82.0,100.0,0.0
119.15,82.0,100.0,0.0
119.82,82.0,100.0,0.0
118.28,82.0,100.0,0.0
118.5,82.0,100.0,0.0
119.34,82.0,100.0,0.0
118.09,82.0,100.0,0.0
118.57,82.0,100.0,0.0
119.34,82.0,100.0,0.0
22.84,19.0,0.0,0.0
115.36,82.0,53.0,0.0
117.72,82.0,100.0,0.0
118.67,82.0,100.0,0.0
119.54,82.0,100.0,0.0
118.96,82.0,100.0,0.0
119.15,82.0,100.0,0.0
119.82,82.0,100.0,0.0
118.28,82.0,100.0,0.0
118.5,82.0,100.0,0.0
119.34,82.0,100.0,0.0
118.09,82.0,100.0,0.0
118.57,82.0,100.0,0.0
119.34,82.0,100.0,0.0
22.84,19.0,0.0,0.0
115.36,82.0,53.0,0.0
117.72,82.0,100.0,0.0
118.67,82.0,100.0,0.0
119.54,82.0,100.0,0.0
118.96,82.0,100.0,0.0
119.15,82.0,100.0,0.0
119.82,82.0,100.0,0.0
118.28,82.0,100.0,0.0
118.5,82.0,100.0,0.0
119.34,82.0,100.0,0.0
118.09,82.0,100.0,0.0
118.57,82.0,100.0,0.0
119.34,82.0,100.0,0.0
22.84,19.0,0.0,0.0
115.36,82.0,53.0,0.0
117.72,82.0,100.0,0.0
118.67,82.0,100.0,0.0
119.54,82.0,100.0,0.0
118.96,82.0,100.0,0.0
119.15,82.0,100.0,0.0
119.92,82.0,100.0,0.0
118.59,82.0,100.0,0.0
119.34,82.0,100.0,0.0
119.73,82.0,100.0,0.0
118.19,82.0,100.0,0.0
118.5,82.0,100.0,0.0
20.13,6.0,0.0,0.0
95.7,82.0,0.0,0.0
118.01,82.0,100.0,0.0
118.86,82.0,100.0,0.0
119.44,82.0,100.0,0.0
118.67,82.0,100.0,0.0
118.3,82.0,100.0,0.0
119.15,82.0,100.0,0.0
119.92,82.0,100.0,0.0
118.59,82.0,100.0,0.0
119.34,82.0,100.0,0.0
119.73,82.0,100.0,0.0
118.19,82.0,100.0,0.0
118.5,82.0,100.0,0.0
20.13,6.0,0.0,0.0
95.7,82.0,0.0,0.0
118.01,82.0,100.0,0.0
118.86,82.0,100.0,0.0
119.44,82.0,100.0,0.0
118.67,82.0,100.0,0.0
118.3,82.0,100.0,0.0
119.15,82.0,100.0,0.0
119.92,82.0,100.0,0.0
118.59,82.0,100.0,0.0
119.34,82.0,100.0,0.0
119.73,82.0,100.0,0.0
118.19,82.0,100.0,0.0
118.5,82.0,100.0,0.0
20.13,6.0,0.0,0.0
95.7,82.0,0.0,0.0
118.01,82.0,100.0,0.0
118.86,82.0,100.0,0.0
119.44,82.0,100.0,0.0
118.67,82.0,100.0,0.0
118.3,82.0,100.0,0.0
119.15,82.0,100.0,0.0
119.92,82.0,100.0,0.0
118.59,82.0,100.0,0.0
119.34,82.0,100.0,0.0
119.73,82.0,100.0,0.0
118.19,82.0,100.0,0.0
