power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
20.23 W, 6 MiB, 0 %, 0 %
20.13 W, 6 MiB, 0 %, 0 %
20.13 W, 6 MiB, 0 %, 0 %
20.03 W, 6 MiB, 0 %, 0 %
20.12 W, 6 MiB, 0 %, 0 %
20.12 W, 6 MiB, 0 %, 0 %
20.03 W, 6 MiB, 0 %, 0 %
20.23 W, 6 MiB, 0 %, 0 %
20.13 W, 6 MiB, 0 %, 0 %
20.03 W, 6 MiB, 0 %, 0 %
20.22 W, 6 MiB, 0 %, 0 %
20.12 W, 6 MiB, 0 %, 0 %
20.13 W, 6 MiB, 0 %, 0 %
20.13 W, 6 MiB, 0 %, 0 %
21.29 W, 9 MiB, 0 %, 0 %
74.25 W, 150 MiB, 3 %, 0 %
117.46 W, 150 MiB, 3 %, 0 %
124.41 W, 150 MiB, 99 %, 43 %
124.83 W, 150 MiB, 99 %, 43 %
124.54 W, 150 MiB, 99 %, 44 %
123.83 W, 150 MiB, 99 %, 43 %
123.58 W, 150 MiB, 99 %, 43 %
123.01 W, 150 MiB, 99 %, 42 %
122.52 W, 150 MiB, 99 %, 42 %
121.78 W, 150 MiB, 99 %, 41 %
121.01 W, 150 MiB, 99 %, 41 %
120.15 W, 150 MiB, 99 %, 41 %
119.28 W, 150 MiB, 99 %, 39 %
118.71 W, 150 MiB, 99 %, 39 %
117.67 W, 150 MiB, 99 %, 37 %
116.51 W, 150 MiB, 99 %, 36 %
115.94 W, 150 MiB, 99 %, 36 %
114.92 W, 150 MiB, 99 %, 35 %
113.96 W, 150 MiB, 99 %, 35 %
112.90 W, 150 MiB, 99 %, 33 %
111.55 W, 150 MiB, 99 %, 32 %
110.34 W, 150 MiB, 99 %, 32 %
109.75 W, 150 MiB, 99 %, 30 %
108.59 W, 150 MiB, 99 %, 30 %
107.35 W, 150 MiB, 99 %, 29 %
106.29 W, 150 MiB, 99 %, 29 %
105.39 W, 150 MiB, 99 %, 28 %
104.33 W, 150 MiB, 99 %, 26 %
103.17 W, 150 MiB, 99 %, 26 %
102.31 W, 150 MiB, 99 %, 24 %
101.46 W, 150 MiB, 99 %, 24 %
100.11 W, 150 MiB, 99 %, 23 %
98.86 W, 150 MiB, 99 %, 21 %
97.51 W, 150 MiB, 99 %, 21 %
96.45 W, 150 MiB, 99 %, 19 %
95.32 W, 150 MiB, 99 %, 19 %
94.00 W, 150 MiB, 99 %, 18 %
92.65 W, 150 MiB, 99 %, 16 %
91.30 W, 150 MiB, 99 %, 16 %
89.98 W, 150 MiB, 99 %, 14 %
88.73 W, 150 MiB, 99 %, 14 %
87.28 W, 150 MiB, 99 %, 12 %
85.83 W, 150 MiB, 99 %, 12 %
84.77 W, 150 MiB, 99 %, 11 %
83.57 W, 150 MiB, 99 %, 9 %
82.41 W, 150 MiB, 99 %, 9 %
81.16 W, 150 MiB, 99 %, 8 %
80.29 W, 150 MiB, 99 %, 8 %
79.13 W, 150 MiB, 99 %, 7 %
78.28 W, 150 MiB, 99 %, 5 %
77.41 W, 150 MiB, 99 %, 5 %
76.25 W, 150 MiB, 99 %, 4 %
75.58 W, 150 MiB, 99 %, 4 %
74.64 W, 150 MiB, 99 %, 3 %
74.06 W, 150 MiB, 99 %, 1 %
73.57 W, 150 MiB, 99 %, 1 %
73.11 W, 150 MiB, 99 %, 1 %
72.72 W, 150 MiB, 99 %, 1 %
72.34 W, 150 MiB, 99 %, 0 %
72.15 W, 150 MiB, 99 %, 0 %
71.86 W, 150 MiB, 99 %, 0 %
66.83 W, 6 MiB, 98 %, 0 %
7.7292799949646
