power,memory Used,u_gpu,u_memory
19.84,6.0,0.0,0.0
69.64,300.0,0.0,0.0
32.5,80.0,0.0,0.0
19.84,6.0,0.0,0.0
19.84,6.0,0.0,0.0
69.64,300.0,0.0,0.0
32.5,80.0,0.0,0.0
32.5,80.0,0.0,0.0
19.84,6.0,0.0,0.0
19.84,6.0,0.0,0.0
69.64,300.0,0.0,0.0
69.64,300.0,0.0,0.0
32.5,80.0,0.0,0.0
19.84,6.0,0.0,0.0
19.84,6.0,0.0,0.0
69.64,300.0,0.0,0.0
69.64,300.0,0.0,0.0
32.5,80.0,0.0,0.0
19.84,6.0,0.0,0.0
19.84,6.0,0.0,0.0
69.64,300.0,0.0,0.0
69.64,300.0,0.0,0.0
32.5,80.0,0.0,0.0
32.5,80.0,0.0,0.0
19.84,6.0,0.0,0.0
69.64,300.0,0.0,0.0
69.64,300.0,0.0,0.0
32.5,80.0,0.0,0.0
32.5,80.0,0.0,0.0
19.84,6.0,0.0,0.0
69.64,300.0,0.0,0.0
69.64,300.0,0.0,0.0
32.5,80.0,0.0,0.0
32.5,80.0,0.0,0.0
19.84,6.0,0.0,0.0
19.84,6.0,0.0,0.0
69.64,300.0,0.0,0.0
32.5,80.0,0.0,0.0
32.5,80.0,0.0,0.0
19.84,6.0,0.0,0.0
19.84,6.0,0.0,0.0
69.64,300.0,0.0,0.0
32.5,80.0,0.0,0.0
32.5,80.0,0.0,0.0
19.84,6.0,0.0,0.0
19.84,6.0,0.0,0.0
69.64,300.0,0.0,0.0
32.5,80.0,0.0,0.0
32.5,80.0,0.0,0.0
19.84,6.0,0.0,0.0
19.84,6.0,0.0,0.0
69.64,300.0,0.0,0.0
69.64,300.0,0.0,0.0
32.5,80.0,0.0,0.0
19.84,6.0,0.0,0.0
19.84,6.0,0.0,0.0
69.64,300.0,0.0,0.0
69.64,300.0,0.0,0.0
32.5,80.0,0.0,0.0
19.84,6.0,0.0,0.0
19.84,6.0,0.0,0.0
69.64,300.0,0.0,0.0
69.64,300.0,0.0,0.0
32.5,80.0,0.0,0.0
32.5,80.0,0.0,0.0
19.84,6.0,0.0,0.0
69.64,300.0,0.0,0.0
69.64,300.0,0.0,0.0
32.5,80.0,0.0,0.0
32.5,80.0,0.0,0.0
19.84,6.0,0.0,0.0
69.64,300.0,0.0,0.0
69.64,300.0,0.0,0.0
32.5,80.0,0.0,0.0
32.5,80.0,0.0,0.0
19.84,6.0,0.0,0.0
19.84,6.0,0.0,0.0
69.64,300.0,0.0,0.0
32.5,80.0,0.0,0.0
32.5,80.0,0.0,0.0
19.84,6.0,0.0,0.0
19.84,6.0,0.0,0.0
69.64,300.0,0.0,0.0
32.5,80.0,0.0,0.0
32.5,80.0,0.0,0.0
19.84,6.0,0.0,0.0
19.84,6.0,0.0,0.0
69.64,300.0,0.0,0.0
69.64,300.0,0.0,0.0
32.5,80.0,0.0,0.0
19.84,6.0,0.0,0.0
19.84,6.0,0.0,0.0
69.64,300.0,0.0,0.0
69.64,300.0,0.0,0.0
32.5,80.0,0.0,0.0
19.84,6.0,0.0,0.0
19.84,6.0,0.0,0.0
69.64,300.0,0.0,0.0
69.64,300.0,0.0,0.0
32.5,80.0,0.0,0.0
19.84,6.0,0.0,0.0
19.84,6.0,0.0,0.0
69.64,300.0,0.0,0.0
69.64,300.0,0.0,0.0
32.5,80.0,0.0,0.0
32.5,80.0,0.0,0.0
19.84,6.0,0.0,0.0
69.64,300.0,0.0,0.0
69.64,300.0,0.0,0.0
32.5,80.0,0.0,0.0
32.5,80.0,0.0,0.0
19.84,6.0,0.0,0.0
69.64,300.0,0.0,0.0
69.64,300.0,0.0,0.0
32.5,80.0,0.0,0.0
32.5,80.0,0.0,0.0
19.84,6.0,0.0,0.0
19.84,6.0,0.0,0.0
69.64,300.0,0.0,0.0
32.5,80.0,0.0,0.0
32.5,80.0,0.0,0.0
19.84,6.0,0.0,0.0
19.84,6.0,0.0,0.0
69.64,300.0,0.0,0.0
32.5,80.0,0.0,0.0
32.5,80.0,0.0,0.0
19.84,6.0,0.0,0.0
19.84,6.0,0.0,0.0
69.64,300.0,0.0,0.0
69.64,300.0,0.0,0.0
32.5,80.0,0.0,0.0
19.84,6.0,0.0,0.0
19.84,6.0,0.0,0.0
69.64,300.0,0.0,0.0
69.64,300.0,0.0,0.0
32.5,80.0,0.0,0.0
19.84,6.0,0.0,0.0
19.84,6.0,0.0,0.0
69.64,300.0,0.0,0.0
69.64,300.0,0.0,0.0
32.5,80.0,0.0,0.0
19.84,6.0,0.0,0.0
19.84,6.0,0.0,0.0
69.64,300.0,0.0,0.0
69.64,300.0,0.0,0.0
32.5,80.0,0.0,0.0
32.5,80.0,0.0,0.0
19.84,6.0,0.0,0.0
69.64,300.0,0.0,0.0
69.64,300.0,0.0,0.0
32.5,80.0,0.0,0.0
32.5,80.0,0.0,0.0
