time,power,memory Used,u_gpu,u_memory
0.0,19.93,6.0,0.0,0.0
0.09910207986831665,20.32,7.0,0.0,0.0
0.1982041597366333,44.45,83.0,0.0,0.0
0.29730623960494995,67.13,83.0,0.0,0.0
0.3964083194732666,69.83,83.0,74.0,1.0
0.49551039934158325,70.21,83.0,99.0,1.0
0.5946124792098999,70.31,83.0,99.0,1.0
0.6937145590782166,70.31,83.0,99.0,1.0
0.8919187188148499,19.93,6.0,0.0,0.0
0.9910207986831665,20.32,7.0,0.0,0.0
1.0901228785514832,44.45,83.0,0.0,0.0
1.1892249584197998,67.13,83.0,0.0,0.0
1.2883270382881165,69.83,83.0,74.0,1.0
1.387429118156433,70.21,83.0,99.0,1.0
1.4865311980247498,70.31,83.0,99.0,1.0
1.5856332778930664,70.31,83.0,99.0,1.0
1.684735357761383,19.93,6.0,0.0,0.0
1.7838374376296997,20.32,7.0,0.0,0.0
1.8829395174980164,44.45,83.0,0.0,0.0
1.982041597366333,67.13,83.0,0.0,0.0
2.0811436772346497,69.83,83.0,74.0,1.0
2.1802457571029663,70.21,83.0,99.0,1.0
2.279347836971283,70.31,83.0,99.0,1.0
2.3784499168395996,70.31,83.0,99.0,1.0
2.4775519967079163,19.93,6.0,0.0,0.0
2.576654076576233,20.32,7.0,0.0,0.0
2.6757561564445496,44.45,83.0,0.0,0.0
2.774858236312866,67.13,83.0,0.0,0.0
2.873960316181183,69.83,83.0,74.0,1.0
2.9730623960494995,70.21,83.0,99.0,1.0
3.072164475917816,70.31,83.0,99.0,1.0
3.171266555786133,70.31,83.0,99.0,1.0
3.2703686356544495,19.93,6.0,0.0,0.0
3.369470715522766,20.32,7.0,0.0,0.0
3.4685727953910828,44.45,83.0,0.0,0.0
3.5676748752593994,67.13,83.0,0.0,0.0
3.666776955127716,69.83,83.0,74.0,1.0
3.7658790349960327,70.21,83.0,99.0,1.0
3.8649811148643494,70.31,83.0,99.0,1.0
3.964083194732666,70.31,83.0,99.0,1.0
4.063185274600983,19.93,6.0,0.0,0.0
4.162287354469299,20.32,7.0,0.0,0.0
4.261389434337616,44.45,83.0,0.0,0.0
4.360491514205933,67.13,83.0,0.0,0.0
4.459593594074249,69.83,83.0,74.0,1.0
4.558695673942566,70.21,83.0,99.0,1.0
4.657797753810883,70.31,83.0,99.0,1.0
4.756899833679199,70.31,83.0,99.0,1.0
4.856001913547516,19.93,6.0,0.0,0.0
4.9551039934158325,20.32,7.0,0.0,0.0
5.054206073284149,44.45,83.0,0.0,0.0
5.153308153152466,67.13,83.0,0.0,0.0
5.2524102330207825,69.83,83.0,74.0,1.0
5.351512312889099,70.21,83.0,99.0,1.0
5.450614392757416,70.31,83.0,99.0,1.0
5.549716472625732,70.31,83.0,99.0,1.0
5.648818552494049,19.93,6.0,0.0,0.0
5.747920632362366,20.32,7.0,0.0,0.0
5.847022712230682,44.45,83.0,0.0,0.0
5.946124792098999,67.13,83.0,0.0,0.0
6.045226871967316,69.83,83.0,74.0,1.0
6.144328951835632,70.21,83.0,99.0,1.0
6.243431031703949,70.31,83.0,99.0,1.0
6.342533111572266,70.31,83.0,99.0,1.0
6.441635191440582,19.93,6.0,0.0,0.0
6.540737271308899,20.32,7.0,0.0,0.0
6.639839351177216,44.45,83.0,0.0,0.0
6.738941431045532,67.13,83.0,0.0,0.0
6.838043510913849,69.83,83.0,74.0,1.0
6.9371455907821655,70.21,83.0,99.0,1.0
7.036247670650482,70.31,83.0,99.0,1.0
7.135349750518799,70.31,83.0,99.0,1.0
7.2344518303871155,19.93,6.0,0.0,0.0
7.333553910255432,20.32,7.0,0.0,0.0
7.432655990123749,44.45,83.0,0.0,0.0
7.531758069992065,67.13,83.0,0.0,0.0
7.630860149860382,69.83,83.0,74.0,1.0
7.729962229728699,70.21,83.0,99.0,1.0
7.829064309597015,70.31,83.0,99.0,1.0
7.928166389465332,70.31,83.0,99.0,1.0
8.027268469333649,19.93,6.0,0.0,0.0
8.126370549201965,20.32,7.0,0.0,0.0
8.225472629070282,44.45,83.0,0.0,0.0
8.324574708938599,67.13,83.0,0.0,0.0
8.423676788806915,69.83,83.0,74.0,1.0
8.522778868675232,70.21,83.0,99.0,1.0
8.621880948543549,70.31,83.0,99.0,1.0
8.720983028411865,70.31,83.0,99.0,1.0
8.820085108280182,19.93,6.0,0.0,0.0
8.919187188148499,20.32,7.0,0.0,0.0
9.018289268016815,44.45,83.0,0.0,0.0
9.117391347885132,67.13,83.0,0.0,0.0
9.216493427753448,69.83,83.0,74.0,1.0
9.315595507621765,70.21,83.0,99.0,1.0
9.414697587490082,70.31,83.0,99.0,1.0
9.513799667358398,70.31,83.0,99.0,1.0
9.612901747226715,19.93,6.0,0.0,0.0
