power,memory Used,u_gpu,u_memory
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
22.64,17.0,0.0,0.0
67.41,81.0,43.0,11.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
67.41,81.0,43.0,11.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
67.41,81.0,43.0,11.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
67.41,81.0,43.0,11.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
67.41,81.0,43.0,11.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
67.41,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
67.41,81.0,43.0,11.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
67.41,81.0,43.0,11.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
67.41,81.0,43.0,11.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
67.41,81.0,43.0,11.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
67.41,81.0,43.0,11.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
67.41,81.0,43.0,11.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
67.41,81.0,43.0,11.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
67.41,81.0,43.0,11.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
67.41,81.0,43.0,11.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
35.19,367.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
67.41,81.0,43.0,11.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
67.41,81.0,43.0,11.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
67.41,81.0,43.0,11.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
67.41,81.0,43.0,11.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
67.41,81.0,43.0,11.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
67.41,81.0,43.0,11.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
67.41,81.0,43.0,11.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
67.41,81.0,43.0,11.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
67.41,81.0,43.0,11.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
67.41,81.0,43.0,11.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
67.41,81.0,43.0,11.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
67.41,81.0,43.0,11.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
67.41,81.0,43.0,11.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
67.41,81.0,43.0,11.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
67.41,81.0,43.0,11.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
67.41,81.0,43.0,11.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
67.41,81.0,43.0,11.0
61.55,81.0,0.0,0.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
22.64,17.0,0.0,0.0
62.42,81.0,43.0,11.0
61.46,81.0,0.0,0.0
61.46,81.0,0.0,0.0
20.13,6.0,0.0,0.0
35.19,367.0,0.0,0.0
62.42,81.0,43.0,11.0
