time,power,memory Used,u_gpu,u_memory
0.0,19.93,6.0,0.0,0.0
0.09827004160199847,25.34,19.0,0.0,0.0
0.19654008320399693,55.3,96.0,2.0,0.0
0.2948101248059954,60.4,96.0,2.0,0.0
0.39308016640799387,60.97,96.0,0.0,0.0
0.49135020800999235,61.17,96.0,0.0,0.0
0.5896202496119908,61.26,96.0,0.0,0.0
0.6878902912139893,61.26,96.0,0.0,0.0
0.7861603328159877,61.26,96.0,0.0,0.0
0.8844303744179862,61.26,96.0,0.0,0.0
0.9827004160199847,61.65,96.0,0.0,0.0
1.0809704576219832,61.26,96.0,1.0,0.0
1.1792404992239816,61.26,96.0,0.0,0.0
1.27751054082598,61.26,96.0,0.0,0.0
1.3757805824279783,61.26,96.0,0.0,0.0
1.4740506240299767,61.36,96.0,0.0,0.0
1.572320665631975,61.26,96.0,1.0,0.0
1.6705907072339734,61.36,96.0,1.0,0.0
1.7688607488359718,61.65,96.0,1.0,0.0
1.8671307904379701,68.57,96.0,5.0,1.0
1.9654008320399685,74.44,78.0,5.0,1.0
2.1619409152439655,19.93,6.0,0.0,0.0
2.260210956845964,25.34,19.0,0.0,0.0
2.3584809984479627,55.3,96.0,2.0,0.0
2.4567510400499613,60.4,96.0,2.0,0.0
2.55502108165196,60.97,96.0,0.0,0.0
2.6532911232539584,61.17,96.0,0.0,0.0
2.751561164855957,61.26,96.0,0.0,0.0
2.8498312064579556,61.26,96.0,0.0,0.0
2.948101248059954,61.26,96.0,0.0,0.0
3.046371289661953,61.26,96.0,0.0,0.0
3.1446413312639514,61.65,96.0,0.0,0.0
3.24291137286595,61.26,96.0,1.0,0.0
3.3411814144679486,61.26,96.0,0.0,0.0
3.439451456069947,61.26,96.0,0.0,0.0
3.5377214976719458,61.26,96.0,0.0,0.0
3.6359915392739444,61.36,96.0,0.0,0.0
3.734261580875943,61.26,96.0,1.0,0.0
3.8325316224779415,61.36,96.0,1.0,0.0
3.93080166407994,61.65,96.0,1.0,0.0
4.029071705681939,68.57,96.0,5.0,1.0
4.127341747283937,74.44,78.0,5.0,1.0
4.225611788885936,19.93,6.0,0.0,0.0
4.3238818304879345,25.34,19.0,0.0,0.0
4.422151872089933,55.3,96.0,2.0,0.0
4.520421913691932,60.4,96.0,2.0,0.0
4.61869195529393,60.97,96.0,0.0,0.0
4.716961996895929,61.17,96.0,0.0,0.0
4.8152320384979275,61.26,96.0,0.0,0.0
4.913502080099926,61.26,96.0,0.0,0.0
5.011772121701925,61.26,96.0,0.0,0.0
5.110042163303923,61.26,96.0,0.0,0.0
5.208312204905922,61.65,96.0,0.0,0.0
5.30658224650792,61.26,96.0,1.0,0.0
5.404852288109919,61.26,96.0,0.0,0.0
5.503122329711918,61.26,96.0,0.0,0.0
5.601392371313916,61.26,96.0,0.0,0.0
5.699662412915915,61.36,96.0,0.0,0.0
5.797932454517913,61.26,96.0,1.0,0.0
5.896202496119912,61.36,96.0,1.0,0.0
5.994472537721911,61.65,96.0,1.0,0.0
6.092742579323909,68.57,96.0,5.0,1.0
6.191012620925908,74.44,78.0,5.0,1.0
6.289282662527906,19.93,6.0,0.0,0.0
6.387552704129905,25.34,19.0,0.0,0.0
6.4858227457319035,55.3,96.0,2.0,0.0
6.584092787333902,60.4,96.0,2.0,0.0
6.682362828935901,60.97,96.0,0.0,0.0
6.780632870537899,61.17,96.0,0.0,0.0
6.878902912139898,61.26,96.0,0.0,0.0
