power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
20.03 W, 6 MiB, 0 %, 0 %
25.73 W, 19 MiB, 0 %, 0 %
55.49 W, 96 MiB, 2 %, 0 %
60.40 W, 96 MiB, 2 %, 0 %
61.07 W, 96 MiB, 0 %, 0 %
61.26 W, 96 MiB, 0 %, 0 %
61.26 W, 96 MiB, 0 %, 0 %
61.26 W, 96 MiB, 0 %, 0 %
61.26 W, 96 MiB, 0 %, 0 %
61.26 W, 96 MiB, 0 %, 0 %
61.46 W, 96 MiB, 0 %, 0 %
61.26 W, 96 MiB, 1 %, 0 %
61.26 W, 96 MiB, 0 %, 0 %
61.26 W, 96 MiB, 0 %, 0 %
61.74 W, 96 MiB, 0 %, 0 %
61.36 W, 96 MiB, 0 %, 0 %
62.23 W, 96 MiB, 1 %, 0 %
62.13 W, 96 MiB, 1 %, 0 %
62.13 W, 96 MiB, 1 %, 0 %
76.90 W, 96 MiB, 9 %, 3 %
2.013536214828491
