power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
20.32 W, 6 MiB, 0 %, 0 %
20.52 W, 6 MiB, 0 %, 0 %
20.42 W, 6 MiB, 0 %, 0 %
20.52 W, 6 MiB, 0 %, 0 %
20.42 W, 6 MiB, 0 %, 0 %
20.71 W, 6 MiB, 0 %, 0 %
20.32 W, 6 MiB, 0 %, 0 %
20.51 W, 6 MiB, 0 %, 0 %
20.51 W, 6 MiB, 0 %, 0 %
20.42 W, 6 MiB, 0 %, 0 %
20.51 W, 6 MiB, 0 %, 0 %
20.42 W, 6 MiB, 0 %, 0 %
20.51 W, 6 MiB, 0 %, 0 %
20.61 W, 6 MiB, 0 %, 0 %
20.61 W, 6 MiB, 0 %, 0 %
20.71 W, 6 MiB, 0 %, 0 %
20.42 W, 6 MiB, 0 %, 0 %
20.61 W, 6 MiB, 0 %, 0 %
20.61 W, 6 MiB, 0 %, 0 %
20.61 W, 6 MiB, 0 %, 0 %
20.52 W, 6 MiB, 0 %, 0 %
20.52 W, 6 MiB, 0 %, 0 %
20.51 W, 6 MiB, 0 %, 0 %
20.42 W, 6 MiB, 0 %, 0 %
20.52 W, 6 MiB, 0 %, 0 %
20.71 W, 6 MiB, 0 %, 0 %
20.42 W, 6 MiB, 0 %, 0 %
20.51 W, 6 MiB, 0 %, 0 %
20.61 W, 6 MiB, 0 %, 0 %
20.61 W, 6 MiB, 0 %, 0 %
20.51 W, 6 MiB, 0 %, 0 %
20.32 W, 6 MiB, 0 %, 0 %
20.52 W, 6 MiB, 0 %, 0 %
20.42 W, 6 MiB, 0 %, 0 %
20.32 W, 6 MiB, 0 %, 0 %
20.71 W, 6 MiB, 0 %, 0 %
20.42 W, 6 MiB, 0 %, 0 %
20.52 W, 6 MiB, 0 %, 0 %
20.51 W, 6 MiB, 0 %, 0 %
20.32 W, 6 MiB, 0 %, 0 %
20.51 W, 6 MiB, 0 %, 0 %
20.42 W, 6 MiB, 0 %, 0 %
20.32 W, 6 MiB, 0 %, 0 %
20.51 W, 6 MiB, 0 %, 0 %
20.42 W, 6 MiB, 0 %, 0 %
20.61 W, 6 MiB, 0 %, 0 %
20.42 W, 6 MiB, 0 %, 0 %
20.32 W, 6 MiB, 0 %, 0 %
20.51 W, 6 MiB, 0 %, 0 %
20.32 W, 6 MiB, 0 %, 0 %
20.61 W, 6 MiB, 0 %, 0 %
20.42 W, 6 MiB, 0 %, 0 %
20.42 W, 6 MiB, 0 %, 0 %
20.42 W, 6 MiB, 0 %, 0 %
20.32 W, 6 MiB, 0 %, 0 %
20.61 W, 6 MiB, 0 %, 0 %
20.32 W, 6 MiB, 0 %, 0 %
20.32 W, 6 MiB, 0 %, 0 %
20.51 W, 6 MiB, 0 %, 0 %
20.32 W, 6 MiB, 0 %, 0 %
20.51 W, 6 MiB, 0 %, 0 %
20.32 W, 6 MiB, 0 %, 0 %
20.32 W, 6 MiB, 0 %, 0 %
20.51 W, 6 MiB, 0 %, 0 %
20.52 W, 6 MiB, 0 %, 0 %
20.52 W, 6 MiB, 0 %, 0 %
20.42 W, 6 MiB, 0 %, 0 %
20.32 W, 6 MiB, 0 %, 0 %
20.42 W, 6 MiB, 0 %, 0 %
20.42 W, 6 MiB, 0 %, 0 %
20.42 W, 6 MiB, 0 %, 0 %
20.32 W, 6 MiB, 0 %, 0 %
20.52 W, 6 MiB, 0 %, 0 %
20.42 W, 6 MiB, 0 %, 0 %
20.32 W, 6 MiB, 0 %, 0 %
20.71 W, 6 MiB, 0 %, 0 %
20.42 W, 6 MiB, 0 %, 0 %
20.32 W, 6 MiB, 0 %, 0 %
20.71 W, 6 MiB, 0 %, 0 %
20.32 W, 6 MiB, 0 %, 0 %
23.13 W, 22 MiB, 0 %, 0 %
62.04 W, 1489 MiB, 0 %, 0 %
73.57 W, 1489 MiB, 48 %, 3 %
89.82 W, 1489 MiB, 93 %, 3 %
92.62 W, 1489 MiB, 93 %, 3 %
93.10 W, 1489 MiB, 100 %, 0 %
93.20 W, 1489 MiB, 100 %, 0 %
93.39 W, 1489 MiB, 100 %, 0 %
93.39 W, 1489 MiB, 100 %, 0 %
93.39 W, 1489 MiB, 100 %, 0 %
93.49 W, 1489 MiB, 100 %, 0 %
93.49 W, 1489 MiB, 100 %, 0 %
93.49 W, 1489 MiB, 100 %, 0 %
93.10 W, 1489 MiB, 100 %, 1 %
93.01 W, 1489 MiB, 100 %, 1 %
93.01 W, 1489 MiB, 100 %, 1 %
93.01 W, 1489 MiB, 100 %, 1 %
93.01 W, 1489 MiB, 100 %, 1 %
93.10 W, 1489 MiB, 100 %, 1 %
93.10 W, 1489 MiB, 100 %, 1 %
93.10 W, 1489 MiB, 100 %, 1 %
93.01 W, 1489 MiB, 100 %, 1 %
93.01 W, 1489 MiB, 100 %, 0 %
93.01 W, 1489 MiB, 100 %, 0 %
93.01 W, 1489 MiB, 100 %, 1 %
93.01 W, 1489 MiB, 100 %, 1 %
93.01 W, 1489 MiB, 100 %, 1 %
93.10 W, 1489 MiB, 100 %, 1 %
93.10 W, 1489 MiB, 100 %, 1 %
93.10 W, 1489 MiB, 100 %, 1 %
93.10 W, 1489 MiB, 100 %, 1 %
93.10 W, 1489 MiB, 100 %, 1 %
93.20 W, 1489 MiB, 100 %, 0 %
93.20 W, 1489 MiB, 100 %, 0 %
93.20 W, 1489 MiB, 100 %, 0 %
93.20 W, 1489 MiB, 100 %, 0 %
93.20 W, 1489 MiB, 100 %, 1 %
93.01 W, 1489 MiB, 100 %, 0 %
92.91 W, 1489 MiB, 100 %, 0 %
93.01 W, 1489 MiB, 100 %, 0 %
93.20 W, 1489 MiB, 100 %, 0 %
