power,memory Used,u_gpu,u_memory
23.69,0.0,0.0,0.0
96.03,267.0,0.0,0.0
23.69,0.0,0.0,0.0
96.03,267.0,0.0,0.0
23.69,0.0,0.0,0.0
96.03,267.0,0.0,0.0
23.69,0.0,0.0,0.0
98.22,267.0,67.0,0.0
30.76,61.0,0.0,0.0
98.22,267.0,67.0,0.0
30.76,61.0,0.0,0.0
23.69,0.0,0.0,0.0
96.03,267.0,0.0,0.0
23.69,0.0,0.0,0.0
96.03,267.0,0.0,0.0
23.69,0.0,0.0,0.0
98.22,267.0,67.0,0.0
30.76,61.0,0.0,0.0
98.22,267.0,67.0,0.0
30.76,61.0,0.0,0.0
23.69,0.0,0.0,0.0
96.03,267.0,0.0,0.0
23.69,0.0,0.0,0.0
96.03,267.0,0.0,0.0
30.76,61.0,0.0,0.0
98.22,267.0,67.0,0.0
30.76,61.0,0.0,0.0
98.22,267.0,67.0,0.0
96.03,267.0,0.0,0.0
23.69,0.0,0.0,0.0
96.03,267.0,0.0,0.0
23.69,0.0,0.0,0.0
96.03,267.0,0.0,0.0
30.76,61.0,0.0,0.0
98.22,267.0,67.0,0.0
30.76,61.0,0.0,0.0
98.22,267.0,67.0,0.0
96.03,267.0,0.0,0.0
23.69,0.0,0.0,0.0
96.03,267.0,0.0,0.0
23.69,0.0,0.0,0.0
98.22,267.0,67.0,0.0
30.76,61.0,0.0,0.0
98.22,267.0,67.0,0.0
30.76,61.0,0.0,0.0
98.22,267.0,67.0,0.0
96.03,267.0,0.0,0.0
23.69,0.0,0.0,0.0
96.03,267.0,0.0,0.0
23.69,0.0,0.0,0.0
98.22,267.0,67.0,0.0
30.76,61.0,0.0,0.0
98.22,267.0,67.0,0.0
30.76,61.0,0.0,0.0
23.69,0.0,0.0,0.0
96.03,267.0,0.0,0.0
23.69,0.0,0.0,0.0
96.03,267.0,0.0,0.0
30.76,61.0,0.0,0.0
98.22,267.0,67.0,0.0
30.76,61.0,0.0,0.0
98.22,267.0,67.0,0.0
30.76,61.0,0.0,0.0
23.69,0.0,0.0,0.0
96.03,267.0,0.0,0.0
23.69,0.0,0.0,0.0
96.03,267.0,0.0,0.0
30.76,61.0,0.0,0.0
98.22,267.0,67.0,0.0
30.76,61.0,0.0,0.0
98.22,267.0,67.0,0.0
96.03,267.0,0.0,0.0
23.69,0.0,0.0,0.0
96.03,267.0,0.0,0.0
23.69,0.0,0.0,0.0
96.03,267.0,0.0,0.0
30.76,61.0,0.0,0.0
98.22,267.0,67.0,0.0
30.76,61.0,0.0,0.0
98.22,267.0,67.0,0.0
96.03,267.0,0.0,0.0
23.69,0.0,0.0,0.0
96.03,267.0,0.0,0.0
23.69,0.0,0.0,0.0
98.22,267.0,67.0,0.0
30.76,61.0,0.0,0.0
98.22,267.0,67.0,0.0
30.76,61.0,0.0,0.0
23.69,0.0,0.0,0.0
96.03,267.0,0.0,0.0
23.69,0.0,0.0,0.0
96.03,267.0,0.0,0.0
23.69,0.0,0.0,0.0
98.22,267.0,67.0,0.0
30.76,61.0,0.0,0.0
98.22,267.0,67.0,0.0
30.76,61.0,0.0,0.0
23.69,0.0,0.0,0.0
96.03,267.0,0.0,0.0
23.69,0.0,0.0,0.0
96.03,267.0,0.0,0.0
30.76,61.0,0.0,0.0
98.22,267.0,67.0,0.0
30.76,61.0,0.0,0.0
98.22,267.0,67.0,0.0
30.76,61.0,0.0,0.0
23.69,0.0,0.0,0.0
96.03,267.0,0.0,0.0
23.69,0.0,0.0,0.0
96.03,267.0,0.0,0.0
30.76,61.0,0.0,0.0
98.22,267.0,67.0,0.0
30.76,61.0,0.0,0.0
98.22,267.0,67.0,0.0
96.03,267.0,0.0,0.0
23.69,0.0,0.0,0.0
96.03,267.0,0.0,0.0
23.69,0.0,0.0,0.0
98.22,267.0,67.0,0.0
30.76,61.0,0.0,0.0
98.22,267.0,67.0,0.0
30.76,61.0,0.0,0.0
98.22,267.0,67.0,0.0
96.03,267.0,0.0,0.0
23.69,0.0,0.0,0.0
96.03,267.0,0.0,0.0
23.69,0.0,0.0,0.0
98.22,267.0,67.0,0.0
