power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
23.69 W, 0 MiB, 0 %, 0 %
23.68 W, 18 MiB, 0 %, 0 %
33.19 W, 569 MiB, 12 %, 0 %
31.73 W, 569 MiB, 12 %, 0 %
31.73 W, 569 MiB, 11 %, 1 %
31.73 W, 569 MiB, 0 %, 0 %
31.98 W, 569 MiB, 0 %, 0 %
31.97 W, 569 MiB, 0 %, 0 %
31.73 W, 569 MiB, 0 %, 0 %
31.73 W, 569 MiB, 0 %, 0 %
31.73 W, 569 MiB, 0 %, 0 %
31.73 W, 569 MiB, 0 %, 0 %
31.73 W, 569 MiB, 0 %, 0 %
31.97 W, 569 MiB, 0 %, 0 %
31.98 W, 569 MiB, 0 %, 0 %
31.73 W, 569 MiB, 0 %, 0 %
31.73 W, 569 MiB, 0 %, 0 %
31.73 W, 569 MiB, 0 %, 0 %
31.73 W, 569 MiB, 0 %, 0 %
31.73 W, 569 MiB, 0 %, 0 %
31.73 W, 569 MiB, 0 %, 0 %
31.98 W, 569 MiB, 0 %, 0 %
31.73 W, 569 MiB, 0 %, 0 %
32.70 W, 365 MiB, 0 %, 0 %
2.4359729290008545
