power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
24.43 W, 22 MiB, 0 %, 0 %
25.88 W, 48 MiB, 0 %, 0 %
38.97 W, 561 MiB, 0 %, 0 %
43.43 W, 691 MiB, 44 %, 5 %
43.34 W, 561 MiB, 85 %, 8 %
43.43 W, 561 MiB, 85 %, 8 %
42.75 W, 561 MiB, 62 %, 7 %
42.46 W, 561 MiB, 50 %, 6 %
44.89 W, 691 MiB, 50 %, 6 %
42.85 W, 561 MiB, 43 %, 5 %
42.27 W, 561 MiB, 43 %, 5 %
43.05 W, 561 MiB, 40 %, 5 %
44.70 W, 691 MiB, 36 %, 5 %
45.28 W, 561 MiB, 36 %, 5 %
45.76 W, 689 MiB, 32 %, 4 %
42.27 W, 561 MiB, 32 %, 4 %
45.28 W, 561 MiB, 34 %, 5 %
43.14 W, 561 MiB, 29 %, 4 %
42.75 W, 561 MiB, 29 %, 4 %
42.46 W, 561 MiB, 30 %, 5 %
44.11 W, 561 MiB, 28 %, 5 %
46.35 W, 561 MiB, 28 %, 5 %
42.27 W, 561 MiB, 25 %, 4 %
45.95 W, 561 MiB, 25 %, 4 %
43.04 W, 561 MiB, 27 %, 5 %
41.59 W, 561 MiB, 25 %, 4 %
46.72 W, 691 MiB, 25 %, 4 %
47.41 W, 691 MiB, 23 %, 4 %
48.07 W, 691 MiB, 23 %, 4 %
41.20 W, 561 MiB, 26 %, 5 %
41.98 W, 561 MiB, 23 %, 4 %
43.04 W, 561 MiB, 23 %, 4 %
45.57 W, 561 MiB, 23 %, 4 %
41.01 W, 561 MiB, 23 %, 4 %
43.43 W, 561 MiB, 23 %, 4 %
48.84 W, 691 MiB, 23 %, 4 %
43.72 W, 561 MiB, 23 %, 4 %
41.01 W, 561 MiB, 22 %, 4 %
45.28 W, 561 MiB, 20 %, 4 %
42.07 W, 561 MiB, 20 %, 4 %
40.72 W, 561 MiB, 22 %, 4 %
48.08 W, 561 MiB, 22 %, 4 %
44.21 W, 561 MiB, 21 %, 4 %
42.46 W, 561 MiB, 20 %, 4 %
41.69 W, 561 MiB, 20 %, 4 %
41.20 W, 561 MiB, 20 %, 4 %
