power,memory Used,u_gpu,u_memory
24.43,22.0,0.0,0.0
38.97,561.0,0.0,0.0
43.34,561.0,85.0,8.0
42.75,561.0,62.0,7.0
44.89,691.0,50.0,6.0
42.27,561.0,43.0,5.0
44.7,691.0,36.0,5.0
45.76,689.0,32.0,4.0
45.28,561.0,34.0,5.0
43.14,561.0,29.0,4.0
42.46,561.0,30.0,5.0
46.35,561.0,28.0,5.0
45.95,561.0,25.0,4.0
41.59,561.0,25.0,4.0
47.41,691.0,23.0,4.0
41.2,561.0,26.0,5.0
43.04,561.0,23.0,4.0
41.01,561.0,23.0,4.0
48.84,691.0,23.0,4.0
41.01,561.0,22.0,4.0
42.07,561.0,20.0,4.0
48.08,561.0,22.0,4.0
42.46,561.0,20.0,4.0
41.2,561.0,20.0,4.0
40.71,561.0,20.0,4.0
40.91,561.0,20.0,4.0
41.1,561.0,20.0,4.0
42.37,561.0,20.0,4.0
48.26,561.0,17.0,3.0
42.07,561.0,17.0,3.0
40.53,561.0,18.0,4.0
46.62,561.0,19.0,4.0
42.95,561.0,19.0,4.0
41.59,561.0,20.0,5.0
41.1,561.0,19.0,4.0
40.82,561.0,17.0,4.0
41.01,561.0,18.0,4.0
41.49,561.0,17.0,4.0
43.82,561.0,18.0,4.0
48.55,561.0,17.0,4.0
40.62,561.0,14.0,3.0
48.65,561.0,17.0,4.0
40.81,561.0,18.0,4.0
45.86,561.0,18.0,4.0
41.01,561.0,18.0,4.0
51.27,561.0,14.0,4.0
42.37,561.0,17.0,4.0
40.62,561.0,17.0,4.0
52.24,691.0,16.0,4.0
47.21,561.0,16.0,4.0
43.04,561.0,14.0,3.0
41.88,561.0,19.0,5.0
41.59,561.0,14.0,3.0
41.01,561.0,18.0,5.0
41.1,561.0,15.0,4.0
41.3,561.0,15.0,4.0
41.69,561.0,14.0,4.0
42.46,561.0,18.0,4.0
43.14,561.0,18.0,4.0
46.04,561.0,14.0,4.0
53.5,691.0,15.0,4.0
40.53,561.0,15.0,4.0
41.59,561.0,14.0,4.0
46.74,561.0,15.0,4.0
40.23,561.0,15.0,4.0
41.49,561.0,15.0,4.0
48.08,561.0,15.0,4.0
40.43,561.0,15.0,4.0
43.63,561.0,15.0,4.0
40.33,561.0,15.0,4.0
43.14,561.0,11.0,3.0
40.04,561.0,14.0,3.0
43.82,561.0,15.0,4.0
40.33,561.0,15.0,4.0
42.17,561.0,15.0,4.0
40.14,561.0,14.0,4.0
45.96,561.0,15.0,4.0
41.11,561.0,16.0,4.0
40.14,561.0,10.0,3.0
46.83,561.0,16.0,4.0
41.59,561.0,10.0,3.0
40.33,561.0,15.0,4.0
55.74,691.0,15.0,4.0
46.35,561.0,10.0,3.0
42.17,561.0,15.0,4.0
41.01,561.0,11.0,3.0
40.23,561.0,15.0,4.0
40.04,561.0,10.0,3.0
59.2,691.0,10.0,3.0
51.46,561.0,16.0,4.0
47.13,561.0,11.0,3.0
40.33,561.0,16.0,4.0
40.23,561.0,11.0,3.0
40.14,561.0,16.0,5.0
40.14,561.0,11.0,3.0
40.14,561.0,12.0,3.0
40.14,561.0,16.0,5.0
40.14,561.0,11.0,3.0
40.23,561.0,13.0,3.0
40.43,561.0,16.0,5.0
40.53,561.0,16.0,5.0
40.81,561.0,11.0,3.0
41.59,561.0,11.0,3.0
43.82,561.0,18.0,5.0
47.03,561.0,11.0,3.0
57.26,691.0,17.0,5.0
40.04,561.0,13.0,3.0
45.57,561.0,11.0,3.0
54.17,561.0,13.0,4.0
40.04,561.0,16.0,4.0
40.33,561.0,11.0,3.0
41.5,561.0,16.0,5.0
45.86,561.0,12.0,3.0
59.28,691.0,11.0,3.0
40.33,561.0,12.0,3.0
41.39,561.0,14.0,4.0
48.75,561.0,12.0,3.0
40.04,561.0,12.0,3.0
40.71,561.0,11.0,3.0
45.57,561.0,15.0,4.0
40.04,561.0,11.0,3.0
40.62,561.0,11.0,3.0
45.57,561.0,11.0,3.0
40.71,561.0,11.0,3.0
48.55,561.0,12.0,3.0
40.04,561.0,17.0,5.0
41.98,561.0,11.0,3.0
61.01,691.0,12.0,4.0
40.53,561.0,12.0,3.0
48.37,561.0,12.0,4.0
40.23,561.0,11.0,4.0
44.5,561.0,12.0,4.0
40.04,561.0,11.0,4.0
42.56,561.0,13.0,4.0
40.04,561.0,14.0,4.0
41.98,561.0,12.0,4.0
39.94,561.0,12.0,4.0
41.78,561.0,12.0,4.0
40.03,561.0,12.0,4.0
42.27,561.0,12.0,4.0
40.42,561.0,12.0,4.0
57.36,561.0,12.0,4.0
40.81,561.0,12.0,4.0
53.39,691.0,12.0,4.0
41.68,561.0,12.0,4.0
40.04,561.0,12.0,4.0
44.89,561.0,13.0,4.0
40.23,561.0,12.0,4.0
55.74,561.0,10.0,3.0
41.01,561.0,9.0,3.0
