time,power,memory Used,u_gpu,u_memory
0.0,39.75,22.0,0.0,0.0
0.10057575362069267,39.74,57.0,0.0,0.0
0.20115150724138534,39.74,341.0,3.0,0.0
0.301727260862078,39.75,341.0,3.0,0.0
0.40230301448277067,39.75,341.0,0.0,0.0
0.5028787681034633,43.82,597.0,0.0,0.0
0.603454521724156,40.42,725.0,24.0,1.0
0.8046060289655415,39.75,22.0,0.0,0.0
0.9051817825862342,39.74,57.0,0.0,0.0
1.0057575362069269,39.74,341.0,3.0,0.0
1.1063332898276195,39.75,341.0,3.0,0.0
1.206909043448312,39.75,341.0,0.0,0.0
1.3074847970690047,43.82,597.0,0.0,0.0
1.4080605506896973,40.42,725.0,24.0,1.0
1.5086363043103899,39.75,22.0,0.0,0.0
1.6092120579310825,39.74,57.0,0.0,0.0
1.709787811551775,39.74,341.0,3.0,0.0
1.8103635651724677,39.75,341.0,3.0,0.0
1.9109393187931603,39.75,341.0,0.0,0.0
2.011515072413853,43.82,597.0,0.0,0.0
2.1120908260345455,40.42,725.0,24.0,1.0
2.212666579655238,39.75,22.0,0.0,0.0
2.3132423332759307,39.74,57.0,0.0,0.0
2.4138180868966232,39.74,341.0,3.0,0.0
2.514393840517316,39.75,341.0,3.0,0.0
2.6149695941380084,39.75,341.0,0.0,0.0
2.715545347758701,43.82,597.0,0.0,0.0
2.8161211013793936,40.42,725.0,24.0,1.0
2.9166968550000862,39.75,22.0,0.0,0.0
3.017272608620779,39.74,57.0,0.0,0.0
3.1178483622414714,39.74,341.0,3.0,0.0
3.218424115862164,39.75,341.0,3.0,0.0
3.3189998694828566,39.75,341.0,0.0,0.0
3.4195756231035492,43.82,597.0,0.0,0.0
3.520151376724242,40.42,725.0,24.0,1.0
3.6207271303449344,39.75,22.0,0.0,0.0
3.721302883965627,39.74,57.0,0.0,0.0
3.8218786375863196,39.74,341.0,3.0,0.0
3.9224543912070122,39.75,341.0,3.0,0.0
4.023030144827705,39.75,341.0,0.0,0.0
4.123605898448398,43.82,597.0,0.0,0.0
4.224181652069091,40.42,725.0,24.0,1.0
4.324757405689784,39.75,22.0,0.0,0.0
4.425333159310477,39.74,57.0,0.0,0.0
4.52590891293117,39.74,341.0,3.0,0.0
4.626484666551863,39.75,341.0,3.0,0.0
4.727060420172556,39.75,341.0,0.0,0.0
4.827636173793249,43.82,597.0,0.0,0.0
4.928211927413942,40.42,725.0,24.0,1.0
5.028787681034635,39.75,22.0,0.0,0.0
5.129363434655328,39.74,57.0,0.0,0.0
5.229939188276021,39.74,341.0,3.0,0.0
5.330514941896714,39.75,341.0,3.0,0.0
5.431090695517407,39.75,341.0,0.0,0.0
5.5316664491381005,43.82,597.0,0.0,0.0
5.6322422027587935,40.42,725.0,24.0,1.0
5.7328179563794865,39.75,22.0,0.0,0.0
5.83339371000018,39.74,57.0,0.0,0.0
5.933969463620873,39.74,341.0,3.0,0.0
