power,memory Used,u_gpu,u_memory
40.43,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.52,22.0,0.0,0.0
41.3,8533.0,6.0,0.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.2,8533.0,39.0,2.0
41.1,8533.0,45.0,2.0
41.1,8533.0,45.0,2.0
41.2,8533.0,45.0,2.0
45.77,8533.0,69.0,23.0
40.43,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.62,48.0,0.0,0.0
41.3,8533.0,6.0,0.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.39,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.1,8533.0,45.0,2.0
41.2,8533.0,45.0,2.0
41.1,8533.0,45.0,2.0
90.58,8533.0,45.0,2.0
40.43,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.52,22.0,0.0,0.0
41.3,8533.0,6.0,0.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.2,8533.0,39.0,2.0
41.1,8533.0,45.0,2.0
41.1,8533.0,45.0,2.0
41.2,8533.0,45.0,2.0
45.77,8533.0,69.0,23.0
40.43,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.52,22.0,0.0,0.0
41.3,8533.0,6.0,0.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.2,8533.0,39.0,2.0
41.1,8533.0,45.0,2.0
41.1,8533.0,45.0,2.0
41.2,8533.0,45.0,2.0
45.77,8533.0,69.0,23.0
40.53,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.62,48.0,0.0,0.0
41.3,8533.0,6.0,0.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.39,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.1,8533.0,45.0,2.0
41.2,8533.0,45.0,2.0
41.1,8533.0,45.0,2.0
90.58,8533.0,45.0,2.0
40.43,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.62,48.0,0.0,0.0
41.3,8533.0,6.0,0.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.39,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.1,8533.0,45.0,2.0
41.2,8533.0,45.0,2.0
41.1,8533.0,45.0,2.0
90.58,8533.0,45.0,2.0
40.43,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.52,22.0,0.0,0.0
41.3,8533.0,6.0,0.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.2,8533.0,39.0,2.0
41.1,8533.0,45.0,2.0
41.1,8533.0,45.0,2.0
41.2,8533.0,45.0,2.0
45.77,8533.0,69.0,23.0
40.53,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.52,22.0,0.0,0.0
41.3,8533.0,6.0,0.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.2,8533.0,39.0,2.0
41.1,8533.0,45.0,2.0
41.1,8533.0,45.0,2.0
41.2,8533.0,45.0,2.0
45.77,8533.0,69.0,23.0
40.53,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.62,48.0,0.0,0.0
41.3,8533.0,6.0,0.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.39,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.1,8533.0,45.0,2.0
41.2,8533.0,45.0,2.0
41.1,8533.0,45.0,2.0
90.58,8533.0,45.0,2.0
40.43,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.62,48.0,0.0,0.0
41.3,8533.0,6.0,0.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.39,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.1,8533.0,45.0,2.0
41.2,8533.0,45.0,2.0
41.1,8533.0,45.0,2.0
90.58,8533.0,45.0,2.0
40.43,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.52,22.0,0.0,0.0
41.3,8533.0,6.0,0.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.2,8533.0,39.0,2.0
41.1,8533.0,45.0,2.0
41.1,8533.0,45.0,2.0
41.2,8533.0,45.0,2.0
45.77,8533.0,69.0,23.0
40.53,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.52,22.0,0.0,0.0
41.3,8533.0,6.0,0.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.2,8533.0,39.0,2.0
41.1,8533.0,45.0,2.0
41.1,8533.0,45.0,2.0
41.2,8533.0,45.0,2.0
45.77,8533.0,69.0,23.0
40.53,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.62,48.0,0.0,0.0
41.3,8533.0,6.0,0.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.39,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.1,8533.0,45.0,2.0
41.2,8533.0,45.0,2.0
41.1,8533.0,45.0,2.0
90.58,8533.0,45.0,2.0
40.43,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.62,48.0,0.0,0.0
41.3,8533.0,6.0,0.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.39,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.1,8533.0,45.0,2.0
41.2,8533.0,45.0,2.0
41.1,8533.0,45.0,2.0
90.58,8533.0,45.0,2.0
40.43,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.52,22.0,0.0,0.0
41.3,8533.0,6.0,0.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.2,8533.0,39.0,2.0
41.1,8533.0,45.0,2.0
41.1,8533.0,45.0,2.0
41.2,8533.0,45.0,2.0
45.77,8533.0,69.0,23.0
40.53,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.52,22.0,0.0,0.0
41.3,8533.0,6.0,0.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.2,8533.0,39.0,2.0
41.1,8533.0,45.0,2.0
41.1,8533.0,45.0,2.0
41.2,8533.0,45.0,2.0
45.77,8533.0,69.0,23.0
40.53,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.62,48.0,0.0,0.0
41.3,8533.0,6.0,0.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.39,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.1,8533.0,45.0,2.0
41.2,8533.0,45.0,2.0
41.1,8533.0,45.0,2.0
90.58,8533.0,45.0,2.0
40.43,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.62,48.0,0.0,0.0
41.3,8533.0,6.0,0.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.39,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.1,8533.0,45.0,2.0
41.2,8533.0,45.0,2.0
41.1,8533.0,45.0,2.0
90.58,8533.0,45.0,2.0
40.43,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.52,22.0,0.0,0.0
41.3,8533.0,6.0,0.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.2,8533.0,39.0,2.0
41.1,8533.0,45.0,2.0
41.1,8533.0,45.0,2.0
41.2,8533.0,45.0,2.0
45.77,8533.0,69.0,23.0
40.53,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.52,22.0,0.0,0.0
41.3,8533.0,6.0,0.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
41.2,8533.0,39.0,2.0
41.1,8533.0,45.0,2.0
41.1,8533.0,45.0,2.0
41.2,8533.0,45.0,2.0
45.77,8533.0,69.0,23.0
40.53,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.53,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.52,22.0,0.0,0.0
40.62,48.0,0.0,0.0
41.3,8533.0,6.0,0.0
41.3,8533.0,37.0,2.0
41.3,8533.0,37.0,2.0
