time,power,memory Used,u_gpu,u_memory
0.0,40.42,22.0,0.0,0.0
0.10294045520429852,40.42,48.0,0.0,0.0
0.20588091040859705,51.95,531.0,0.0,0.0
0.3088213656128956,49.62,531.0,63.0,9.0
0.4117618208171941,49.62,531.0,63.0,9.0
0.5147022760214927,49.62,531.0,99.0,15.0
0.6176427312257912,49.52,531.0,99.0,15.0
0.7205831864300897,49.42,531.0,99.0,15.0
0.8235236416343882,49.33,531.0,99.0,15.0
0.9264640968386867,49.23,531.0,99.0,15.0
1.0294045520429853,49.04,531.0,99.0,15.0
1.1323450072472838,49.04,531.0,99.0,15.0
1.2352854624515823,49.04,531.0,99.0,15.0
1.3382259176558808,49.04,531.0,99.0,14.0
1.4411663728601793,48.94,531.0,99.0,14.0
1.5441068280644779,48.94,531.0,99.0,14.0
1.6470472832687764,48.74,531.0,99.0,14.0
1.7499877384730749,48.74,531.0,99.0,14.0
1.8529281936773734,48.74,531.0,99.0,14.0
1.955868648881672,48.65,531.0,99.0,14.0
2.0588091040859706,48.45,531.0,99.0,14.0
2.161749559290269,48.45,531.0,99.0,14.0
2.2646900144945676,48.26,531.0,99.0,14.0
2.367630469698866,48.26,531.0,99.0,14.0
2.4705709249031647,48.26,531.0,99.0,14.0
2.573511380107463,48.16,531.0,99.0,14.0
2.6764518353117617,48.07,531.0,99.0,13.0
2.77939229051606,48.16,531.0,99.0,13.0
2.8823327457203587,47.97,531.0,99.0,13.0
2.985273200924657,48.07,531.0,99.0,13.0
3.0882136561289557,47.97,531.0,99.0,13.0
3.191154111333254,47.87,531.0,99.0,13.0
3.2940945665375527,47.77,531.0,99.0,13.0
3.3970350217418512,47.59,531.0,99.0,13.0
3.4999754769461497,47.58,531.0,99.0,13.0
3.6029159321504483,47.48,531.0,99.0,13.0
3.7058563873547468,47.48,531.0,99.0,12.0
3.8087968425590453,47.39,531.0,99.0,12.0
3.911737297763344,47.29,531.0,99.0,12.0
4.014677752967643,47.3,531.0,99.0,12.0
4.117618208171941,47.29,531.0,99.0,12.0
4.22055866337624,47.19,531.0,99.0,12.0
4.323499118580538,47.01,531.0,99.0,12.0
4.426439573784837,46.9,531.0,99.0,12.0
4.529380028989135,47.01,531.0,99.0,11.0
4.632320484193434,46.82,531.0,99.0,11.0
4.735260939397732,46.8,531.0,99.0,11.0
4.838201394602031,46.71,531.0,99.0,11.0
4.941141849806329,46.62,531.0,99.0,11.0
5.044082305010628,46.53,531.0,99.0,11.0
5.147022760214926,46.53,531.0,99.0,11.0
5.249963215419225,46.53,531.0,99.0,11.0
5.352903670623523,46.33,531.0,99.0,11.0
5.455844125827822,46.33,531.0,99.0,11.0
5.55878458103212,46.24,531.0,99.0,11.0
5.661725036236419,46.14,531.0,99.0,11.0
5.764665491440717,46.04,531.0,99.0,11.0
5.867605946645016,45.94,531.0,99.0,11.0
5.970546401849314,45.96,531.0,99.0,10.0
6.073486857053613,45.94,531.0,99.0,10.0
6.176427312257911,45.85,531.0,99.0,10.0
