power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
39.94 W, 22 MiB, 0 %, 0 %
40.04 W, 55 MiB, 0 %, 0 %
54.75 W, 343 MiB, 16 %, 0 %
55.42 W, 343 MiB, 16 %, 0 %
53.99 W, 343 MiB, 51 %, 0 %
52.63 W, 341 MiB, 51 %, 0 %
51.17 W, 341 MiB, 52 %, 0 %
49.43 W, 341 MiB, 53 %, 0 %
50.59 W, 341 MiB, 53 %, 0 %
54.85 W, 343 MiB, 53 %, 0 %
55.32 W, 343 MiB, 53 %, 0 %
54.18 W, 343 MiB, 53 %, 0 %
55.71 W, 343 MiB, 53 %, 0 %
53.99 W, 343 MiB, 53 %, 0 %
53.02 W, 341 MiB, 53 %, 0 %
50.49 W, 341 MiB, 53 %, 0 %
54.77 W, 343 MiB, 53 %, 0 %
52.63 W, 341 MiB, 52 %, 0 %
54.36 W, 343 MiB, 52 %, 0 %
54.28 W, 341 MiB, 54 %, 0 %
55.71 W, 343 MiB, 55 %, 0 %
51.37 W, 341 MiB, 55 %, 0 %
56.19 W, 343 MiB, 54 %, 0 %
57.35 W, 343 MiB, 53 %, 0 %
55.03 W, 343 MiB, 53 %, 0 %
52.92 W, 341 MiB, 52 %, 0 %
53.02 W, 341 MiB, 52 %, 0 %
55.53 W, 343 MiB, 52 %, 0 %
56.10 W, 343 MiB, 53 %, 0 %
56.67 W, 343 MiB, 53 %, 0 %
55.42 W, 343 MiB, 52 %, 0 %
55.04 W, 343 MiB, 52 %, 0 %
54.09 W, 343 MiB, 51 %, 0 %
52.53 W, 341 MiB, 53 %, 0 %
52.92 W, 341 MiB, 53 %, 0 %
55.71 W, 343 MiB, 53 %, 0 %
50.78 W, 341 MiB, 57 %, 0 %
49.33 W, 341 MiB, 57 %, 0 %
50.30 W, 341 MiB, 56 %, 0 %
51.08 W, 341 MiB, 56 %, 0 %
55.81 W, 343 MiB, 56 %, 0 %
54.47 W, 343 MiB, 57 %, 0 %
56.77 W, 343 MiB, 57 %, 0 %
54.26 W, 343 MiB, 54 %, 0 %
49.81 W, 341 MiB, 54 %, 0 %
53.79 W, 343 MiB, 53 %, 0 %
57.07 W, 343 MiB, 53 %, 0 %
55.71 W, 343 MiB, 53 %, 0 %
55.33 W, 343 MiB, 53 %, 0 %
55.81 W, 343 MiB, 53 %, 0 %
56.78 W, 343 MiB, 53 %, 0 %
52.73 W, 343 MiB, 54 %, 0 %
56.68 W, 343 MiB, 54 %, 0 %
55.81 W, 343 MiB, 52 %, 0 %
54.93 W, 343 MiB, 53 %, 0 %
55.71 W, 343 MiB, 53 %, 0 %
53.97 W, 343 MiB, 55 %, 0 %
41.59 W, 26 MiB, 55 %, 0 %
5.895050525665283
