power.draw [W], memory.used [MiB], utilization.gpu [%], utilization.memory [%]
39.75 W, 22 MiB, 0 %, 0 %
39.84 W, 34 MiB, 0 %, 0 %
39.84 W, 34 MiB, 0 %, 0 %
39.84 W, 34 MiB, 0 %, 0 %
39.74 W, 34 MiB, 0 %, 0 %
39.84 W, 34 MiB, 0 %, 0 %
39.84 W, 34 MiB, 0 %, 0 %
39.94 W, 53 MiB, 0 %, 0 %
41.20 W, 3417 MiB, 0 %, 0 %
40.81 W, 3417 MiB, 49 %, 2 %
41.57 W, 3417 MiB, 49 %, 2 %
40.33 W, 3417 MiB, 66 %, 4 %
40.33 W, 3417 MiB, 30 %, 3 %
40.13 W, 3417 MiB, 30 %, 3 %
40.23 W, 3417 MiB, 20 %, 1 %
39.95 W, 3417 MiB, 11 %, 0 %
39.94 W, 3417 MiB, 11 %, 0 %
39.84 W, 3417 MiB, 0 %, 0 %
39.84 W, 3417 MiB, 0 %, 0 %
39.94 W, 3417 MiB, 0 %, 0 %
39.94 W, 3417 MiB, 0 %, 0 %
39.84 W, 3417 MiB, 0 %, 0 %
39.84 W, 3417 MiB, 0 %, 0 %
39.84 W, 3417 MiB, 0 %, 0 %
39.84 W, 3417 MiB, 0 %, 0 %
39.94 W, 3417 MiB, 0 %, 0 %
39.94 W, 3417 MiB, 0 %, 0 %
39.84 W, 3417 MiB, 0 %, 0 %
39.84 W, 3417 MiB, 0 %, 0 %
39.74 W, 3417 MiB, 0 %, 0 %
39.94 W, 3417 MiB, 0 %, 0 %
39.94 W, 3417 MiB, 0 %, 0 %
39.94 W, 3417 MiB, 0 %, 0 %
39.85 W, 3417 MiB, 0 %, 0 %
39.84 W, 3417 MiB, 0 %, 0 %
39.74 W, 3417 MiB, 0 %, 0 %
39.84 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.49 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.49 W, 3417 MiB, 0 %, 0 %
35.49 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.38 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.38 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.49 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.49 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.49 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.49 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
35.39 W, 3417 MiB, 0 %, 0 %
